Frame,X,Y,dX,dY,Magnitude
0,615,75,1,0,1.0
1,615,76,0,1,1.0
2,615,78,0,2,2.0
3,615,79,0,1,1.0
4,614,81,-1,2,2.23606797749979
5,614,82,0,1,1.0
6,614,84,0,2,2.0
7,613,85,-1,1,1.4142135623730951
8,612,88,-0.08000000000000002,3,3.001066477104431
9,611,91,-0.08320000000000001,3,3.001153484912093
10,610,93,-0.04652800000000001,2.0,2.000541140487743
11,609,95,-0.04838912,2.2,2.200532096319973
12,608,97,-0.0503246848,2.2399999999999998,2.240565235359198
13,607,99,-0.012337672192000002,2.488,2.488030590277201
14,612,99,5,0,5.0
15,612,100,0,1,1.0
16,613,102,1,2,2.23606797749979
17,613,104,0,2,2.0
18,612,106,-1,2,2.23606797749979
19,612,107,0,1,1.0
20,613,108,1,1,1.4142135623730951
21,615,110,2,2,2.8284271247461903
22,617,111,2,1,2.23606797749979
23,617,114,0.16000000000000003,3,3.004263636900064
24,617,117,0.20640000000000003,3,3.0070917777813166
25,617,119,0.214656,2.0,2.011486315721785
26,617,121,0.18324224,2.2,2.2076181097554484
27,614,122,-3,1,3.1622776601683795
28,613,123,-1,1,1.4142135623730951
29,614,125,1,2,2.23606797749979
30,614,127,0,2,2.0
31,614,128,0,1,1.0
32,613,130,-1,2,2.23606797749979
33,615,132,2,2,2.8284271247461903
34,612,133,-3,1,3.1622776601683795
35,612,135,0,2,2.0
36,611,138,-1,3,3.1622776601683795
37,610,140,-0.12,2.0,2.003596765818911
38,609,142,-0.08480000000000001,2.0,2.0017969527402126
39,608,144,-0.16819200000000004,2.0,2.0070596774545595
40,613,143,5,-1,5.0990195135927845
41,611,145,-2,2,2.8284271247461903
42,613,148,2,3,3.605551275463989
43,613,149,0,1,1.0
44,612,150,-1,1,1.4142135623730951
45,613,152,1,2,2.23606797749979
46,613,154,0,2,2.0
47,612,155,-1,1,1.4142135623730951
48,611,158,-0.04000000000000001,3,3.000266654815868
49,611,158,0,0,0.0
50,611,160,0,2,2.0
51,612,162,1,2,2.23606797749979
52,611,165,-0.0016000000000000016,3,3.0000004266666362
53,613,165,2,0,2.0
54,611,168,-2,3,3.605551275463989
55,611,170,0.039936000000000006,2.0,2.0003986812873076
56,610,171,-1,1,1.4142135623730951
57,609,174,-0.03846656000000001,3,3.000246602570901
58,608,177,-0.039941222400000004,3,3.0002658717598356
59,610,176,2,-1,2.23606797749979
60,611,178,1,2,2.23606797749979
61,610,180,-1,2,2.23606797749979
62,610,183,0.076863688704,3,3.000984509563684
63,611,184,1,1,1.4142135623730951
64,610,185,-1,1,1.4142135623730951
65,611,187,1,2,2.23606797749979
66,610,189,-1,2,2.23606797749979
67,610,190,0,1,1.0
68,610,192,0,2,2.0
69,609,195,-1,3,3.1622776601683795
70,609,195,0,0,0.0
71,608,196,-1,1,1.4142135623730951
72,609,199,1,3,3.1622776601683795
73,610,200,1,1,1.4142135623730951
74,611,202,1,2,2.23606797749979
75,610,204,-1,2,2.23606797749979
76,609,207,-1,3,3.1622776601683795
77,608,207,-1,0,1.0
78,608,209,0,2,2.0
79,609,211,1,2,2.23606797749979
80,609,212,0,1,1.0
81,609,214,0,2,2.0
82,609,216,0,2,2.0
83,608,218,-1,2,2.23606797749979
84,608,220,0,2,2.0
85,609,221,1,1,1.4142135623730951
86,607,223,-2,2,2.8284271247461903
87,608,225,1,2,2.23606797749979
88,607,227,-1,2,2.23606797749979
89,607,228,0,1,1.0
90,607,230,0,2,2.0
91,607,231,0,1,1.0
92,607,234,0.0,3,3.0
93,606,234,-1,0,1.0
94,606,236,0,2,2.0
95,605,238,-1,2,2.23606797749979
96,606,240,1,2,2.23606797749979
97,606,241,0,1,1.0
98,606,243,0,2,2.0
99,606,246,0,3,3.0
100,606,247,0,1,1.0
101,606,249,0,2,2.0
102,607,251,1,2,2.23606797749979
103,605,253,-2,2,2.8284271247461903
104,606,254,1,1,1.4142135623730951
105,606,256,0,2,2.0
106,606,259,0.0,3,3.0
107,605,259,-1,0,1.0
108,605,261,0,2,2.0
109,605,262,0,1,1.0
110,605,265,0,3,3.0
111,605,266,0,1,1.0
112,605,268,0,2,2.0
113,604,270,-1,2,2.23606797749979
114,604,272,0,2,2.0
115,604,273,0,1,1.0
116,605,275,1,2,2.23606797749979
117,605,277,0,2,2.0
118,604,278,-1,1,1.4142135623730951
119,604,280,0,2,2.0
120,604,282,0,2,2.0
121,604,284,0,2,2.0
122,603,285,-1,1,1.4142135623730951
123,603,287,0,2,2.0
124,604,288,1,1,1.4142135623730951
125,604,290,0,2,2.0
126,603,292,-1,2,2.23606797749979
127,603,294,0,2,2.0
128,603,295,0,1,1.0
129,602,297,-1,2,2.23606797749979
130,603,299,1,2,2.23606797749979
131,603,300,0,1,1.0
132,603,302,0,2,2.0
133,602,304,-1,2,2.23606797749979
134,602,306,0,2,2.0
135,602,307,0,1,1.0
136,602,309,0,2,2.0
137,602,311,0,2,2.0
138,602,312,0,1,1.0
139,602,314,0,2,2.0
140,601,316,-1,2,2.23606797749979
141,601,318,0,2,2.0
142,601,319,0,1,1.0
143,601,321,0,2,2.0
144,601,323,0,2,2.0
145,601,325,0,2,2.0
146,600,326,-1,1,1.4142135623730951
147,600,328,0,2,2.0
148,600,330,0,2,2.0
149,600,331,0,1,1.0
150,601,333,1,2,2.23606797749979
151,600,335,-1,2,2.23606797749979
152,600,336,0,1,1.0
153,600,338,0,2,2.0
154,600,339,0,1,1.0
155,600,341,0,2,2.0
156,600,343,0,2,2.0
157,600,345,0,2,2.0
158,600,346,0,1,1.0
159,600,348,0,2,2.0
160,600,350,0,2,2.0
161,599,352,-1,2,2.23606797749979
162,599,353,0,1,1.0
163,600,355,1,2,2.23606797749979
164,599,357,-1,2,2.23606797749979
165,599,359,0,2,2.0
166,599,360,0,1,1.0
167,598,362,-1,2,2.23606797749979
168,597,363,-1,1,1.4142135623730951
169,598,365,1,2,2.23606797749979
170,598,367,0,2,2.0
171,598,369,0,2,2.0
172,598,370,0,1,1.0
173,597,372,-1,2,2.23606797749979
174,597,374,0,2,2.0
175,597,376,0,2,2.0
176,597,377,0,1,1.0
177,596,378,-1,1,1.4142135623730951
178,596,380,0,2,2.0
179,596,382,0,2,2.0
180,597,384,1,2,2.23606797749979
181,596,385,-1,1,1.4142135623730951
182,596,387,0,2,2.0
183,596,389,0,2,2.0
184,596,391,0,2,2.0
185,596,393,0,2,2.0
186,596,394,0,1,1.0
187,595,396,-1,2,2.23606797749979
188,595,397,0,1,1.0
189,596,399,1,2,2.23606797749979
190,595,401,-1,2,2.23606797749979
191,595,403,0,2,2.0
192,594,404,-1,1,1.4142135623730951
193,594,406,0,2,2.0
194,594,408,0,2,2.0
195,594,409,0,1,1.0
196,594,411,0,2,2.0
197,594,413,0,2,2.0
198,594,414,0,1,1.0
199,594,416,0,2,2.0
200,593,418,-1,2,2.23606797749979
201,593,419,0,1,1.0
202,593,421,0,2,2.0
203,593,423,0,2,2.0
204,593,424,0,1,1.0
205,593,426,0,2,2.0
206,593,428,0,2,2.0
207,592,429,-1,1,1.4142135623730951
208,592,431,0,2,2.0
209,592,433,0,2,2.0
210,592,435,0,2,2.0
211,592,436,0,1,1.0
212,591,438,-1,2,2.23606797749979
213,591,440,0,2,2.0
214,591,441,0,1,1.0
215,590,443,-1,2,2.23606797749979
216,590,444,0,1,1.0
217,591,446,1,2,2.23606797749979
218,591,448,0,2,2.0
219,590,450,-1,2,2.23606797749979
220,590,452,0,2,2.0
221,590,453,0,1,1.0
222,590,455,0,2,2.0
223,590,456,0,1,1.0
224,587,457,-3,1,3.1622776601683795
225,589,459,2,2,2.8284271247461903
226,589,462,0,3,3.0
227,589,463,0,1,1.0
228,588,465,-1,2,2.23606797749979
229,588,467,0,2,2.0
230,588,468,0,1,1.0
231,588,470,0,2,2.0
232,588,471,0,1,1.0
233,587,473,-1,2,2.23606797749979
234,587,475,0,2,2.0
235,587,476,0,1,1.0
236,586,478,-1,2,2.23606797749979
237,587,480,1,2,2.23606797749979
238,586,482,-1,2,2.23606797749979
239,586,483,0,1,1.0
240,586,485,0,2,2.0
241,587,487,1,2,2.23606797749979
242,586,488,-1,1,1.4142135623730951
243,586,490,0,2,2.0
244,585,491,-1,1,1.4142135623730951
245,585,493,0,2,2.0
246,585,495,0,2,2.0
247,585,497,0,2,2.0
248,585,498,0,1,1.0
249,584,500,-1,2,2.23606797749979
250,584,502,0,2,2.0
251,584,504,0,2,2.0
252,584,505,0,1,1.0
253,584,507,0,2,2.0
254,583,508,-1,1,1.4142135623730951
255,583,510,0,2,2.0
256,583,512,0,2,2.0
257,583,513,0,1,1.0
258,583,515,0,2,2.0
259,583,517,0,2,2.0
260,582,519,-1,2,2.23606797749979
261,582,520,0,1,1.0
262,582,522,0,2,2.0
263,582,523,0,1,1.0
264,582,525,0,2,2.0
265,582,527,0,2,2.0
266,581,529,-1,2,2.23606797749979
267,581,530,0,1,1.0
268,581,532,0,2,2.0
269,581,534,0,2,2.0
270,580,535,-1,1,1.4142135623730951
271,580,537,0,2,2.0
272,580,539,0,2,2.0
273,580,540,0,1,1.0
274,580,542,0,2,2.0
275,576,542,-4,0,4.0
276,579,545,3,3,4.242640687119285
277,579,547,0,2,2.0
278,579,549,0,2,2.0
279,579,550,0,1,1.0
280,575,551,-4,1,4.123105625617661
281,575,553,0,2,2.0
282,577,555,2,2,2.8284271247461903
283,575,557,-2,2,2.8284271247461903
284,577,559,2,2,2.8284271247461903
285,574,559,-3,0,3.0
286,574,561,0,2,2.0
287,574,563,0,2,2.0
288,574,564,0,1,1.0
289,574,566,0,2,2.0
290,573,568,-1,2,2.23606797749979
291,573,570,0,2,2.0
292,573,571,0,1,1.0
293,573,573,0,2,2.0
294,572,575,-1,2,2.23606797749979
295,572,576,0,1,1.0
296,572,578,0,2,2.0
297,572,580,0,2,2.0
298,572,581,0,1,1.0
299,574,583,2,2,2.8284271247461903
300,571,585,-3,2,3.605551275463989
301,571,586,0,1,1.0
302,571,588,0,2,2.0
303,573,591,2,3,3.605551275463989
304,570,592,-3,1,3.1622776601683795
305,570,593,0,1,1.0
306,572,595,2,2,2.8284271247461903
307,570,597,-2,2,2.8284271247461903
308,569,599,-1,2,2.23606797749979
309,569,600,0,1,1.0
310,569,602,0,2,2.0
311,568,604,-1,2,2.23606797749979
312,571,606,3,2,3.605551275463989
313,569,607,-2,1,2.23606797749979
314,568,609,-1,2,2.23606797749979
315,568,610,0,1,1.0
316,568,612,0,2,2.0
317,570,614,2,2,2.8284271247461903
318,568,615,-2,1,2.23606797749979
319,568,617,0,2,2.0
320,567,619,-1,2,2.23606797749979
321,567,621,0,2,2.0
322,567,622,0,1,1.0
323,566,624,-1,2,2.23606797749979
324,569,626,3,2,3.605551275463989
325,569,628,0,2,2.0
326,569,630,0,2,2.0
327,569,631,0,1,1.0
328,568,633,-1,2,2.23606797749979
329,565,634,-3,1,3.1622776601683795
330,569,637,4,3,5.0
331,565,637,-4,0,4.0
332,569,640,4,3,5.0
333,568,641,-1,1,1.4142135623730951
334,568,643,0,2,2.0
335,568,645,0,2,2.0
336,568,647,0,2,2.0
337,568,649,0,2,2.0
338,567,650,-1,1,1.4142135623730951
339,567,652,0,2,2.0
340,567,653,0,1,1.0
341,567,655,0,2,2.0
342,566,657,-1,2,2.23606797749979
343,567,659,1,2,2.23606797749979
344,566,660,-1,1,1.4142135623730951
345,565,662,-1,2,2.23606797749979
346,566,663,1,1,1.4142135623730951
347,566,666,0,3,3.0
348,565,667,-1,1,1.4142135623730951
349,565,669,0,2,2.0
350,565,671,0,2,2.0
351,564,672,-1,1,1.4142135623730951
352,564,674,0,2,2.0
353,564,676,0,2,2.0
354,564,677,0,1,1.0
355,564,679,0,2,2.0
356,564,681,0,2,2.0
357,563,682,-1,1,1.4142135623730951
358,563,684,0,2,2.0
359,563,686,0,2,2.0
360,562,687,-1,1,1.4142135623730951
361,562,689,0,2,2.0
362,562,691,0,2,2.0
363,562,693,0,2,2.0
364,562,694,0,1,1.0
365,561,696,-1,2,2.23606797749979
366,562,698,1,2,2.23606797749979
367,561,700,-1,2,2.23606797749979
368,563,702,2,2,2.8284271247461903
369,562,704,-1,2,2.23606797749979
370,561,706,-1,2,2.23606797749979
371,560,707,-1,1,1.4142135623730951
372,560,708,0,1,1.0
373,561,711,1,3,3.1622776601683795
374,560,712,-1,1,1.4142135623730951
375,559,713,-1,1,1.4142135623730951
376,562,716,3,3,4.242640687119285
377,561,718,-1,2,2.23606797749979
378,559,719,-2,1,2.23606797749979
379,561,721,2,2,2.8284271247461903
380,562,722,1,1,1.4142135623730951
381,560,725,-2,3,3.605551275463989
382,560,726,0,1,1.0
383,558,727,-2,1,2.23606797749979
384,557,728,-1,1,1.4142135623730951
385,557,730,0,2,2.0
386,556,731,-1,1,1.4142135623730951
387,556,733,0,2,2.0
388,556,735,0,2,2.0
389,556,736,0,1,1.0
390,556,738,0,2,2.0
391,555,740,-1,2,2.23606797749979
392,555,741,0,1,1.0
393,556,743,1,2,2.23606797749979
394,558,745,2,2,2.8284271247461903
395,558,747,0,2,2.0
396,558,749,0,2,2.0
397,558,752,0.12,3,3.0023990407672327
398,552,752,-6,0,6.0
399,552,753,0,1,1.0
400,550,754,-2,1,2.23606797749979
401,550,756,0,2,2.0
402,551,758,1,2,2.23606797749979
403,549,759,-2,1,2.23606797749979
404,549,761,0,2,2.0
405,549,763,0,2,2.0
406,549,764,0,1,1.0
407,549,766,0,2,2.0
408,549,768,0,2,2.0
409,549,769,0,1,1.0
410,548,771,-1,2,2.23606797749979
411,548,772,0,1,1.0
412,547,774,-1,2,2.23606797749979
413,547,776,0,2,2.0
414,547,777,0,1,1.0
415,547,779,0,2,2.0
416,546,780,-1,1,1.4142135623730951
417,546,782,0,2,2.0
418,545,785,-0.04000000000000001,3,3.000266654815868
419,544,788,-0.041600000000000005,3,3.0002884128030094
420,543,790,-0.043264000000000004,2.2,2.200425361991631
421,542,792,-0.04499456000000001,2.2399999999999998,2.240451854075332
422,541,794,-0.0067943424,2.488,2.4880092771307445
423,540,796,-0.007066116096000001,2.5856,2.585609655380464
424,539,798,-0.00574876073984,2.5027199999999996,2.5027266024578156
425,538,800,-0.0043147111694336006,2.4032639999999996,2.403267873215234
426,537,802,-0.002756739616210945,2.4439168,2.4439183548014753
427,536,804,-0.001067226800859382,2.48470016,2.484700389197271
428,535,806,-0.0008381421768937572,2.4840401919999997,2.4840403333991388
429,534,808,-0.0005890232201295074,2.4637282304,2.463728300811246
430,533,810,-0.0003826337193410877,2.45592987648,2.4559299062871545
431,532,812,-0.00022535062133738722,2.4664630517759996,2.466463062070681
432,531,814,-0.0001240950615424449,2.4709723021312,2.470972305247298
433,530,816,-8.636979196976738e-05,2.4682267305574395,2.4682267320685933
434,529,818,-5.629889657280778e-05,2.465064038268928,2.4650640389118252
435,528,820,-3.49899236305398e-05,2.465331199842713,2.4653312000910153
436,527,822,-2.1084171802117885e-05,2.4672114645152563,2.4672114646053465
437,526,824,-1.2913513820707112e-05,2.4673611470631074,2.4673611470969004
438,525,826,-8.466251911837598e-06,2.466638916049489,2.466638916064018
439,524,828,-5.350110309520408e-06,2.4663213531478987,2.4663213531537016
440,523,830,-3.312158858988912e-06,2.466572816123693,2.466572816125917
441,522,832,-2.0450482681268767e-06,2.466821139379889,2.4668211393807367
442,521,834,-1.2834833267672362e-06,2.466743074352815,2.466743074353149
443,520,836,-8.182821070096413e-07,2.4666194598107567,2.4666194598108926
444,519,838,-5.12363314816523e-07,2.46661556856301,2.4666155685630633
445,518,840,-3.188534350283676e-07,2.466674411646033,2.4666744116460535
446,517,842,-1.991212180699458e-07,2.4666947307505005,2.4666947307505085
447,516,844,-1.2528413606766858e-07,2.466669449024623,2.466669449024626
448,515,846,-7.895616843968585e-08,2.466654723958985,2.466654723958986
449,514,848,-4.938313089688765e-08,2.4666617767886305,2.466661776788631
450,513,850,-3.086392354010222e-08,2.4666710184337544,2.4666710184337544
451,512,852,-1.9344343080571605e-08,2.466670339791299,2.466670339791299
452,511,854,-1.2153268080996641e-08,2.466665461599458,2.466665461599458
453,510,856,-7.628033361529758e-09,2.4666646641144254,2.4666646641144254
454,509,858,-4.774907958403515e-09,2.4666666521455136,2.4666666521455136
455,508,860,-2.99057904086415e-09,2.46666762721689,2.46666762721689
456,507,862,-1.8756452608946267e-09,2.466666948973517,2.466666948973517
457,506,864,-1.1768973481075476e-09,2.4666662708099607,2.4666662708099607
458,505,866,-7.37842518791984e-10,2.4666664326520613,2.4666664326520613
459,504,868,-4.622348850824729e-10,2.4666667863595886,2.4666667863595886
460,503,870,-2.897279621496313e-10,2.466666813202404,2.466666813202404
461,502,872,-1.8169391900105048e-10,2.4666666503995067,2.4666666503995067
462,501,874,-1.1393586532530746e-10,2.4666665906847043,2.4666665906847043
463,500,876,-7.141740601401784e-11,2.466666654659653,2.466666654659653
464,499,878,-4.4760401502899195e-11,2.466666699061171,2.466666699061171
465,498,880,-2.8061422159716254e-11,2.4666666816014877,2.4666666816014877
466,497,882,-1.7594760560119648e-11,2.466666655281305,2.466666655281305
467,496,884,-1.1030794222482416e-11,2.4666666562576642,2.4666666562576642
468,495,886,-6.914591378369414e-12,2.4666666693722563,2.4666666693722563
