Frame,X,Y,dX,dY,Magnitude
0,627,87,0,0,0.0
1,626,92,-1,5,5.0990195135927845
2,625,97,-1,5,5.0990195135927845
3,624,103,-1,6,6.082762530298219
4,622,108,-2,5,5.385164807134504
5,621,113,-1,5,5.0990195135927845
6,619,119,-2,6,6.324555320336759
7,618,124,-1,5,5.0990195135927845
8,617,129,-1,5,5.0990195135927845
9,616,134,-1,5,5.0990195135927845
10,615,139,-1,5,5.0990195135927845
11,615,144,0,5,5.0
12,615,149,0,5,5.0
13,614,154,-1,5,5.0990195135927845
14,615,159,1,5,5.0990195135927845
15,615,164,0,5,5.0
16,616,169,1,5,5.0990195135927845
17,617,174,1,5,5.0990195135927845
18,618,179,1,5,5.0990195135927845
19,619,184,1,5,5.0990195135927845
20,620,190,1,6,6.082762530298219
21,622,195,2,5,5.385164807134504
22,622,200,0,5,5.0
23,623,205,1,5,5.0990195135927845
24,624,211,1,6,6.082762530298219
25,625,216,1,5,5.0990195135927845
26,625,222,0,6,6.0
27,625,227,0,5,5.0
28,624,232,-1,5,5.0990195135927845
29,623,237,-1,5,5.0990195135927845
30,622,242,-1,5,5.0990195135927845
31,620,247,-2,5,5.385164807134504
32,619,253,-1,6,6.082762530298219
33,616,258,-3,5,5.830951894845301
34,615,262,-1,4,4.123105625617661
35,613,267,-2,5,5.385164807134504
36,612,272,-1,5,5.0990195135927845
37,610,277,-2,5,5.385164807134504
38,610,282,0,5,5.0
39,609,287,-1,5,5.0990195135927845
40,608,292,-1,5,5.0990195135927845
41,608,297,0,5,5.0
42,608,302,0,5,5.0
43,608,308,0,6,6.0
44,609,313,1,5,5.0990195135927845
45,610,318,1,5,5.0990195135927845
46,611,324,1,6,6.082762530298219
47,613,329,2,5,5.385164807134504
48,614,334,1,5,5.0990195135927845
49,615,340,1,6,6.082762530298219
50,617,345,2,5,5.385164807134504
51,618,350,1,5,5.0990195135927845
52,618,355,0,5,5.0
53,619,361,1,6,6.082762530298219
54,619,365,0,4,4.0
55,618,370,-1,5,5.0990195135927845
56,618,375,0,5,5.0
57,617,380,-1,5,5.0990195135927845
58,616,385,-1,5,5.0990195135927845
59,615,390,-1,5,5.0990195135927845
60,613,395,-2,5,5.385164807134504
61,612,400,-1,5,5.0990195135927845
62,611,405,-1,5,5.0990195135927845
63,610,410,-1,5,5.0990195135927845
64,608,415,-2,5,5.385164807134504
65,607,420,-1,5,5.0990195135927845
66,607,425,0,5,5.0
67,606,430,-1,5,5.0990195135927845
68,606,435,0,5,5.0
69,605,441,-1,6,6.082762530298219
70,605,446,0,5,5.0
71,606,451,1,5,5.0990195135927845
72,607,457,1,6,6.082762530298219
73,609,462,2,5,5.385164807134504
74,610,467,1,5,5.0990195135927845
75,612,472,2,5,5.385164807134504
76,613,477,1,5,5.0990195135927845
77,615,482,2,5,5.385164807134504
78,616,487,1,5,5.0990195135927845
79,617,492,1,5,5.0990195135927845
80,618,497,1,5,5.0990195135927845
81,619,502,1,5,5.0990195135927845
82,620,507,1,5,5.0990195135927845
83,620,512,0,5,5.0
84,620,516,0,4,4.0
85,620,522,0,6,6.0
86,620,527,0,5,5.0
87,619,531,-1,4,4.123105625617661
88,618,537,-1,6,6.082762530298219
89,617,542,-1,5,5.0990195135927845
90,616,548,-1,6,6.082762530298219
91,615,553,-1,5,5.0990195135927845
92,614,558,-1,5,5.0990195135927845
93,613,563,-1,5,5.0990195135927845
94,612,568,-1,5,5.0990195135927845
95,612,574,0,6,6.0
96,612,579,0,5,5.0
97,611,584,-1,5,5.0990195135927845
98,612,589,1,5,5.0990195135927845
99,613,594,1,5,5.0990195135927845
100,614,600,1,6,6.082762530298219
101,616,604,2,4,4.47213595499958
102,617,609,1,5,5.0990195135927845
103,619,614,2,5,5.385164807134504
104,621,619,2,5,5.385164807134504
105,622,624,1,5,5.0990195135927845
106,624,628,2,4,4.47213595499958
107,626,633,2,5,5.385164807134504
108,627,638,1,5,5.0990195135927845
109,628,643,1,5,5.0990195135927845
110,628,648,0,5,5.0
111,629,653,1,5,5.0990195135927845
112,629,659,0,6,6.0
113,629,664,0,5,5.0
114,629,669,0,5,5.0
115,628,675,-1,6,6.082762530298219
116,627,680,-1,5,5.0990195135927845
117,626,686,-1,6,6.082762530298219
118,625,691,-1,5,5.0990195135927845
119,624,696,-1,5,5.0990195135927845
120,622,701,-2,5,5.385164807134504
121,621,707,-1,6,6.082762530298219
122,620,711,-1,4,4.123105625617661
123,620,716,0,5,5.0
124,619,720,-1,4,4.123105625617661
125,620,726,1,6,6.082762530298219
126,620,730,0,4,4.0
127,620,733,0,3,3.0
128,622,734,2,1,2.23606797749979
129,622,737,0.08000000000000002,3.6,3.6008887791766075
130,622,740,0.1232,3.5200000000000005,3.5221553401291095
131,622,743,0.08812800000000001,3.024,3.0252838783135707
132,622,745,0.09165312000000003,2.8288,2.830284391082588
133,622,747,0.09531924480000004,2.7945600000000006,2.7961851426594135
134,622,750,0.019132014592000007,3.1534720000000007,3.153530036128775
135,622,753,0.016697295175680003,3.0641664000000004,3.064211893220693
136,622,755,0.012437186982707205,2.97299968,2.9730256946249463
137,622,757,0.009409554462015492,2.9627996160000007,2.9628145578630005
138,622,759,0.00611981184049611,2.989599539200001,2.9896058029248307
139,622,762,0.0025518345221159523,3.02860744704,3.028608522098156
140,622,765,0.001888627319320591,3.003634536448,3.0036351302141115
141,622,767,0.001296280605066214,2.991528163737601,2.9915284445879284
