Frame,X,Y,dX,dY,Magnitude
0,537,113,-4,2,4.47213595499958
1,539,114,2,1,2.23606797749979
2,537,121,-2,7,7.280109889280518
3,537,125,0,4,4.0
4,538,129,1,4,4.123105625617661
5,539,133,1,4,4.123105625617661
6,539,137,0,4,4.0
7,540,141,1,4,4.123105625617661
8,540,145,0,4,4.0
9,540,149,0,4,4.0
10,540,153,0,4,4.0
11,540,158,0,5,5.0
12,539,162,-1,4,4.123105625617661
13,539,166,0,4,4.0
14,538,170,-1,4,4.123105625617661
15,537,173,-1,3,3.1622776601683795
16,537,177,0,4,4.0
17,535,181,-2,4,4.47213595499958
18,535,184,0,3,3.0
19,533,189,-2,5,5.385164807134504
20,532,193,-1,4,4.123105625617661
21,531,197,-1,4,4.123105625617661
22,530,201,-1,4,4.123105625617661
23,530,205,0,4,4.0
24,530,209,0,4,4.0
25,529,213,-1,4,4.123105625617661
26,530,217,1,4,4.123105625617661
27,530,221,0,4,4.0
28,530,225,0,4,4.0
29,531,229,1,4,4.123105625617661
30,532,233,1,4,4.123105625617661
31,533,237,1,4,4.123105625617661
32,534,241,1,4,4.123105625617661
33,534,246,0,5,5.0
34,535,250,1,4,4.123105625617661
35,536,254,1,4,4.123105625617661
36,536,259,0,5,5.0
37,535,263,-1,4,4.123105625617661
38,536,267,1,4,4.123105625617661
39,535,272,-1,5,5.0990195135927845
40,535,275,0,3,3.0
41,534,279,-1,4,4.123105625617661
42,533,283,-1,4,4.123105625617661
43,532,287,-1,4,4.123105625617661
44,532,292,0,5,5.0
45,531,296,-1,4,4.123105625617661
46,531,301,0,5,5.0
47,530,305,-1,4,4.123105625617661
48,530,309,0,4,4.0
49,531,314,1,5,5.0990195135927845
50,531,318,0,4,4.0
51,531,323,0,5,5.0
52,532,327,1,4,4.123105625617661
53,533,331,1,4,4.123105625617661
54,534,336,1,5,5.0990195135927845
55,535,340,1,4,4.123105625617661
56,536,345,1,5,5.0990195135927845
57,537,349,1,4,4.123105625617661
58,538,353,1,4,4.123105625617661
59,539,358,1,5,5.0990195135927845
60,539,363,0,5,5.0
61,539,367,0,4,4.0
62,540,371,1,4,4.123105625617661
63,540,376,0,5,5.0
64,539,380,-1,4,4.123105625617661
65,539,384,0,4,4.0
66,538,388,-1,4,4.123105625617661
67,537,392,-1,4,4.123105625617661
68,537,396,0,4,4.0
69,536,400,-1,4,4.123105625617661
70,535,405,-1,5,5.0990195135927845
71,535,409,0,4,4.0
72,534,413,-1,4,4.123105625617661
73,534,417,0,4,4.0
74,534,421,0,4,4.0
75,534,425,0,4,4.0
76,534,429,0,4,4.0
77,533,433,-1,4,4.123105625617661
78,534,437,1,4,4.123105625617661
79,534,441,0,4,4.0
80,535,445,1,4,4.123105625617661
81,535,449,0,4,4.0
82,536,453,1,4,4.123105625617661
83,536,457,0,4,4.0
84,536,462,0,5,5.0
85,536,466,0,4,4.0
86,536,471,0,5,5.0
87,535,475,-1,4,4.123105625617661
88,534,479,-1,4,4.123105625617661
89,534,483,0,4,4.0
90,533,486,-1,3,3.1622776601683795
91,532,490,-1,4,4.123105625617661
92,531,494,-1,4,4.123105625617661
93,530,497,-1,3,3.1622776601683795
94,529,501,-1,4,4.123105625617661
95,528,505,-1,4,4.123105625617661
96,528,509,0,4,4.0
97,527,513,-1,4,4.123105625617661
98,527,517,0,4,4.0
99,527,521,0,4,4.0
100,527,525,0,4,4.0
101,527,529,0,4,4.0
102,528,533,1,4,4.123105625617661
103,529,536,1,3,3.1622776601683795
104,530,540,1,4,4.123105625617661
105,530,544,0,4,4.0
106,531,548,1,4,4.123105625617661
107,533,556,2,8,8.246211251235321
108,533,560,0,4,4.0
109,534,564,1,4,4.123105625617661
110,534,568,0,4,4.0
111,534,572,0,4,4.0
112,533,576,-1,4,4.123105625617661
113,533,580,0,4,4.0
114,532,584,-1,4,4.123105625617661
115,532,588,0,4,4.0
116,532,592,0,4,4.0
117,531,595,-1,3,3.1622776601683795
118,530,599,-1,4,4.123105625617661
119,530,604,0,5,5.0
120,530,608,0,4,4.0
121,530,612,0,4,4.0
122,530,616,0,4,4.0
123,530,620,0,4,4.0
124,531,625,1,5,5.0990195135927845
125,531,629,0,4,4.0
126,532,633,1,4,4.123105625617661
127,533,637,1,4,4.123105625617661
128,534,641,1,4,4.123105625617661
129,534,645,0,4,4.0
130,535,649,1,4,4.123105625617661
131,536,653,1,4,4.123105625617661
132,537,657,1,4,4.123105625617661
133,537,662,0,5,5.0
134,537,666,0,4,4.0
135,538,670,1,4,4.123105625617661
136,537,674,-1,4,4.123105625617661
137,537,678,0,4,4.0
138,536,682,-1,4,4.123105625617661
139,536,687,0,5,5.0
140,535,690,-1,3,3.1622776601683795
141,535,695,0,5,5.0
142,534,699,-1,4,4.123105625617661
143,533,703,-1,4,4.123105625617661
144,533,707,0,4,4.0
145,533,712,0,5,5.0
146,533,716,0,4,4.0
147,533,720,0,4,4.0
148,533,724,0,4,4.0
149,534,728,1,4,4.123105625617661
150,535,732,1,4,4.123105625617661
151,535,737,0,5,5.0
152,536,741,1,4,4.123105625617661
153,537,743,1,2,2.23606797749979
154,538,745,1,2,2.23606797749979
155,538,748,0.16000000000000003,3.4,3.4037626239207692
156,538,751,0.1264,3.28,3.2824346086403606
157,538,766,0,15,15.0
158,540,768,2,2,2.8284271247461903
159,540,770,0,2,2.0
160,540,775,0,5,5.0
161,540,779,0,4,4.0
162,539,783,-1,4,4.123105625617661
163,539,787,0,4,4.0
164,538,791,-1,4,4.123105625617661
165,537,795,-1,4,4.123105625617661
166,536,799,-1,4,4.123105625617661
