Frame,X,Y,dX,dY,Magnitude
0,372,163,-7,1,7.0710678118654755
1,370,160,-2,-3,3.605551275463989
2,374,163,4,3,5.0
3,373,166,-0.33333333333333337,3,3.018461712712472
4,373,161,0,-5,5.0
5,375,167,2,6,6.324555320336759
6,377,172,2,5,5.385164807134504
7,379,179,2,7,7.280109889280518
8,382,184,3,5,5.830951894845301
9,384,189,2,5,5.385164807134504
10,387,195,3,6,6.708203932499369
11,389,200,2,5,5.385164807134504
12,392,206,3,6,6.708203932499369
13,393,211,1,5,5.0990195135927845
14,395,216,2,5,5.385164807134504
15,397,221,2,5,5.385164807134504
16,398,227,1,6,6.082762530298219
17,400,233,2,6,6.324555320336759
18,401,239,1,6,6.082762530298219
19,402,245,1,6,6.082762530298219
20,403,251,1,6,6.082762530298219
21,405,257,2,6,6.324555320336759
22,406,263,1,6,6.082762530298219
23,408,270,2,7,7.280109889280518
24,409,275,1,5,5.0990195135927845
25,412,281,3,6,6.708203932499369
26,414,287,2,6,6.324555320336759
27,416,293,2,6,6.324555320336759
28,418,299,2,6,6.324555320336759
29,419,304,1,5,5.0990195135927845
30,421,310,2,6,6.324555320336759
31,422,316,1,6,6.082762530298219
32,423,321,1,5,5.0990195135927845
33,424,326,1,5,5.0990195135927845
34,424,332,0,6,6.0
35,424,337,0,5,5.0
36,424,342,0,5,5.0
37,424,348,0,6,6.0
38,424,353,0,5,5.0
39,423,358,-1,5,5.0990195135927845
40,423,364,0,6,6.0
41,422,369,-1,5,5.0990195135927845
42,421,375,-1,6,6.082762530298219
43,420,381,-1,6,6.082762530298219
44,419,387,-1,6,6.082762530298219
45,418,393,-1,6,6.082762530298219
46,416,400,-2,7,7.280109889280518
47,415,406,-1,6,6.082762530298219
48,414,412,-1,6,6.082762530298219
49,412,418,-2,6,6.324555320336759
50,410,424,-2,6,6.324555320336759
51,409,429,-1,5,5.0990195135927845
52,407,435,-2,6,6.324555320336759
53,406,441,-1,6,6.082762530298219
54,404,446,-2,5,5.385164807134504
55,403,452,-1,6,6.082762530298219
56,402,457,-1,5,5.0990195135927845
57,401,463,-1,6,6.082762530298219
58,400,469,-1,6,6.082762530298219
59,400,475,0,6,6.0
60,399,480,-1,5,5.0990195135927845
61,399,486,0,6,6.0
62,400,492,1,6,6.082762530298219
63,400,498,0,6,6.0
64,401,504,1,6,6.082762530298219
65,402,510,1,6,6.082762530298219
66,404,516,2,6,6.324555320336759
67,405,521,1,5,5.0990195135927845
68,407,526,2,5,5.385164807134504
69,408,531,1,5,5.0990195135927845
70,409,536,1,5,5.0990195135927845
71,410,541,1,5,5.0990195135927845
72,410,546,0,5,5.0
73,411,551,1,5,5.0990195135927845
74,411,557,0,6,6.0
75,411,562,0,5,5.0
76,411,568,0,6,6.0
77,412,573,1,5,5.0990195135927845
78,413,578,1,5,5.0990195135927845
79,414,584,1,6,6.082762530298219
80,415,589,1,5,5.0990195135927845
81,417,594,2,5,5.385164807134504
82,419,600,2,6,6.324555320336759
83,421,605,2,5,5.385164807134504
84,423,610,2,5,5.385164807134504
85,425,614,2,4,4.47213595499958
86,427,619,2,5,5.385164807134504
87,429,624,2,5,5.385164807134504
88,430,629,1,5,5.0990195135927845
89,431,635,1,6,6.082762530298219
90,432,640,1,5,5.0990195135927845
91,432,646,0,6,6.0
92,433,652,1,6,6.082762530298219
93,433,658,0,6,6.0
94,433,664,0,6,6.0
95,434,669,1,5,5.0990195135927845
96,433,674,-1,5,5.0990195135927845
97,433,679,0,5,5.0
98,432,684,-1,5,5.0990195135927845
99,431,689,-1,5,5.0990195135927845
100,431,694,0,5,5.0
101,430,700,-1,6,6.082762530298219
102,430,705,0,5,5.0
103,429,710,-1,5,5.0990195135927845
104,429,717,0,7,7.0
105,430,723,1,6,6.082762530298219
106,430,727,0,4,4.0
107,431,730,1,3,3.1622776601683795
108,432,733,1,3,3.1622776601683795
109,432,737,0.12,4.6,4.601564951187801
110,433,753,1,16,16.0312195418814
111,433,756,0,3,3.0
112,434,760,1,4,4.123105625617661
113,435,765,1,5,5.0990195135927845
114,436,771,1,6,6.082762530298219
115,437,777,1,6,6.082762530298219
116,438,783,1,6,6.082762530298219
