Frame,X,Y,dX,dY,Magnitude
0,412,136,-1,0,1.0
1,411,139,-1,3,3.1622776601683795
2,412,144,1,5,5.0990195135927845
3,411,148,-1,4,4.123105625617661
4,411,153,0,5,5.0
5,411,157,0,4,4.0
6,410,162,-1,5,5.0990195135927845
7,410,166,0,4,4.0
8,413,172,3,6,6.708203932499369
9,411,176,-2,4,4.47213595499958
10,410,181,-1,5,5.0990195135927845
11,409,185,-1,4,4.123105625617661
12,409,190,0,5,5.0
13,409,195,0,5,5.0
14,408,198,-1,3,3.1622776601683795
15,408,204,0,6,6.0
16,408,208,0,4,4.0
17,408,212,0,4,4.0
18,407,216,-1,4,4.123105625617661
19,407,220,0,4,4.0
20,408,223,1,3,3.1622776601683795
21,408,229,0,6,6.0
22,408,235,0,6,6.0
23,408,239,0,4,4.0
24,409,243,1,4,4.123105625617661
25,409,248,0,5,5.0
26,410,251,1,3,3.1622776601683795
27,410,255,0,4,4.0
28,410,258,0,3,3.0
29,411,262,1,4,4.123105625617661
30,412,265,1,3,3.1622776601683795
31,409,272,-3,7,7.615773105863909
32,409,276,0,4,4.0
33,408,280,-1,4,4.123105625617661
34,408,285,0,5,5.0
35,407,290,-1,5,5.0990195135927845
36,407,294,0,4,4.0
37,406,299,-1,5,5.0990195135927845
38,406,304,0,5,5.0
39,407,307,1,3,3.1622776601683795
40,405,311,-2,4,4.47213595499958
41,406,316,1,5,5.0990195135927845
42,405,320,-1,4,4.123105625617661
43,405,324,0,4,4.0
44,406,332,1,8,8.06225774829855
45,409,338,3,6,6.708203932499369
46,407,342,-2,4,4.47213595499958
47,405,347,-2,5,5.385164807134504
48,406,351,1,4,4.123105625617661
49,405,357,-1,6,6.082762530298219
50,404,360,-1,3,3.1622776601683795
51,404,364,0,4,4.0
52,403,369,-1,5,5.0990195135927845
53,403,374,0,5,5.0
54,402,379,-1,5,5.0990195135927845
55,403,383,1,4,4.123105625617661
56,402,387,-0.04000000000000001,4.6,4.600173909756021
57,398,390,-4,3,5.0
58,398,395,0,5,5.0
59,398,400,0,5,5.0
60,398,404,0,4,4.0
61,398,409,0,5,5.0
62,398,413,0,4,4.0
63,399,417,1,4,4.123105625617661
64,399,421,0,4,4.0
65,399,426,0,5,5.0
66,399,429,0,3,3.0
67,399,433,0,4,4.0
68,399,437,0,4,4.0
69,399,442,0,5,5.0
70,399,446,0,4,4.0
71,399,450,0,4,4.0
72,398,455,-1,5,5.0990195135927845
73,399,460,1,5,5.0990195135927845
74,399,464,0.0,4.6,4.6
75,398,470,-1,6,6.082762530298219
76,397,475,-1,5,5.0990195135927845
77,396,478,-1,3,3.1622776601683795
78,395,482,-1,4,4.123105625617661
79,394,487,-1,5,5.0990195135927845
80,393,491,-1,4,4.123105625617661
81,392,495,-1,4,4.123105625617661
82,391,499,-1,4,4.123105625617661
83,390,503,-1,4,4.123105625617661
84,389,507,-1,4,4.123105625617661
85,388,511,-1,4,4.123105625617661
86,388,514,0,3,3.0
87,387,519,-1,5,5.0990195135927845
88,386,523,-1,4,4.123105625617661
89,386,527,0,4,4.0
90,386,531,0,4,4.0
91,386,535,0,4,4.0
92,387,540,1,5,5.0990195135927845
93,387,544,0,4,4.0
94,388,549,1,5,5.0990195135927845
95,388,554,0,5,5.0
96,389,560,1,6,6.082762530298219
97,390,564,1,4,4.123105625617661
98,390,568,0.12,4.8,4.801499765698213
99,393,573,3,5,5.830951894845301
100,392,578,-1,5,5.0990195135927845
101,392,581,0,3,3.0
102,392,586,0,5,5.0
103,392,591,0,5,5.0
104,392,597,0,6,6.0
105,391,601,-1,4,4.123105625617661
106,390,605,-1,4,4.123105625617661
107,389,610,-1,5,5.0990195135927845
108,388,614,-1,4,4.123105625617661
109,387,618,-1,4,4.123105625617661
110,385,624,-2,6,6.324555320336759
111,385,629,0,5,5.0
112,384,633,-1,4,4.123105625617661
113,384,638,0,5,5.0
114,384,643,0,5,5.0
115,385,647,1,4,4.123105625617661
116,385,651,0,4,4.0
117,385,655,0,4,4.0
118,386,659,1,4,4.123105625617661
119,386,663,0,4,4.0
120,387,667,1,4,4.123105625617661
121,387,671,0,4,4.0
122,387,675,0,4,4.0
123,387,679,0,4,4.0
124,388,684,1,5,5.0990195135927845
125,388,688,0,4,4.0
126,389,694,1,6,6.082762530298219
127,388,698,-1,4,4.123105625617661
128,389,703,1,5,5.0990195135927845
129,390,707,1,4,4.123105625617661
130,387,712,-3,5,5.830951894845301
131,387,716,0,4,4.0
132,388,720,1,4,4.123105625617661
133,389,726,1,6,6.082762530298219
134,389,730,0,4,4.0
135,389,736,0,6,6.0
136,389,740,0,4,4.0
137,389,744,0,4,4.0
138,388,749,-1,5,5.0990195135927845
139,388,754,0,5,5.0
140,384,758,-4,4,5.656854249492381
141,383,762,-0.2,4.4,4.404543109109048
142,387,771,4,9,9.848857801796104
143,386,776,-1,5,5.0990195135927845
144,384,780,-2,4,4.47213595499958
