Frame,X,Y,dX,dY,Magnitude
0,542,146,-1,3,3.1622776601683795
1,542,147,0,1,1.0
2,542,150,0,3,3.0
3,543,150,1,0,1.0
4,542,150,-1,0,1.0
5,542,150,0,0,0.0
6,542,150,0,0,0.0
7,542,151,0,1,1.0
8,542,152,0,1,1.0
9,542,155,0,3,3.0
10,542,156,0,1,1.0
11,542,159,0,3,3.0
12,542,160,0,1,1.0
13,542,180,0,20,20.0
14,542,184,0,4,4.0
15,542,187,0,3,3.0
16,543,191,1,4,4.123105625617661
17,543,195,0,4,4.0
18,543,199,0,4,4.0
19,543,202,0,3,3.0
20,543,206,0,4,4.0
21,543,209,0,3,3.0
22,543,212,0,3,3.0
23,543,216,0,4,4.0
24,543,219,0,3,3.0
25,542,223,-1,4,4.123105625617661
26,542,227,0,4,4.0
27,542,231,0,4,4.0
28,541,234,-1,3,3.1622776601683795
29,541,238,0,4,4.0
30,541,242,0,4,4.0
31,541,246,0,4,4.0
32,540,249,-1,3,3.1622776601683795
33,540,253,0,4,4.0
34,541,256,1,3,3.1622776601683795
35,541,259,0,3,3.0
36,541,262,0,3,3.0
37,541,266,0,4,4.0
38,541,269,0,3,3.0
39,541,274,0,5,5.0
40,542,277,1,3,3.1622776601683795
41,542,281,0,4,4.0
42,543,284,1,3,3.1622776601683795
43,543,289,0,5,5.0
44,543,292,0,3,3.0
45,543,296,0,4,4.0
46,542,299,-1,3,3.1622776601683795
47,543,302,1,3,3.1622776601683795
48,543,306,0,4,4.0
49,542,309,-1,3,3.1622776601683795
50,542,313,0,4,4.0
51,542,316,0,3,3.0
52,541,320,-1,4,4.123105625617661
53,541,323,0,3,3.0
54,540,328,-1,5,5.0990195135927845
55,540,331,0,3,3.0
56,540,335,0,4,4.0
57,540,339,0,4,4.0
58,539,343,-1,4,4.123105625617661
59,539,346,0,3,3.0
60,539,349,0,3,3.0
61,539,352,0,3,3.0
62,540,356,1,4,4.123105625617661
63,540,359,0,3,3.0
64,541,363,1,4,4.123105625617661
65,541,367,0,4,4.0
66,541,370,0,3,3.0
67,542,374,1,4,4.123105625617661
68,542,378,0,4,4.0
69,542,382,0,4,4.0
70,543,385,1,3,3.1622776601683795
71,543,389,0,4,4.0
72,542,392,-1,3,3.1622776601683795
73,542,395,0,3,3.0
74,542,399,0,4,4.0
75,542,402,0,3,3.0
76,541,406,-1,4,4.123105625617661
77,541,409,0,3,3.0
78,540,413,-1,4,4.123105625617661
79,540,417,0,4,4.0
80,540,421,0,4,4.0
81,539,424,-1,3,3.1622776601683795
82,539,428,0,4,4.0
83,539,432,0,4,4.0
84,539,435,0,3,3.0
85,539,439,0,4,4.0
86,539,442,0,3,3.0
87,539,445,0,3,3.0
88,540,449,1,4,4.123105625617661
89,540,452,0,3,3.0
90,540,456,0,4,4.0
91,541,459,1,3,3.1622776601683795
92,542,463,1,4,4.123105625617661
93,542,467,0,4,4.0
94,542,471,0,4,4.0
95,543,474,1,3,3.1622776601683795
96,543,478,0,4,4.0
97,542,481,-1,3,3.1622776601683795
98,542,485,0,4,4.0
99,542,488,0,3,3.0
100,542,491,0,3,3.0
101,541,494,-1,3,3.1622776601683795
102,541,498,0,4,4.0
103,540,501,-1,3,3.1622776601683795
104,539,505,-1,4,4.123105625617661
105,539,509,0,4,4.0
106,538,513,-1,4,4.123105625617661
107,538,516,0,3,3.0
108,538,520,0,4,4.0
109,538,524,0,4,4.0
110,538,527,0,3,3.0
111,538,531,0,4,4.0
112,539,534,1,3,3.1622776601683795
113,539,537,0,3,3.0
114,540,540,1,3,3.1622776601683795
115,540,544,0,4,4.0
116,541,547,1,3,3.1622776601683795
117,541,551,0,4,4.0
118,542,555,1,4,4.123105625617661
119,543,559,1,4,4.123105625617661
120,543,562,0,3,3.0
121,543,566,0,4,4.0
122,543,570,0,4,4.0
123,542,573,-1,3,3.1622776601683795
124,542,576,0,3,3.0
125,542,579,0,3,3.0
126,541,582,-1,3,3.1622776601683795
127,541,586,0,4,4.0
128,540,589,-1,3,3.1622776601683795
129,539,592,-1,3,3.1622776601683795
130,538,596,-1,4,4.123105625617661
131,538,600,0,4,4.0
132,537,604,-1,4,4.123105625617661
133,537,608,0,4,4.0
134,537,611,0,3,3.0
135,537,615,0,4,4.0
136,537,618,0,3,3.0
137,538,621,1,3,3.1622776601683795
138,538,625,0,4,4.0
139,539,628,1,3,3.1622776601683795
140,539,632,0,4,4.0
141,540,635,1,3,3.1622776601683795
142,541,639,1,4,4.123105625617661
143,542,643,1,4,4.123105625617661
144,542,646,0,3,3.0
145,543,650,1,4,4.123105625617661
146,543,654,0,4,4.0
147,543,657,0,3,3.0
148,542,660,-1,3,3.1622776601683795
149,542,663,0,3,3.0
150,541,667,-1,4,4.123105625617661
151,541,670,0,3,3.0
152,540,673,-1,3,3.1622776601683795
153,539,677,-1,4,4.123105625617661
154,539,681,0,4,4.0
155,538,684,-1,3,3.1622776601683795
156,537,688,-1,4,4.123105625617661
157,537,692,0,4,4.0
158,536,695,-1,3,3.1622776601683795
159,536,699,0,4,4.0
160,536,702,0,3,3.0
161,536,706,0,4,4.0
162,537,709,1,3,3.1622776601683795
163,537,713,0,4,4.0
164,538,717,1,4,4.123105625617661
165,539,719,1,2,2.23606797749979
166,539,722,0.12,3.4,3.4021169879943867
167,539,725,0.12480000000000001,3.28,3.2823733852199077
168,539,728,0.08979200000000001,3.336,3.3372082049617457
169,539,731,0.09338368000000002,3.2032,3.2045609296267625
170,539,734,0.05711902720000002,3.0438400000000003,3.0443758849505222
171,539,737,0.019403788288000004,3.252608,3.2526658771942634
172,539,740,0.015379939819520001,3.223129599999999,3.2231662943362083
173,539,743,0.011003137412300804,3.2117555199999996,3.2117743677418225
174,541,753,2,10,10.198039027185569
175,541,756,0,3,3.0
176,540,758,-1,2,2.23606797749979
177,539,761,-1,3,3.1622776601683795
178,537,765,-2,4,4.47213595499958
179,537,768,0,3,3.0
180,536,772,-1,4,4.123105625617661
181,535,776,-1,4,4.123105625617661
182,535,779,0,3,3.0
183,535,783,0,4,4.0
184,535,787,0,4,4.0
