Frame,X,Y,dX,dY,Magnitude
0,580,116,0,0,0.0
1,580,118,0,2,2.0
2,579,121,-1,3,3.1622776601683795
3,580,123,1,2,2.23606797749979
4,580,128,0,5,5.0
5,580,130,0.0,2.4,2.4
6,579,133,-1,3,3.1622776601683795
7,581,136,2,3,3.605551275463989
8,579,139,-2,3,3.605551275463989
9,579,142,0,3,3.0
10,579,144,0,2,2.0
11,578,146,-0.04000000000000001,2.8,2.8002856997099417
12,581,150,3,4,5.0
13,581,152,0.038400000000000004,2.96,2.960249070601999
14,581,154,0.119936,2.9520000000000004,2.9544354188399518
15,581,156,0.12473344000000003,2.9424,2.9450426467292856
16,581,159,0.12972277760000003,3.13088,3.1335662707892835
17,581,162,0.13651168870400002,3.1970560000000003,3.199969141771342
18,581,165,0.021972156252160004,3.0364672,3.036546695232301
19,581,168,0.021315042502246404,3.0517606400000004,3.0518350766203084
20,581,171,0.017370204202336256,3.0717127680000003,3.0717618809224545
21,581,174,0.013075674770429709,3.0975753216,3.0976029193968753
22,581,177,0.008409790657246896,3.0909143859200006,3.0909258266199324
23,581,180,0.0032857147353767715,3.069686063104,3.0696878215766925
24,581,183,0.002538257074705442,3.0763298357248003,3.0763308828732248
25,581,186,0.0017871856576038025,3.0812436748697603,3.0812441931722123
26,582,197,1,11,11.045361017187261
27,582,200,0,3,3.0
28,582,203,0,3,3.0
29,581,206,-1,3,3.1622776601683795
30,580,209,-1,3,3.1622776601683795
31,580,212,0,3,3.0
32,581,215,1,3,3.1622776601683795
33,580,218,-1,3,3.1622776601683795
34,582,220,2,2,2.8284271247461903
35,581,224,-1,4,4.123105625617661
36,581,226,0,2,2.0
37,580,229,-1,3,3.1622776601683795
38,583,230,3,1,3.1622776601683795
39,583,232,0.12,2.4,2.402998127340094
40,583,234,0.044800000000000006,2.48,2.480404612155041
41,583,236,0.086592,2.176,2.177722244562883
42,583,245,0,9,9.0
43,581,248,-2,3,3.605551275463989
44,583,251,2,3,3.605551275463989
45,582,255,-1,4,4.123105625617661
46,583,258,1,3,3.1622776601683795
47,582,261,-1,3,3.1622776601683795
48,583,265,1,4,4.123105625617661
49,583,268,0.08000000000000002,3.4,3.400941046239996
50,583,271,0.003200000000000001,3.4799999999999995,3.4800014712640563
51,583,274,0.043328000000000005,3.376,3.376278026997184
52,583,277,0.005061120000000001,3.4512,3.451203711016731
53,583,280,0.04526356480000001,3.54144,3.5417292476837363
54,583,283,0.007074107392000002,3.4497279999999995,3.449735253172247
55,583,286,0.004157071687680001,3.4596736,3.4596760975244454
56,583,289,0.004195354555187201,3.4556083199999996,3.45561086672864
57,583,292,0.0026300487373946894,3.471529984,3.4715309802689935
58,583,295,0.0025328058868904764,3.4755959808,3.475596903678385
59,583,298,0.0008235755303660948,3.46242717696,3.462427274908146
60,583,301,0.0005735542559007385,3.4649670123519996,3.4649670598220736
61,583,304,0.000430213558629568,3.4660256948223997,3.4660257215221018
62,583,307,0.00027960791876726265,3.46810916978688,3.4681091810582365
63,583,310,0.00018559028602216569,3.4674250069442563,3.467425011911019
64,583,313,9.17016619874332e-05,3.4657908121731067,3.465790813386278
65,583,316,6.242670725228673e-05,3.4664635392157286,3.4664635397778425
66,583,319,4.198160530634865e-05,3.4667628445884744,3.4667628448426675
67,583,322,2.645232717341988e-05,3.4669102745416893,3.466910274642604
68,583,325,1.6326103509666163e-05,3.4666704954926515,3.466670495531095
69,583,328,9.555536209166186e-06,3.4665195932023303,3.4665195932155
70,582,328,-1,0,1.0
71,579,331,-3,3,4.242640687119285
72,581,333,2,2,2.8284271247461903
73,580,335,-0.07999896473441125,2.3866380177389965,2.38797840485958
74,579,337,-0.08319957636792807,2.1706315221882653,2.1722254428638728
75,583,343,4,6,7.211102550927978
76,583,346,0.11347205835590644,3.111453907985452,3.11352233483967
77,583,348,0,2,2.0
78,583,351,0.1580109406901427,3.133744689582543,3.1377258065141023
79,583,354,0.16753133690712485,3.283166023951252,3.287437587190632
80,583,357,0.17756057343812698,3.5056729243038496,3.510166721031464
81,583,360,0.024662996375652044,3.0068075091646196,3.0069086551737767
82,583,362,0.021110633896441865,2.985878229400453,2.9859528562372004
83,583,365,0.02195505925229954,3.1830538752805437,3.1831295917014217
84,583,368,0.016512823994785812,3.1929157124201435,3.1929584118769405
85,583,371,0.01047208347829225,3.174865650113922,3.174882920802856
86,580,377,-3,6,6.708203932499369
87,577,380,-3,3,4.242640687119285
88,576,383,-0.2380424013309849,3.710167047562922,3.717795543820718
89,578,388,2,5,5.385164807134504
90,577,392,-0.16910281271410768,4.177006539535369,4.180428135082465
91,576,396,-0.17628580856180373,4.377434717419659,4.380982925277297
92,583,398,7,2,7.280109889280518
93,581,402,-2,4,4.47213595499958
94,581,405,0.26618445514896355,3.910888251391006,3.9199363616047584
95,581,408,0.1968318333549221,3.6930659016692067,3.6983075216500927
96,584,410,3,2,3.605551275463989
97,584,413,0.33852065154015554,3.120790830612042,3.139097265130753
98,584,415,0,2,2.0
99,584,417,0.15206147760176167,2.944948996734451,2.948872205833559
100,584,419,0.14749655849987356,2.75176114580314,2.755711276298937
101,586,426,2,7,7.280109889280518
102,585,430,-1,4,4.123105625617661
103,583,432,-2,2,2.8284271247461903
104,585,434,2,2,2.8284271247461903
105,584,438,-1,4,4.123105625617661
106,583,440,-1,2,2.23606797749979
107,582,443,-1,3,3.1622776601683795
108,584,448,2,5,5.385164807134504
109,582,451,-2,3,3.605551275463989
110,583,454,1,3,3.1622776601683795
111,583,458,0,4,4.0
112,583,461,0.0,3.6,3.6
113,583,464,0.04000000000000001,3.72,3.720215047547655
114,582,467,-0.038400000000000004,3.464,3.4642128341082046
115,582,471,0,4,4.0
116,581,475,-1,4,4.123105625617661
117,581,477,0,2,2.0
118,583,480,2,3,3.605551275463989
119,582,483,-1,3,3.1622776601683795
120,584,486,2,3,3.605551275463989
121,584,489,0,3,3.0
122,585,492,1,3,3.1622776601683795
123,585,494,0,2,2.0
124,585,496,0.08000000000000002,2.8,2.801142624001855
125,587,500,2,4,4.47213595499958
126,586,503,-1,3,3.1622776601683795
127,586,506,0,3,3.0
128,586,507,0,1,1.0
129,586,512,0,5,5.0
130,587,513,1,1,1.4142135623730951
131,587,515,0.0,2.6,2.6
132,586,519,-1,4,4.123105625617661
133,587,522,1,3,3.1622776601683795
134,586,525,-1,3,3.1622776601683795
135,586,528,0,3,3.0
136,585,531,-1,3,3.1622776601683795
137,584,534,-1,3,3.1622776601683795
138,584,536,0,2,2.0
139,584,540,0,4,4.0
140,583,543,-1,3,3.1622776601683795
141,583,546,0,3,3.0
142,584,550,1,4,4.123105625617661
143,584,553,0.0,3.2,3.2
144,583,555,-1,2,2.23606797749979
145,582,558,-0.04000000000000001,3.04,3.0402631465055783
146,581,561,-0.0016000000000000005,3.0479999999999996,3.0480004199474773
147,579,564,-2,3,3.605551275463989
148,584,569,5,5,7.0710678118654755
149,582,573,-2,4,4.47213595499958
150,582,577,0,4,4.0
151,583,581,1,4,4.123105625617661
152,585,583,2,2,2.8284271247461903
153,585,585,0,2,2.0
154,586,589,1,4,4.123105625617661
155,587,591,1,2,2.23606797749979
156,587,594,0,3,3.0
157,588,595,1,1,1.4142135623730951
158,590,600,2,5,5.385164807134504
159,589,604,-1,4,4.123105625617661
160,590,608,1,4,4.123105625617661
161,590,611,0.12,3.4,3.4021169879943867
162,589,614,-1,3,3.1622776601683795
163,587,616,-2,2,2.8284271247461903
164,586,619,-1,3,3.1622776601683795
165,585,622,-0.1152,3.08,3.082153636663818
166,586,624,1,2,2.23606797749979
167,585,626,-0.124608,2.616,2.6189660466802547
168,584,631,-1,5,5.0990195135927845
169,583,635,-1,4,4.123105625617661
170,583,639,0,4,4.0
171,583,642,0,3,3.0
172,584,645,1,3,3.1622776601683795
173,583,648,-0.04000000000000001,3.8,3.8002105204843586
174,582,651,-0.0016000000000000005,3.56,3.5600003595505436
175,582,654,0.038336,3.472,3.4722116365359987
176,582,658,0,4,4.0
177,582,661,0.039869440000000006,3.5664000000000002,3.5666228469304007
178,584,664,2,3,3.605551275463989
179,586,667,2,3,3.605551275463989
180,587,670,1,3,3.1622776601683795
181,587,673,0,3,3.0
182,588,675,1,2,2.23606797749979
183,588,678,0,3,3.0
184,589,682,1,4,4.123105625617661
185,589,684,0,2,2.0
186,590,687,1,3,3.1622776601683795
187,590,690,0,3,3.0
188,591,693,1,3,3.1622776601683795
189,591,696,0.12,3.0,3.0023990407672327
190,591,699,0,3,3.0
191,591,701,0,2,2.0
192,590,704,-1,3,3.1622776601683795
193,590,706,0.004800000000000005,2.8,2.8000041142826912
194,589,709,-1,3,3.1622776601683795
195,587,712,-2,3,3.605551275463989
196,587,715,0,3,3.0
197,585,717,-2,2,2.8284271247461903
198,583,719,-2,2,2.8284271247461903
199,583,722,0,3,3.0
200,582,725,-1,3,3.1622776601683795
201,583,728,1,3,3.1622776601683795
202,584,733,1,5,5.0990195135927845
203,582,736,-2,3,3.605551275463989
204,582,739,0,3,3.0
205,581,742,-1,3,3.1622776601683795
206,582,745,1,3,3.1622776601683795
207,582,749,0,4,4.0
208,584,752,2,3,3.605551275463989
209,585,756,1,4,4.123105625617661
210,585,759,0,3,3.0
211,587,762,2,3,3.605551275463989
212,587,764,0,2,2.0
213,587,767,0.2,3.0,3.0066592756745814
214,591,772,4,5,6.4031242374328485
215,593,774,2,2,2.8284271247461903
216,593,777,0.328,3.0,3.0178773997629524
217,593,781,0,4,4.0
218,593,784,0,3,3.0
219,593,787,0.25312,3.4,3.4094090007507165
