Frame,X,Y,dX,dY,Magnitude
0,928,264,13,9,15.811388300841896
1,924,270,-4,6,7.211102550927978
2,921,276,-3,6,6.708203932499369
3,917,282,-4,6,7.211102550927978
4,915,288,-2,6,6.324555320336759
5,912,295,-3,7,7.615773105863909
6,910,301,-2,6,6.324555320336759
7,908,307,-2,6,6.324555320336759
8,908,314,0,7,7.0
9,907,321,-1,7,7.0710678118654755
10,908,327,1,6,6.082762530298219
11,908,334,0,7,7.0
12,908,340,0,6,6.0
13,909,347,1,7,7.0710678118654755
14,909,353,0,6,6.0
15,908,359,-1,6,6.082762530298219
16,908,364,0,5,5.0
17,906,370,-2,6,6.324555320336759
18,906,377,0,7,7.0
19,905,383,-1,6,6.082762530298219
20,904,389,-1,6,6.082762530298219
21,903,396,-1,7,7.0710678118654755
22,902,403,-1,7,7.0710678118654755
23,902,410,0,7,7.0
24,901,417,-1,7,7.0710678118654755
25,901,423,0,6,6.0
26,901,430,0,7,7.0
27,901,437,0,7,7.0
28,901,444,0,7,7.0
29,901,451,0,7,7.0
30,902,458,1,7,7.0710678118654755
31,902,465,0,7,7.0
32,902,473,0,8,8.0
33,902,480,0,7,7.0
34,902,487,0,7,7.0
35,902,495,0,8,8.0
36,901,503,-1,8,8.06225774829855
37,901,510,0,7,7.0
38,901,519,0,9,9.0
39,900,527,-1,8,8.06225774829855
40,900,536,0,9,9.0
41,899,544,-1,8,8.06225774829855
42,899,551,0,7,7.0
43,898,557,-1,6,6.082762530298219
44,897,563,-1,6,6.082762530298219
45,896,569,-1,6,6.082762530298219
46,895,576,-1,7,7.0710678118654755
47,895,582,0,6,6.0
48,894,589,-1,7,7.0710678118654755
49,893,595,-1,6,6.082762530298219
50,892,602,-1,7,7.0710678118654755
51,891,609,-1,7,7.0710678118654755
52,890,616,-1,7,7.0710678118654755
53,888,623,-2,7,7.280109889280518
54,887,630,-1,7,7.0710678118654755
55,884,636,-3,6,6.708203932499369
56,881,642,-3,6,6.708203932499369
57,878,649,-3,7,7.615773105863909
58,876,655,-2,6,6.324555320336759
59,873,662,-3,7,7.615773105863909
60,870,669,-3,7,7.615773105863909
61,867,676,-3,7,7.615773105863909
62,865,682,-2,6,6.324555320336759
63,863,690,-2,8,8.246211251235321
64,862,696,-1,6,6.082762530298219
65,861,702,-1,6,6.082762530298219
66,861,708,0,6,6.0
67,861,714,0,6,6.0
68,863,719,2,5,5.385164807134504
69,866,725,3,6,6.708203932499369
70,869,729,3,4,5.0
71,872,735,3,6,6.708203932499369
72,875,740,3,5,5.830951894845301
73,878,744,3,4,5.0
74,880,748,2,4,4.47213595499958
75,882,750,2,2,2.8284271247461903
76,885,753,3,3,4.242640687119285
77,896,764,11,11,15.556349186104045
78,892,769,-4,5,6.4031242374328485
79,895,779,3,10,10.44030650891055
80,900,785,5,6,7.810249675906654
81,904,789,4,4,5.656854249492381
82,908,793,4,4,5.656854249492381
83,915,801,7,8,10.63014581273465
84,920,806,5,5,7.0710678118654755
85,923,810,3,4,5.0
86,928,817,5,7,8.602325267042627
87,932,819,4,2,4.47213595499958
