Frame,X,Y,dX,dY,Magnitude
0,710,123,-6,-4,7.211102550927978
1,711,124,1,1,1.4142135623730951
2,711,124,0,0,0.0
3,710,124,-1,0,1.0
4,709,122,-1,-2,2.23606797749979
5,711,122,2,0,2.0
6,711,122,0,0,0.0
7,711,124,0,2,2.0
8,710,127,-1,3,3.1622776601683795
9,711,130,1,3,3.1622776601683795
10,710,132,-1,2,2.23606797749979
11,711,134,1,2,2.23606797749979
12,711,141,0,7,7.0
13,711,145,0,4,4.0
14,712,149,1,4,4.123105625617661
15,712,153,0,4,4.0
16,712,156,0,3,3.0
17,710,159,-2,3,3.605551275463989
18,707,163,-3,4,5.0
19,710,166,3,3,4.242640687119285
20,710,171,0,5,5.0
21,710,174,0,3,3.0
22,710,178,0,4,4.0
23,712,182,2,4,4.47213595499958
24,713,185,1,3,3.1622776601683795
25,712,189,-1,4,4.123105625617661
26,710,192,-2,3,3.605551275463989
27,712,195,2,3,3.605551275463989
28,712,196,0,1,1.0
29,709,199,-3,3,4.242640687119285
30,713,202,4,3,5.0
31,712,204,-1,2,2.23606797749979
32,712,207,0,3,3.0
33,712,210,0,3,3.0
34,713,212,1,2,2.23606797749979
35,712,215,-1,3,3.1622776601683795
36,712,218,0,3,3.0
37,712,222,0,4,4.0
38,713,226,1,4,4.123105625617661
39,713,229,0,3,3.0
40,713,233,0,4,4.0
41,714,236,1,3,3.1622776601683795
42,714,240,0,4,4.0
43,714,243,0,3,3.0
44,715,246,1,3,3.1622776601683795
45,715,249,0,3,3.0
46,715,252,0,3,3.0
47,716,255,1,3,3.1622776601683795
48,716,258,0,3,3.0
49,716,261,0,3,3.0
50,716,264,0,3,3.0
51,716,268,0,4,4.0
52,716,271,0,3,3.0
53,716,275,0,4,4.0
54,715,278,-1,3,3.1622776601683795
55,715,282,0,4,4.0
56,715,285,0,3,3.0
57,714,289,-1,4,4.123105625617661
58,714,292,0,3,3.0
59,713,295,-1,3,3.1622776601683795
60,713,298,0,3,3.0
61,713,301,0,3,3.0
62,713,304,0,3,3.0
63,713,307,0,3,3.0
64,713,310,0,3,3.0
65,713,314,0,4,4.0
66,714,317,1,3,3.1622776601683795
67,714,321,0,4,4.0
68,714,324,0,3,3.0
69,714,328,0,4,4.0
70,715,331,1,3,3.1622776601683795
71,715,335,0,4,4.0
72,715,338,0,3,3.0
73,716,341,1,3,3.1622776601683795
74,716,344,0,3,3.0
75,717,347,1,3,3.1622776601683795
76,717,350,0,3,3.0
77,717,353,0,3,3.0
78,717,356,0,3,3.0
79,717,360,0,4,4.0
80,718,363,1,3,3.1622776601683795
81,717,367,-1,4,4.123105625617661
82,717,370,0,3,3.0
83,716,374,-1,4,4.123105625617661
84,717,377,1,3,3.1622776601683795
85,716,381,-1,4,4.123105625617661
86,715,384,-1,3,3.1622776601683795
87,714,387,-1,3,3.1622776601683795
88,715,390,1,3,3.1622776601683795
89,715,394,0,4,4.0
90,714,397,-1,3,3.1622776601683795
91,714,400,0,3,3.0
92,714,403,0,3,3.0
93,713,407,-1,4,4.123105625617661
94,714,410,1,3,3.1622776601683795
95,714,414,0,4,4.0
96,714,417,0,3,3.0
97,714,421,0,4,4.0
98,715,424,1,3,3.1622776601683795
99,715,428,0,4,4.0
100,716,431,1,3,3.1622776601683795
101,717,434,1,3,3.1622776601683795
102,718,437,1,3,3.1622776601683795
103,718,441,0,4,4.0
104,719,444,1,3,3.1622776601683795
