Frame,X,Y,dX,dY,Magnitude
0,749,93,-1,0,1.0
1,750,101,1,8,8.06225774829855
2,756,106,6,5,7.810249675906654
3,758,116,2,10,10.198039027185569
4,760,125,2,9,9.219544457292887
5,755,141,-5,16,16.76305461424021
6,764,144,9,3,9.486832980505138
7,761,159,-3,15,15.297058540778355
8,767,163,6,4,7.211102550927978
9,770,173,3,10,10.44030650891055
10,765,188,-5,15,15.811388300841896
11,767,198,2,10,10.198039027185569
12,767,209,0,11,11.0
13,768,218,1,9,9.055385138137417
14,770,228,2,10,10.198039027185569
15,771,238,1,10,10.04987562112089
16,771,248,0,10,10.0
17,771,258,0,10,10.0
18,771,267,0,9,9.0
19,770,278,-1,11,11.045361017187261
20,770,287,0,9,9.0
21,769,297,-1,10,10.04987562112089
22,768,307,-1,10,10.04987562112089
23,766,317,-2,10,10.198039027185569
24,765,327,-1,10,10.04987562112089
25,763,337,-2,10,10.198039027185569
26,761,347,-2,10,10.198039027185569
27,758,357,-3,10,10.44030650891055
28,756,367,-2,10,10.198039027185569
29,754,377,-2,10,10.198039027185569
30,751,386,-3,9,9.486832980505138
31,749,396,-2,10,10.198039027185569
32,746,406,-3,10,10.44030650891055
33,743,415,-3,9,9.486832980505138
34,741,425,-2,10,10.198039027185569
35,738,434,-3,9,9.486832980505138
36,737,444,-1,10,10.04987562112089
37,734,453,-3,9,9.486832980505138
38,733,463,-1,10,10.04987562112089
39,731,473,-2,10,10.198039027185569
40,729,483,-2,10,10.198039027185569
41,729,492,0,9,9.0
42,727,502,-2,10,10.198039027185569
43,727,512,0,10,10.0
44,734,515,7,3,7.615773105863909
45,735,525,1,10,10.04987562112089
46,729,540,-6,15,16.15549442140351
47,729,550,0,10,10.0
48,737,554,8,4,8.94427190999916
49,733,569,-4,15,15.524174696260024
50,735,578,2,9,9.219544457292887
51,737,587,2,9,9.219544457292887
52,739,597,2,10,10.198039027185569
53,741,607,2,10,10.198039027185569
54,744,616,3,9,9.486832980505138
55,746,626,2,10,10.198039027185569
56,749,635,3,9,9.486832980505138
57,751,645,2,10,10.198039027185569
58,753,654,2,9,9.219544457292887
59,755,664,2,10,10.198039027185569
60,757,674,2,10,10.198039027185569
61,759,683,2,9,9.219544457292887
62,761,692,2,9,9.219544457292887
63,770,696,9,4,9.848857801796104
64,764,711,-6,15,16.15549442140351
65,766,721,2,10,10.198039027185569
66,767,731,1,10,10.04987562112089
67,768,740,1,9,9.055385138137417
68,769,749,1,9,9.055385138137417
69,776,757,7,8,10.63014581273465
70,773,767,-3,10,10.44030650891055
71,772,776,-1,9,9.055385138137417
72,772,786,0,10,10.0
73,772,795,0,9,9.0
74,771,803,-1,8,8.06225774829855
75,769,815,-2,12,12.165525060596439
76,765,826,-4,11,11.704699910719626
77,764,835,-1,9,9.055385138137417
78,762,844,-2,9,9.219544457292887
