Frame,X,Y,dX,dY,Magnitude
0,849,113,0,0,0.0
1,847,122,-2,9,9.219544457292887
2,855,121,8,-1,8.06225774829855
3,851,129,-4,8,8.94427190999916
4,849,139,-2,10,10.198039027185569
5,846,147,-3,8,8.54400374531753
6,844,158,-2,11,11.180339887498949
7,838,164,-6,6,8.48528137423857
8,837,172,-0.68,8.6,8.626841832327749
9,836,180,-0.5472,8.72,8.737152158455295
10,835,188,-0.489088,8.464,8.478119076289504
11,834,196,-0.38865152000000003,8.556799999999999,8.565621766340042
12,833,204,-0.32419758080000005,8.06816,8.07467088227109
13,832,212,-0.09716548403200001,8.481792,8.482348534607098
14,831,220,-0.07385210339328001,8.4581504,8.45847281264152
15,830,228,-0.0549181875290112,8.40578048,8.405959878875851
16,829,236,-0.03755139503017166,8.394136576,8.39422056916601
17,828,244,-0.023507390031378517,8.361603891200001,8.361636934878067
18,827,252,-0.011479782400633657,8.420292669439998,8.420300494900935
19,826,260,-0.008052354335379002,8.407992803328,8.407996659206388
20,825,268,-0.005420364373062962,8.397961283993599,8.397963033248322
21,824,276,-0.003440451446825032,8.396397444792319,8.396398149660433
22,823,284,-0.0020760137034911666,8.396849618550785,8.396849875184703
23,822,292,-0.001218758650375673,8.40389876402094,8.403898852394962
24,821,300,-0.0008083177003653535,8.400619982937126,8.400620021825773
25,820,308,-0.0005185562349648074,8.399145418858954,8.399145434866568
26,819,316,-0.0003224839094408813,8.399382245832024,8.399382252022711
27,818,324,-0.00019776520794551525,8.399979206039966,8.399979208368011
28,817,332,-0.00012263526812368922,8.400605123537803,8.400605124432941
29,816,340,-7.879033283360987e-05,8.399946395441173,8.399946395810694
30,815,348,-4.960923813234013e-05,8.399811677941983,8.39981167808848
31,814,356,-3.085135825904144e-05,8.39994492975859,8.399944929815245
32,813,364,-1.9186056211767838e-05,8.400057466543903,8.400057466565814
33,812,372,-1.2042890142417942e-05,8.40007311864469,8.400073118653323
34,811,380,-7.619195023167089e-06,8.399966717666068,8.399966717669523
35,810,388,-4.772349510749377e-06,8.399970782111046,8.399970782112401
36,809,396,-2.978873965885747e-06,8.40000260294486,8.400002602945387
37,808,404,-1.8639745941595198e-06,8.400014137582113,8.40001413758232
38,807,412,-1.171091329455187e-06,8.400005471789756,8.400005471789838
39,806,420,-7.362193769366769e-07,8.399991942418769,8.3999919424188
40,805,428,-4.609003510874603e-07,8.39999698736931,8.399996987369322
41,804,436,-2.8844238470098364e-07,8.40000222842096,8.400002228420965
42,803,444,-1.808251214535931e-07,8.40000215351618,8.400002153516182
43,802,452,-1.1349914254535602e-07,8.399999756702996,8.399999756702998
44,801,460,-7.11954550689628e-08,8.399998613685643,8.399998613685643
45,800,468,-4.459449819425424e-08,8.399999947939017,8.399999947939017
46,799,476,-2.794226407852599e-08,8.40000054005296,8.40000054005296
47,798,484,-1.7522259253627684e-08,8.400000202379358,8.400000202379358
48,797,492,-1.0990144765629068e-08,8.399999812151995,8.399999812151995
49,796,500,-6.889784854439991e-09,8.399999823241796,8.399999823241796
50,795,508,-4.317558045859079e-09,8.400000065153026,8.400000065153026
51,794,516,-2.7064804399232722e-09,8.400000088595826,8.400000088595826
52,793,524,-1.6970490943791636e-09,8.399999998304398,8.399999998304398
53,792,532,-1.064040688009223e-09,8.399999957489408,8.399999957489408
54,791,540,-6.669965249044292e-10,8.39999998655689,8.39999998655689
55,790,548,-4.180849917230067e-10,8.400000019219911,8.400000019219911
56,789,556,-2.6210606955756374e-10,8.400000010033287,8.400000010033287
57,788,564,-1.6433109474293546e-10,8.39999999432078,8.39999999432078
58,787,572,-1.0302237475748631e-10,8.399999993524055,8.399999993524055
