Frame,X,Y,dX,dY,Magnitude
0,635,137,-5,18,18.681541692269406
1,632,141,-3,4,5.0
2,631,144,-1,3,3.1622776601683795
3,630,147,-1,3,3.1622776601683795
4,629,150,-1,3,3.1622776601683795
5,628,156,-0.44000000000000006,6.2,6.2155932942881655
6,634,159,6,3,6.708203932499369
7,634,162,0.1024,3.6399999999999997,3.641440066786765
8,634,165,0.14649600000000002,3.768,3.770846732236143
9,634,168,0.19235584000000006,3.9216,3.9263147262009075
10,634,172,0.24005007360000002,4.10592,4.112931203440603
11,621,174,-13,2,13.152946437965905
12,620,180,-1,6,6.082762530298219
13,618,188,-2,8,8.246211251235321
14,617,195,-1,7,7.0710678118654755
15,614,203,-3,8,8.54400374531753
16,612,210,-2,7,7.280109889280518
17,611,217,-1,7,7.0710678118654755
18,610,223,-1,6,6.082762530298219
19,609,231,-1,8,8.06225774829855
20,608,238,-1,7,7.0710678118654755
21,608,244,0,6,6.0
22,607,251,-1,7,7.0710678118654755
23,607,258,0,7,7.0
24,606,266,-1,8,8.06225774829855
25,606,272,0,6,6.0
26,607,279,1,7,7.0710678118654755
27,607,286,0,7,7.0
28,608,293,1,7,7.0710678118654755
29,610,301,2,8,8.246211251235321
30,611,308,1,7,7.0710678118654755
31,613,315,2,7,7.280109889280518
32,615,323,2,8,8.246211251235321
33,616,330,1,7,7.0710678118654755
34,618,337,2,7,7.280109889280518
35,621,345,3,8,8.54400374531753
36,623,352,2,7,7.280109889280518
37,626,360,3,8,8.54400374531753
38,629,367,3,7,7.615773105863909
39,632,375,3,8,8.54400374531753
40,636,382,4,7,8.06225774829855
41,640,389,4,7,8.06225774829855
42,643,396,3,7,7.615773105863909
43,647,402,4,6,7.211102550927978
44,650,409,3,7,7.615773105863909
45,654,416,4,7,8.06225774829855
46,657,423,3,7,7.615773105863909
47,660,430,3,7,7.615773105863909
48,662,437,2,7,7.280109889280518
49,664,444,2,7,7.280109889280518
50,665,452,1,8,8.06225774829855
51,666,459,1,7,7.0710678118654755
52,667,466,1,7,7.0710678118654755
53,668,474,1,8,8.06225774829855
54,670,481,2,7,7.280109889280518
55,672,487,2,6,6.324555320336759
56,674,493,2,6,6.324555320336759
57,676,500,2,7,7.280109889280518
58,677,506,1,6,6.082762530298219
59,679,512,2,6,6.324555320336759
60,680,518,1,6,6.082762530298219
61,681,525,1,7,7.0710678118654755
62,683,531,2,6,6.324555320336759
63,684,538,1,7,7.0710678118654755
64,687,545,3,7,7.615773105863909
65,689,553,2,8,8.246211251235321
66,692,560,3,7,7.615773105863909
67,694,567,2,7,7.280109889280518
68,696,574,2,7,7.280109889280518
69,698,581,2,7,7.280109889280518
70,700,589,2,8,8.246211251235321
71,701,596,1,7,7.0710678118654755
72,703,604,2,8,8.246211251235321
73,705,612,2,8,8.246211251235321
74,707,620,2,8,8.246211251235321
75,710,628,3,8,8.54400374531753
76,713,635,3,7,7.615773105863909
77,716,642,3,7,7.615773105863909
78,720,649,4,7,8.06225774829855
79,723,656,3,7,7.615773105863909
80,727,662,4,6,7.211102550927978
81,730,669,3,7,7.615773105863909
82,733,677,3,8,8.54400374531753
83,736,684,3,7,7.615773105863909
84,740,692,4,8,8.94427190999916
85,743,700,3,8,8.54400374531753
86,747,708,4,8,8.94427190999916
87,752,716,5,8,9.433981132056603
88,756,723,4,7,8.06225774829855
89,760,730,4,7,8.06225774829855
90,764,737,4,7,8.06225774829855
91,767,744,3,7,7.615773105863909
92,771,751,4,7,8.06225774829855
93,773,755,2,4,4.47213595499958
94,780,754,7,-1,7.0710678118654755
95,780,758,0.8,4.8,4.866210024238575
96,780,762,0.6720000000000002,4.36,4.411483197293173
97,780,765,0.5788800000000001,3.832,3.8754775259830883
98,780,768,0.4420352000000001,3.1984000000000004,3.2288012757119384
99,780,771,0.37971660799999996,3.03808,3.0617176206814087
100,780,774,0.11490527232000002,3.8456960000000002,3.8474122401976802
101,780,777,0.08750148321280002,3.6548352,3.6558824993048504
102,780,780,0.064121542541312,3.5138022400000004,3.514387251576994
103,780,783,0.043531204242964486,3.4501626880000003,3.4504372968379284
