Frame,X,Y,dX,dY,Magnitude
0,595,109,0,1,1.0
1,591,115,-4,6,7.211102550927978
2,587,122,-4,7,8.06225774829855
3,589,125,2,3,3.605551275463989
4,584,133,-5,8,9.433981132056603
5,592,133,8,0,8.0
6,583,149,-9,16,18.35755975068582
7,593,150,10,1,10.04987562112089
8,595,165,2,15,15.132745950421556
9,585,178,-10,13,16.401219466856727
10,585,187,0,9,9.0
11,584,197,-1,10,10.04987562112089
12,584,206,0,9,9.0
13,583,216,-1,10,10.04987562112089
14,582,225,-1,9,9.055385138137417
15,582,234,0,9,9.0
16,582,243,0,9,9.0
17,588,240,6,-3,6.708203932499369
18,583,259,-5,19,19.6468827043885
19,582,268,-1,9,9.055385138137417
20,580,278,-2,10,10.198039027185569
21,580,286,0,8,8.0
22,581,295,1,9,9.055385138137417
23,587,302,6,7,9.219544457292887
24,588,314,1,12,12.041594578792296
25,593,322,5,8,9.433981132056603
26,594,332,1,10,10.04987562112089
27,596,344,2,12,12.165525060596439
28,598,353,2,9,9.219544457292887
29,601,362,3,9,9.486832980505138
30,603,369,2,7,7.280109889280518
31,605,377,2,8,8.246211251235321
32,609,384,4,7,8.06225774829855
33,612,393,3,9,9.486832980505138
34,616,402,4,9,9.848857801796104
35,619,409,3,7,7.615773105863909
36,623,418,4,9,9.848857801796104
37,626,426,3,8,8.54400374531753
38,628,434,2,8,8.246211251235321
39,629,442,1,8,8.06225774829855
40,630,450,1,8,8.06225774829855
41,632,458,2,8,8.246211251235321
42,636,466,4,8,8.94427190999916
43,639,474,3,8,8.54400374531753
44,641,482,2,8,8.246211251235321
45,644,491,3,9,9.486832980505138
46,645,500,1,9,9.055385138137417
47,648,509,3,9,9.486832980505138
48,651,517,3,8,8.54400374531753
49,654,524,3,7,7.615773105863909
50,655,533,1,9,9.055385138137417
51,659,541,4,8,8.94427190999916
52,661,549,2,8,8.246211251235321
53,664,557,3,8,8.54400374531753
54,666,565,2,8,8.246211251235321
55,669,573,3,8,8.54400374531753
56,669,581,0,8,8.0
57,671,589,2,8,8.246211251235321
58,674,597,3,8,8.54400374531753
59,676,605,2,8,8.246211251235321
60,682,613,6,8,10.0
61,682,623,0,10,10.0
62,684,632,2,9,9.219544457292887
63,687,641,3,9,9.486832980505138
64,689,650,2,9,9.219544457292887
65,693,658,4,8,8.94427190999916
66,695,668,2,10,10.198039027185569
67,706,670,11,2,11.180339887498949
68,701,687,-5,17,17.72004514666935
69,703,696,2,9,9.219544457292887
70,713,697,10,1,10.04987562112089
71,709,713,-4,16,16.492422502470642
72,718,712,9,-1,9.055385138137417
73,722,721,4,9,9.848857801796104
74,728,725,6,4,7.211102550927978
75,729,730,1.0,5.8,5.885575587824865
76,734,744,5,14,14.866068747318506
77,725,761,-9,17,19.235384061671343
78,728,768,3,7,7.615773105863909
79,731,777,3,9,9.486832980505138
80,735,784,4,7,8.06225774829855
81,738,790,3,6,6.708203932499369
82,742,797,4,7,8.06225774829855
83,744,805,2,8,8.246211251235321
84,745,813,1,8,8.06225774829855
85,746,825,1,12,12.041594578792296
86,749,832,3,7,7.615773105863909
