Frame,X,Y,dX,dY,Magnitude
0,676,106,-1,-1,1.4142135623730951
1,681,107,5,1,5.0990195135927845
2,674,122,-7,15,16.55294535724685
3,674,127,0,5,5.0
4,672,134,-2,7,7.280109889280518
5,671,141,-1,7,7.0710678118654755
6,670,147,-1,6,6.082762530298219
7,668,153,-2,6,6.324555320336759
8,667,161,-1,8,8.06225774829855
9,667,168,0,7,7.0
10,666,174,-1,6,6.082762530298219
11,665,181,-1,7,7.0710678118654755
12,664,188,-1,7,7.0710678118654755
13,664,196,0,8,8.0
14,663,203,-1,7,7.0710678118654755
15,663,211,0,8,8.0
16,662,219,-1,8,8.06225774829855
17,661,227,-1,8,8.06225774829855
18,661,234,0,7,7.0
19,660,241,-1,7,7.0710678118654755
20,659,248,-1,7,7.0710678118654755
21,659,254,0,6,6.0
22,659,260,0,6,6.0
23,658,266,-1,6,6.082762530298219
24,658,272,0,6,6.0
25,658,278,0,6,6.0
26,657,284,-1,6,6.082762530298219
27,657,290,0,6,6.0
28,657,297,0,7,7.0
29,657,304,0,7,7.0
30,656,310,-1,6,6.082762530298219
31,656,317,0,7,7.0
32,656,323,0,6,6.0
33,656,329,0,6,6.0
34,656,335,0,6,6.0
35,656,342,0,7,7.0
36,657,349,1,7,7.0710678118654755
37,657,356,0,7,7.0
38,657,364,0,8,8.0
39,658,371,1,7,7.0710678118654755
40,658,378,0,7,7.0
41,659,386,1,8,8.06225774829855
42,659,393,0,7,7.0
43,659,401,0,8,8.0
44,659,408,0,7,7.0
45,660,415,1,7,7.0710678118654755
46,660,423,0,8,8.0
47,660,430,0,7,7.0
48,660,437,0,7,7.0
49,661,445,1,8,8.06225774829855
50,661,453,0,8,8.0
51,662,461,1,8,8.06225774829855
52,662,470,0,9,9.0
53,662,476,0,6,6.0
54,663,482,1,6,6.082762530298219
55,663,488,0,6,6.0
56,663,494,0,6,6.0
57,664,501,1,7,7.0710678118654755
58,664,507,0,6,6.0
59,664,513,0,6,6.0
60,664,520,0,7,7.0
61,665,529,1,9,9.055385138137417
62,665,535,0,6,6.0
63,665,542,0,7,7.0
64,665,548,0,6,6.0
65,665,555,0,7,7.0
66,664,560,-1,5,5.0990195135927845
67,664,566,0,6,6.0
68,663,572,-1,6,6.082762530298219
69,662,579,-1,7,7.0710678118654755
70,662,584,0,5,5.0
71,661,591,-1,7,7.0710678118654755
72,660,598,-1,7,7.0710678118654755
73,660,604,0,6,6.0
74,659,611,-1,7,7.0710678118654755
75,658,618,-1,7,7.0710678118654755
76,658,625,0,7,7.0
77,657,632,-1,7,7.0710678118654755
78,657,639,0,7,7.0
79,656,646,-1,7,7.0710678118654755
80,655,653,-1,7,7.0710678118654755
81,654,660,-1,7,7.0710678118654755
82,654,667,0,7,7.0
83,653,675,-1,8,8.06225774829855
84,652,682,-1,7,7.0710678118654755
85,652,689,0,7,7.0
86,653,696,1,7,7.0710678118654755
87,652,702,-1,6,6.082762530298219
88,652,708,0,6,6.0
89,652,711,0,3,3.0
90,652,718,0,7,7.0
91,654,728,2,10,10.198039027185569
92,655,732,1,4,4.123105625617661
93,655,735,0,3,3.0
94,655,739,0,4,4.0
95,658,750,3,11,11.40175425099138
96,661,758,3,8,8.54400374531753
97,664,763,3,5,5.830951894845301
98,662,768,-2,5,5.385164807134504
99,662,772,0,4,4.0
