Frame,X,Y,dX,dY,Magnitude
0,348,107,-1,1,1.4142135623730951
1,351,112,3,5,5.830951894845301
2,346,124,-5,12,13.0
3,348,130,2,6,6.324555320336759
4,349,138,1,8,8.06225774829855
5,350,145,1,7,7.0710678118654755
6,351,153,1,8,8.06225774829855
7,351,161,0,8,8.0
8,352,169,1,8,8.06225774829855
9,353,177,1,8,8.06225774829855
10,354,185,1,8,8.06225774829855
11,355,193,1,8,8.06225774829855
12,357,202,2,9,9.219544457292887
13,359,210,2,8,8.246211251235321
14,360,217,1,7,7.0710678118654755
15,362,225,2,8,8.246211251235321
16,363,231,1,6,6.082762530298219
17,364,238,1,7,7.0710678118654755
18,365,244,1,6,6.082762530298219
19,365,250,0,6,6.0
20,366,256,1,6,6.082762530298219
21,366,263,0,7,7.0
22,366,269,0,6,6.0
23,366,276,0,7,7.0
24,366,283,0,7,7.0
25,365,290,-1,7,7.0710678118654755
26,365,297,0,7,7.0
27,366,306,1,9,9.055385138137417
28,364,313,-2,7,7.280109889280518
29,365,323,1,10,10.04987562112089
30,365,331,0,8,8.0
31,365,339,0,8,8.0
32,365,345,0,6,6.0
33,366,353,1,8,8.06225774829855
34,367,360,1,7,7.0710678118654755
35,367,367,0,7,7.0
36,368,374,1,7,7.0710678118654755
37,370,381,2,7,7.280109889280518
38,372,388,2,7,7.280109889280518
39,374,395,2,7,7.280109889280518
40,376,402,2,7,7.280109889280518
41,379,410,3,8,8.54400374531753
42,381,418,2,8,8.246211251235321
43,383,425,2,7,7.280109889280518
44,385,432,2,7,7.280109889280518
45,386,438,1,6,6.082762530298219
46,385,442,-1,4,4.123105625617661
47,384,446,-1,4,4.123105625617661
48,383,452,-1,6,6.082762530298219
49,382,458,-1,6,6.082762530298219
50,381,464,-1,6,6.082762530298219
51,380,471,-1,7,7.0710678118654755
52,379,478,-1,7,7.0710678118654755
53,377,484,-2,6,6.324555320336759
54,376,491,-1,7,7.0710678118654755
55,374,498,-2,7,7.280109889280518
56,372,505,-2,7,7.280109889280518
57,370,511,-2,6,6.324555320336759
58,368,518,-2,7,7.280109889280518
59,367,524,-1,6,6.082762530298219
60,365,531,-2,7,7.280109889280518
61,362,537,-3,6,6.708203932499369
62,360,545,-2,8,8.246211251235321
63,359,552,-1,7,7.0710678118654755
64,357,560,-2,8,8.246211251235321
65,357,567,0,7,7.0
66,356,574,-1,7,7.0710678118654755
67,355,581,-1,7,7.0710678118654755
68,355,588,0,7,7.0
69,355,594,0,6,6.0
70,356,602,1,8,8.06225774829855
71,356,608,0,6,6.0
72,356,615,0,7,7.0
73,356,621,0,6,6.0
74,356,628,0,7,7.0
75,356,634,0,6,6.0
76,357,641,1,7,7.0710678118654755
77,357,647,0,6,6.0
78,357,654,0,7,7.0
79,359,661,2,7,7.280109889280518
80,360,667,1,6,6.082762530298219
81,361,674,1,7,7.0710678118654755
82,362,679,1,5,5.0990195135927845
83,364,686,2,7,7.280109889280518
84,366,693,2,7,7.280109889280518
85,369,697,3,4,5.0
86,375,699,6,2,6.324555320336759
87,370,712,-5,13,13.92838827718412
88,373,718,3,6,6.708203932499369
89,375,725,2,7,7.280109889280518
90,379,733,4,8,8.94427190999916
91,382,740,3,7,7.615773105863909
92,383,749,1,9,9.055385138137417
93,388,757,5,8,9.433981132056603
94,391,765,3,8,8.54400374531753
95,393,772,2,7,7.280109889280518
