Frame,X,Y,dX,dY,Magnitude
0,489,245,0,0,0.0
1,488,252,-1,7,7.0710678118654755
2,489,259,1,7,7.0710678118654755
3,489,266,0,7,7.0
4,489,274,0,8,8.0
5,489,281,0,7,7.0
6,489,288,0,7,7.0
7,490,295,1,7,7.0710678118654755
8,489,302,-1,7,7.0710678118654755
9,488,309,-1,7,7.0710678118654755
10,486,315,-2,6,6.324555320336759
11,484,321,-2,6,6.324555320336759
12,483,327,-1,6,6.082762530298219
13,481,333,-2,6,6.324555320336759
14,479,339,-2,6,6.324555320336759
15,476,345,-3,6,6.708203932499369
16,474,352,-2,7,7.280109889280518
17,471,359,-3,7,7.615773105863909
18,468,365,-3,6,6.708203932499369
19,465,371,-3,6,6.708203932499369
20,461,376,-4,5,6.4031242374328485
21,458,381,-3,5,5.830951894845301
22,456,386,-2,5,5.385164807134504
23,454,391,-2,5,5.385164807134504
24,451,397,-3,6,6.708203932499369
25,450,403,-1,6,6.082762530298219
26,448,409,-2,6,6.324555320336759
27,446,416,-2,7,7.280109889280518
28,445,422,-1,6,6.082762530298219
29,444,430,-1,8,8.06225774829855
30,443,438,-1,8,8.06225774829855
31,440,445,-3,7,7.615773105863909
32,438,452,-2,7,7.280109889280518
33,436,458,-2,6,6.324555320336759
34,434,465,-2,7,7.280109889280518
35,433,471,-1,6,6.082762530298219
36,432,477,-1,6,6.082762530298219
37,431,484,-1,7,7.0710678118654755
38,431,490,0,6,6.0
39,432,496,1,6,6.082762530298219
40,432,501,0,5,5.0
41,433,507,1,6,6.082762530298219
42,435,512,2,5,5.385164807134504
43,436,518,1,6,6.082762530298219
44,437,525,1,7,7.0710678118654755
45,439,532,2,7,7.280109889280518
46,441,539,2,7,7.280109889280518
47,444,545,3,6,6.708203932499369
48,447,552,3,7,7.615773105863909
49,450,558,3,6,6.708203932499369
50,453,564,3,6,6.708203932499369
51,456,570,3,6,6.708203932499369
52,459,575,3,5,5.830951894845301
53,461,580,2,5,5.385164807134504
54,463,586,2,6,6.324555320336759
55,466,592,3,6,6.708203932499369
56,468,599,2,7,7.280109889280518
57,471,606,3,7,7.615773105863909
58,473,612,2,6,6.324555320336759
59,476,619,3,7,7.615773105863909
60,479,627,3,8,8.54400374531753
61,482,634,3,7,7.615773105863909
62,485,640,3,6,6.708203932499369
63,488,647,3,7,7.615773105863909
64,490,653,2,6,6.324555320336759
65,493,657,3,4,5.0
66,495,663,2,6,6.324555320336759
67,497,669,2,6,6.324555320336759
68,498,676,1,7,7.0710678118654755
69,499,682,1,6,6.082762530298219
70,499,689,0,7,7.0
71,497,694,-2,5,5.385164807134504
72,496,700,-1,6,6.082762530298219
73,494,706,-2,6,6.324555320336759
74,492,708,-2,2,2.8284271247461903
75,491,712,-1,4,4.123105625617661
76,489,726,-2,14,14.142135623730951
77,488,730,-1,4,4.123105625617661
78,486,733,-2,3,3.605551275463989
79,485,737,-1,4,4.123105625617661
80,485,747,0,10,10.0
81,484,756,-1,9,9.055385138137417
82,482,761,-2,5,5.385164807134504
83,481,766,-1,5,5.0990195135927845
84,479,771,-2,5,5.385164807134504
