Frame,X,Y,dX,dY,Magnitude
0,782,135,-1,0,1.0
1,783,140,1,5,5.0990195135927845
2,784,144,1,4,4.123105625617661
3,784,147,0,3,3.0
4,785,151,1,4,4.123105625617661
5,786,155,1,4,4.123105625617661
6,786,159,0,4,4.0
7,786,163,0,4,4.0
8,786,167,0,4,4.0
9,786,172,0,5,5.0
10,785,176,-1,4,4.123105625617661
11,785,179,0,3,3.0
12,784,183,-1,4,4.123105625617661
13,783,188,-1,5,5.0990195135927845
14,783,192,0,4,4.0
15,782,196,-1,4,4.123105625617661
16,781,200,-1,4,4.123105625617661
17,781,204,0,4,4.0
18,781,208,0,4,4.0
19,781,212,0,4,4.0
20,781,216,0,4,4.0
21,781,220,0,4,4.0
22,782,224,1,4,4.123105625617661
23,782,228,0,4,4.0
24,783,232,1,4,4.123105625617661
25,783,237,0,5,5.0
26,784,241,1,4,4.123105625617661
27,785,245,1,4,4.123105625617661
28,785,249,0,4,4.0
29,786,253,1,4,4.123105625617661
30,786,257,0,4,4.0
31,786,261,0,4,4.0
32,786,265,0,4,4.0
33,786,269,0,4,4.0
34,786,273,0,4,4.0
35,785,277,-1,4,4.123105625617661
36,784,281,-1,4,4.123105625617661
37,784,285,0,4,4.0
38,783,289,-1,4,4.123105625617661
39,782,294,-1,5,5.0990195135927845
40,782,298,0,4,4.0
41,781,302,-1,4,4.123105625617661
42,781,306,0,4,4.0
43,781,310,0,4,4.0
44,782,314,1,4,4.123105625617661
45,782,318,0,4,4.0
46,782,322,0,4,4.0
47,783,326,1,4,4.123105625617661
48,783,330,0,4,4.0
49,785,334,2,4,4.47213595499958
50,785,338,0,4,4.0
51,785,342,0,4,4.0
52,786,346,1,4,4.123105625617661
53,787,350,1,4,4.123105625617661
54,787,354,0,4,4.0
55,787,358,0,4,4.0
56,787,362,0,4,4.0
57,787,366,0,4,4.0
58,787,370,0,4,4.0
59,786,374,-1,4,4.123105625617661
60,786,378,0,4,4.0
61,785,382,-1,4,4.123105625617661
62,785,386,0,4,4.0
63,784,391,-1,5,5.0990195135927845
64,784,394,0,3,3.0
65,783,398,-1,4,4.123105625617661
66,783,402,0,4,4.0
67,783,406,0,4,4.0
68,784,410,1,4,4.123105625617661
69,784,414,0,4,4.0
70,784,418,0,4,4.0
71,785,422,1,4,4.123105625617661
72,786,427,1,5,5.0990195135927845
73,786,431,0,4,4.0
74,787,434,1,3,3.1622776601683795
75,788,438,1,4,4.123105625617661
76,788,442,0,4,4.0
77,789,447,1,5,5.0990195135927845
78,789,450,0,3,3.0
79,789,454,0,4,4.0
80,789,458,0,4,4.0
81,789,462,0,4,4.0
82,789,467,0,5,5.0
83,789,471,0,4,4.0
84,788,475,-1,4,4.123105625617661
85,788,479,0,4,4.0
86,787,483,-1,4,4.123105625617661
87,787,487,0,4,4.0
88,786,490,-1,3,3.1622776601683795
89,786,495,0,5,5.0
90,786,499,0,4,4.0
91,786,502,0,3,3.0
92,786,506,0,4,4.0
93,786,510,0,4,4.0
94,787,514,1,4,4.123105625617661
95,788,519,1,5,5.0990195135927845
96,789,522,1,3,3.1622776601683795
97,789,527,0,5,5.0
98,790,531,1,4,4.123105625617661
99,790,534,0,3,3.0
100,791,538,1,4,4.123105625617661
101,791,542,0,4,4.0
102,792,546,1,4,4.123105625617661
103,792,550,0,4,4.0
104,792,555,0,5,5.0
105,792,559,0,4,4.0
106,792,563,0,4,4.0
107,791,567,-1,4,4.123105625617661
108,791,571,0,4,4.0
109,790,575,-1,4,4.123105625617661
110,790,579,0,4,4.0
111,789,582,-1,3,3.1622776601683795
112,789,586,0,4,4.0
113,789,590,0,4,4.0
114,789,594,0,4,4.0
115,789,598,0,4,4.0
116,789,602,0,4,4.0
117,789,606,0,4,4.0
