Frame,X,Y,dX,dY,Magnitude
0,997,139,0,0,0.0
1,997,143,0,4,4.0
2,996,146,-1,3,3.1622776601683795
3,996,150,0,4,4.0
4,995,153,-1,3,3.1622776601683795
5,995,157,0,4,4.0
6,995,160,0,3,3.0
7,995,164,0,4,4.0
8,995,168,0,4,4.0
9,996,171,1,3,3.1622776601683795
10,996,174,0,3,3.0
11,997,176,1,2,2.23606797749979
12,997,181,0,5,5.0
13,998,184,1,3,3.1622776601683795
14,998,188,0,4,4.0
15,999,191,1,3,3.1622776601683795
16,999,195,0,4,4.0
17,999,198,0,3,3.0
18,1000,201,1,3,3.1622776601683795
19,1000,205,0,4,4.0
20,1000,209,0,4,4.0
21,1000,213,0,4,4.0
22,1000,216,0,3,3.0
23,1000,219,0,3,3.0
24,1000,223,0,4,4.0
25,1000,226,0,3,3.0
26,999,229,-1,3,3.1622776601683795
27,999,232,0,3,3.0
28,998,236,-1,4,4.123105625617661
29,998,239,0,3,3.0
30,998,243,0,4,4.0
31,997,246,-1,3,3.1622776601683795
32,997,250,0,4,4.0
33,997,254,0,4,4.0
34,997,257,0,3,3.0
35,997,261,0,4,4.0
36,997,264,0,3,3.0
37,998,268,1,4,4.123105625617661
38,998,271,0,3,3.0
39,998,275,0,4,4.0
40,999,278,1,3,3.1622776601683795
41,999,281,0,3,3.0
42,1000,285,1,4,4.123105625617661
43,1000,289,0,4,4.0
44,1000,292,0,3,3.0
45,1001,295,1,3,3.1622776601683795
46,1001,299,0,4,4.0
47,1001,303,0,4,4.0
48,1001,307,0,4,4.0
49,1001,310,0,3,3.0
50,1001,314,0,4,4.0
51,1001,317,0,3,3.0
52,1001,320,0,3,3.0
53,1000,323,-1,3,3.1622776601683795
54,1000,327,0,4,4.0
55,999,330,-1,3,3.1622776601683795
56,999,334,0,4,4.0
57,998,337,-1,3,3.1622776601683795
58,998,341,0,4,4.0
59,998,344,0,3,3.0
60,997,348,-1,4,4.123105625617661
61,997,352,0,4,4.0
62,997,355,0,3,3.0
63,998,359,1,4,4.123105625617661
64,998,362,0,3,3.0
65,998,366,0,4,4.0
66,999,369,1,3,3.1622776601683795
67,999,372,0,3,3.0
68,1000,376,1,4,4.123105625617661
69,1000,379,0,3,3.0
70,1000,383,0,4,4.0
71,1001,386,1,3,3.1622776601683795
72,1001,390,0,4,4.0
73,1001,393,0,3,3.0
74,1001,397,0,4,4.0
75,1001,400,0,3,3.0
76,1001,404,0,4,4.0
77,1001,407,0,3,3.0
78,1001,410,0,3,3.0
79,1001,414,0,4,4.0
80,1000,418,-1,4,4.123105625617661
81,1000,421,0,3,3.0
82,1000,424,0,3,3.0
83,999,428,-1,4,4.123105625617661
84,999,431,0,3,3.0
85,998,434,-1,3,3.1622776601683795
86,998,438,0,4,4.0
87,998,442,0,4,4.0
