Frame,X,Y,dX,dY,Magnitude
0,766,288,0,1,1.0
1,766,292,0,4,4.0
2,767,296,1,4,4.123105625617661
3,766,299,-1,3,3.1622776601683795
4,766,303,0,4,4.0
5,767,307,1,4,4.123105625617661
6,766,311,-1,4,4.123105625617661
7,766,315,0,4,4.0
8,767,319,1,4,4.123105625617661
9,765,323,-2,4,4.47213595499958
10,765,326,0,3,3.0
11,765,330,0,4,4.0
12,764,334,-1,4,4.123105625617661
13,764,338,0,4,4.0
14,763,341,-1,3,3.1622776601683795
15,762,345,-1,4,4.123105625617661
16,762,348,0,3,3.0
17,762,353,0,5,5.0
18,761,356,-1,3,3.1622776601683795
19,762,360,1,4,4.123105625617661
20,761,363,-1,3,3.1622776601683795
21,760,367,-1,4,4.123105625617661
22,762,371,2,4,4.47213595499958
23,761,375,-1,4,4.123105625617661
24,761,379,0,4,4.0
25,762,383,1,4,4.123105625617661
26,762,386,0,3,3.0
27,762,390,0,4,4.0
28,762,394,0,4,4.0
29,762,398,0,4,4.0
30,763,402,1,4,4.123105625617661
31,761,405,-2,3,3.605551275463989
32,762,409,1,4,4.123105625617661
33,761,413,-1,4,4.123105625617661
34,762,418,1,5,5.0990195135927845
35,762,421,0,3,3.0
36,762,425,0,4,4.0
37,761,429,-1,4,4.123105625617661
38,761,432,0,3,3.0
39,761,436,0,4,4.0
40,761,440,0,4,4.0
41,760,444,-1,4,4.123105625617661
42,760,447,0,3,3.0
43,760,451,0,4,4.0
44,760,455,0,4,4.0
45,759,459,-1,4,4.123105625617661
46,759,462,0,3,3.0
47,760,467,1,5,5.0990195135927845
48,759,470,-1,3,3.1622776601683795
49,760,474,1,4,4.123105625617661
50,760,478,0,4,4.0
51,760,482,0,4,4.0
52,759,485,-1,3,3.1622776601683795
53,759,490,0,5,5.0
54,759,493,0,3,3.0
55,759,497,0,4,4.0
56,759,501,0,4,4.0
57,759,505,0,4,4.0
58,758,509,-1,4,4.123105625617661
59,758,512,0,3,3.0
60,757,516,-1,4,4.123105625617661
61,757,520,0,4,4.0
62,757,524,0,4,4.0
63,756,528,-1,4,4.123105625617661
64,756,531,0,3,3.0
65,756,535,0,4,4.0
66,755,539,-1,4,4.123105625617661
67,755,543,0,4,4.0
68,755,546,0,3,3.0
69,755,550,0,4,4.0
70,755,554,0,4,4.0
71,756,558,1,4,4.123105625617661
72,756,562,0,4,4.0
73,756,565,0,3,3.0
74,757,569,1,4,4.123105625617661
75,757,572,0,3,3.0
76,757,576,0,4,4.0
77,758,580,1,4,4.123105625617661
78,758,583,0,3,3.0
79,758,587,0,4,4.0
80,758,591,0,4,4.0
81,758,594,0,3,3.0
82,757,598,-1,4,4.123105625617661
83,756,602,-1,4,4.123105625617661
84,757,606,1,4,4.123105625617661
85,756,610,-1,4,4.123105625617661
86,756,613,0,3,3.0
87,756,616,0,3,3.0
88,756,620,0,4,4.0
89,756,624,0,4,4.0
90,756,628,0,4,4.0
91,757,631,1,3,3.1622776601683795
92,757,635,0,4,4.0
93,757,639,0,4,4.0
94,759,642,2,3,3.605551275463989
95,759,645,0,3,3.0
96,760,649,1,4,4.123105625617661
97,759,653,-1,4,4.123105625617661
98,758,657,-1,4,4.123105625617661
99,759,660,1,3,3.1622776601683795
100,759,664,0,4,4.0
101,758,667,-1,3,3.1622776601683795
102,758,671,0,4,4.0
103,757,674,-1,3,3.1622776601683795
104,755,678,-2,4,4.47213595499958
105,755,681,0,3,3.0
106,755,685,0,4,4.0
107,754,689,-1,4,4.123105625617661
108,755,693,1,4,4.123105625617661
109,755,696,0,3,3.0
110,755,700,0,4,4.0
111,755,703,0,3,3.0
112,756,707,1,4,4.123105625617661
113,755,710,-1,3,3.1622776601683795
114,756,714,1,4,4.123105625617661
115,756,718,0,4,4.0
116,756,722,0,4,4.0
117,756,725,0,3,3.0
118,756,729,0,4,4.0
119,755,733,-1,4,4.123105625617661
120,756,736,1,3,3.1622776601683795
121,756,740,0,4,4.0
122,756,743,0,3,3.0
123,755,747,-1,4,4.123105625617661
124,755,751,0,4,4.0
125,754,754,-1,3,3.1622776601683795
126,753,758,-1,4,4.123105625617661
127,750,765,-3,7,7.615773105863909
128,750,767,0,2,2.0
129,750,771,0,4,4.0
130,749,774,-1,3,3.1622776601683795
131,749,778,0,4,4.0
132,749,781,0,3,3.0
133,749,785,0,4,4.0
134,749,789,0,4,4.0
135,749,792,0,3,3.0
136,749,796,0,4,4.0
137,749,800,0,4,4.0
138,749,803,0,3,3.0
139,749,807,0,4,4.0
140,749,811,0,4,4.0
141,749,813,0,2,2.0
142,749,816,0.0,3.4,3.4
143,753,820,4,4,5.656854249492381
144,753,824,0,4,4.0
145,752,828,-1,4,4.123105625617661
146,752,832,0,4,4.0
147,752,835,0,3,3.0
148,751,839,-1,4,4.123105625617661
149,751,843,0,4,4.0
