Frame,X,Y,dX,dY,Magnitude
0,578,204,0,0,0.0
1,578,208,0,4,4.0
2,578,214,0,6,6.0
3,578,217,0.0,3.3333333333333335,3.3333333333333335
4,568,221,-10,4,10.770329614269007
5,569,226,1,5,5.0990195135927845
6,570,230,1,4,4.123105625617661
7,571,236,1,6,6.082762530298219
8,572,240,1,4,4.123105625617661
9,573,245,1,5,5.0990195135927845
10,573,249,0.2,4.8,4.804164859785725
11,573,253,0.16800000000000004,4.76,4.762963783192141
12,577,258,4,5,6.4031242374328485
13,578,261,1,3,3.1622776601683795
14,578,266,0,5,5.0
15,579,270,1,4,4.123105625617661
16,579,275,0,5,5.0
17,578,279,-1,4,4.123105625617661
18,578,283,0.04000000000000001,4.2,4.200190471871484
19,576,288,-2,5,5.385164807134504
20,575,292,-1,4,4.123105625617661
21,574,298,-1,6,6.082762530298219
22,573,301,-1,3,3.1622776601683795
23,571,305,-2,4,4.47213595499958
24,570,311,-1,6,6.082762530298219
25,569,315,-1,4,4.123105625617661
26,568,320,-1,5,5.0990195135927845
27,567,325,-1,5,5.0990195135927845
28,567,330,0,5,5.0
29,567,335,0,5,5.0
30,568,339,1,4,4.123105625617661
31,570,343,2,4,4.47213595499958
32,570,349,0,6,6.0
33,571,354,1,5,5.0990195135927845
34,573,359,2,5,5.385164807134504
35,573,363,0,4,4.0
36,574,367,1,4,4.123105625617661
37,575,371,1,4,4.123105625617661
38,576,376,1,5,5.0990195135927845
39,577,380,1,4,4.123105625617661
40,577,384,0,4,4.0
41,578,388,1,4,4.123105625617661
42,577,392,-1,4,4.123105625617661
43,576,397,-1,5,5.0990195135927845
44,576,401,0,4,4.0
45,575,405,-1,4,4.123105625617661
46,573,410,-2,5,5.385164807134504
47,572,414,-1,4,4.123105625617661
48,571,419,-1,5,5.0990195135927845
49,569,424,-2,5,5.385164807134504
50,568,429,-1,5,5.0990195135927845
51,567,433,-1,4,4.123105625617661
52,566,437,-1,4,4.123105625617661
53,566,443,0,6,6.0
54,566,448,0,5,5.0
55,566,452,0,4,4.0
56,568,456,2,4,4.47213595499958
57,569,460,1,4,4.123105625617661
58,569,466,0,6,6.0
59,570,471,1,5,5.0990195135927845
60,571,475,1,4,4.123105625617661
61,573,480,2,5,5.385164807134504
62,574,484,1,4,4.123105625617661
63,575,488,1,4,4.123105625617661
64,575,492,0,4,4.0
65,575,497,0,5,5.0
66,576,501,1,4,4.123105625617661
67,575,505,-1,4,4.123105625617661
68,575,510,0,5,5.0
69,575,514,0,4,4.0
70,574,518,-1,4,4.123105625617661
71,572,522,-2,4,4.47213595499958
72,571,526,-1,4,4.123105625617661
73,569,531,-2,5,5.385164807134504
74,568,537,-1,6,6.082762530298219
75,566,540,-2,3,3.605551275463989
76,566,545,0,5,5.0
77,570,550,4,5,6.4031242374328485
78,569,555,-1,5,5.0990195135927845
79,569,559,0,4,4.0
80,569,563,0,4,4.0
81,570,568,1,5,5.0990195135927845
82,570,572,0,4,4.0
83,572,577,2,5,5.385164807134504
84,573,582,1,5,5.0990195135927845
85,573,586,0,4,4.0
86,576,590,3,4,5.0
87,576,594,0,4,4.0
88,576,599,0,5,5.0
89,573,604,-3,5,5.830951894845301
90,574,609,1,5,5.0990195135927845
91,574,613,0,4,4.0
92,574,617,0,4,4.0
93,574,620,0,3,3.0
94,573,625,-1,5,5.0990195135927845
95,573,630,0,5,5.0
96,571,634,-2,4,4.47213595499958
97,570,638,-1,4,4.123105625617661
98,569,643,-1,5,5.0990195135927845
99,567,648,-2,5,5.385164807134504
100,566,652,-1,4,4.123105625617661
101,564,657,-2,5,5.385164807134504
102,568,662,4,5,6.4031242374328485
103,564,666,-4,4,5.656854249492381
104,563,671,-1,5,5.0990195135927845
105,564,676,1,5,5.0990195135927845
106,568,680,4,4,5.656854249492381
107,569,685,1,5,5.0990195135927845
108,571,689,2,4,4.47213595499958
109,572,693,1,4,4.123105625617661
110,575,695,3,2,3.605551275463989
111,577,703,2,8,8.246211251235321
112,578,706,1,3,3.1622776601683795
113,580,710,2,4,4.47213595499958
114,577,718,-3,8,8.54400374531753
115,578,722,1,4,4.123105625617661
116,579,726,1,4,4.123105625617661
117,578,731,-1,5,5.0990195135927845
118,577,735,-1,4,4.123105625617661
119,576,739,-1,4,4.123105625617661
120,574,744,-2,5,5.385164807134504
121,574,748,0,4,4.0
122,575,755,1,7,7.0710678118654755
123,572,758,-3,3,4.242640687119285
124,570,761,-2,3,3.605551275463989
125,572,766,2,5,5.385164807134504
126,567,769,-5,3,5.830951894845301
127,566,773,-1,4,4.123105625617661
128,566,778,0,5,5.0
129,564,781,-2,3,3.605551275463989
130,562,786,-2,5,5.385164807134504
131,563,790,1,4,4.123105625617661
