Frame,X,Y,dX,dY,Magnitude
0,677,161,0,0,0.0
1,674,164,-3,3,4.242640687119285
2,674,168,0,4,4.0
3,674,173,0,5,5.0
4,674,175,0,2,2.0
5,672,180,-2,5,5.385164807134504
6,671,183,-1,3,3.1622776601683795
7,673,188,2,5,5.385164807134504
8,670,191,-3,3,4.242640687119285
9,669,195,-1,4,4.123105625617661
10,670,199,1,4,4.123105625617661
11,667,201,-3,2,3.605551275463989
12,671,207,4,6,7.211102550927978
13,671,211,0,4,4.0
14,672,214,1,3,3.1622776601683795
15,669,217,-3,3,4.242640687119285
16,673,222,4,5,6.4031242374328485
17,675,226,2,4,4.47213595499958
18,675,230,0,4,4.0
19,676,234,1,4,4.123105625617661
20,679,238,3,4,5.0
21,679,242,0,4,4.0
22,679,246,0,4,4.0
23,677,250,-2,4,4.47213595499958
24,676,254,-1,4,4.123105625617661
25,678,259,2,5,5.385164807134504
26,677,263,-1,4,4.123105625617661
27,676,267,-1,4,4.123105625617661
28,675,271,-1,4,4.123105625617661
29,675,274,0,3,3.0
30,672,278,-3,4,5.0
31,672,281,0,3,3.0
32,671,285,-1,4,4.123105625617661
33,673,290,2,5,5.385164807134504
34,666,293,-7,3,7.615773105863909
35,667,296,1,3,3.1622776601683795
36,669,300,2,4,4.47213595499958
37,668,303,-1,3,3.1622776601683795
38,670,308,2,5,5.385164807134504
39,670,311,0,3,3.0
40,671,315,1,4,4.123105625617661
41,672,319,1,4,4.123105625617661
42,673,322,1,3,3.1622776601683795
43,673,326,0,4,4.0
44,674,330,1,4,4.123105625617661
45,674,334,0,4,4.0
46,673,339,-1,5,5.0990195135927845
47,673,343,0,4,4.0
48,673,346,0,3,3.0
49,672,350,-1,4,4.123105625617661
50,675,355,3,5,5.830951894845301
51,673,358,-2,3,3.605551275463989
52,671,362,-2,4,4.47213595499958
53,672,366,1,4,4.123105625617661
54,672,370,0,4,4.0
55,668,372,-4,2,4.47213595499958
56,669,376,1,4,4.123105625617661
57,668,379,-0.16000000000000003,3.6,3.6035538014576667
58,667,385,-1,6,6.082762530298219
59,667,390,0,5,5.0
60,667,392,0,2,2.0
61,669,396,2,4,4.47213595499958
62,669,401,0,5,5.0
63,670,404,1,3,3.1622776601683795
64,672,409,2,5,5.385164807134504
65,672,411,0,2,2.0
66,672,416,0,5,5.0
67,673,419,1,3,3.1622776601683795
68,673,423,0,4,4.0
69,671,429,-2,6,6.324555320336759
70,670,433,-0.04000000000000001,4.0,4.00019999500025
71,680,437,10,4,10.770329614269007
72,680,442,0,5,5.0
73,677,444,-3,2,3.605551275463989
74,676,449,-1,5,5.0990195135927845
75,676,452,0,3,3.0
76,676,456,0,4,4.0
77,674,460,-2,4,4.47213595499958
78,675,463,1,3,3.1622776601683795
79,674,468,-1,5,5.0990195135927845
80,673,471,-1,3,3.1622776601683795
81,672,474,-1,3,3.1622776601683795
82,671,479,-1,5,5.0990195135927845
83,671,483,0,4,4.0
84,676,486,5,3,5.830951894845301
85,667,489,-9,3,9.486832980505138
86,669,492,2,3,3.605551275463989
87,671,497,2,5,5.385164807134504
88,671,501,0,4,4.0
89,672,505,1,4,4.123105625617661
90,674,509,2,4,4.47213595499958
91,675,513,1,4,4.123105625617661
92,674,516,-1,3,3.1622776601683795
93,675,520,1,4,4.123105625617661
94,676,524,1,4,4.123105625617661
95,672,527,-4,3,5.0
96,676,533,4,6,7.211102550927978
97,677,537,1,4,4.123105625617661
98,677,541,0,4,4.0
99,678,545,1,4,4.123105625617661
100,676,549,-2,4,4.47213595499958
101,676,552,0,3,3.0
102,675,556,-1,4,4.123105625617661
103,674,559,-1,3,3.1622776601683795
104,676,564,2,5,5.385164807134504
105,673,567,-3,3,4.242640687119285
106,669,569,-4,2,4.47213595499958
107,672,574,3,5,5.830951894845301
108,672,579,0,5,5.0
109,671,583,-1,4,4.123105625617661
110,667,585,-4,2,4.47213595499958
111,667,591,0,6,6.0
112,667,593,0,2,2.0
113,672,598,5,5,7.0710678118654755
114,673,601,1,3,3.1622776601683795
115,674,605,1,4,4.123105625617661
116,672,608,-2,3,3.605551275463989
117,675,613,3,5,5.830951894845301
118,673,615,-2,2,2.8284271247461903
119,673,618,0.04000000000000001,3.4,3.4002352859765455
120,673,621,0.0016000000000000005,3.4799999999999995,3.4800003678160722
121,680,631,7,10,12.206555615733702
122,679,635,-1,4,4.123105625617661
123,678,638,-1,3,3.1622776601683795
124,679,642,1,4,4.123105625617661
125,678,646,-1,4,4.123105625617661
126,678,649,0,3,3.0
127,676,652,-2,3,3.605551275463989
128,677,657,1,5,5.0990195135927845
129,676,660,-1,3,3.1622776601683795
130,676,665,0,5,5.0
131,675,669,-1,4,4.123105625617661
132,674,671,-1,2,2.23606797749979
133,674,676,0,5,5.0
134,675,679,1,3,3.1622776601683795
135,675,683,0,4,4.0
136,675,688,0,5,5.0
137,676,691,1,3,3.1622776601683795
138,676,696,0,5,5.0
139,676,700,0.08000000000000002,4.0,4.000799920015996
140,671,701,-5,1,5.0990195135927845
141,676,705,5,4,6.4031242374328485
142,678,709,2,4,4.47213595499958
