Frame,X,Y,dX,dY,Magnitude
0,575,82,0,0,0.0
1,574,86,-1,4,4.123105625617661
2,575,89,1,3,3.1622776601683795
3,574,93,-1,4,4.123105625617661
4,573,96,-1,3,3.1622776601683795
5,572,100,-1,4,4.123105625617661
6,571,103,-1,3,3.1622776601683795
7,571,106,0,3,3.0
8,571,110,0,4,4.0
9,570,113,-1,3,3.1622776601683795
10,570,117,0,4,4.0
11,570,120,0,3,3.0
12,570,123,0,3,3.0
13,570,127,0,4,4.0
14,570,130,0,3,3.0
15,570,134,0,4,4.0
16,571,137,1,3,3.1622776601683795
17,572,141,1,4,4.123105625617661
18,573,144,1,3,3.1622776601683795
19,574,147,1,3,3.1622776601683795
20,573,151,-1,4,4.123105625617661
21,572,155,-1,4,4.123105625617661
22,571,158,-1,3,3.1622776601683795
23,571,162,0,4,4.0
24,570,165,-1,3,3.1622776601683795
25,570,169,0,4,4.0
26,569,172,-1,3,3.1622776601683795
27,568,175,-1,3,3.1622776601683795
28,568,179,0,4,4.0
29,568,182,0,3,3.0
30,568,185,0,3,3.0
31,568,189,0,4,4.0
32,568,192,0,3,3.0
33,569,196,1,4,4.123105625617661
34,570,199,1,3,3.1622776601683795
35,570,203,0,4,4.0
36,570,207,0,4,4.0
37,571,210,1,3,3.1622776601683795
38,572,213,1,3,3.1622776601683795
39,570,218,-2,5,5.385164807134504
40,570,222,0,4,4.0
41,568,224,-2,2,2.8284271247461903
42,569,228,1,4,4.123105625617661
43,567,231,-2,3,3.605551275463989
44,567,235,0,4,4.0
45,566,238,-1,3,3.1622776601683795
46,566,241,0,3,3.0
47,565,245,-1,4,4.123105625617661
48,565,248,0,3,3.0
49,566,252,1,4,4.123105625617661
50,566,255,0,3,3.0
51,567,259,1,4,4.123105625617661
52,567,262,0,3,3.0
53,568,266,1,4,4.123105625617661
54,569,269,1,3,3.1622776601683795
55,569,272,0,3,3.0
56,569,276,0,4,4.0
57,569,280,0,4,4.0
58,568,284,-1,4,4.123105625617661
59,568,287,0,3,3.0
60,566,290,-2,3,3.605551275463989
61,566,294,0,4,4.0
62,565,297,-1,3,3.1622776601683795
63,564,300,-1,3,3.1622776601683795
64,565,303,1,3,3.1622776601683795
65,563,307,-2,4,4.47213595499958
66,564,311,1,4,4.123105625617661
67,565,314,1,3,3.1622776601683795
68,564,318,-1,4,4.123105625617661
69,565,321,1,3,3.1622776601683795
70,566,325,1,4,4.123105625617661
71,567,328,1,3,3.1622776601683795
72,566,332,-1,4,4.123105625617661
73,567,335,1,3,3.1622776601683795
74,567,339,0,4,4.0
75,568,342,1,3,3.1622776601683795
76,567,345,-1,3,3.1622776601683795
77,566,349,-1,4,4.123105625617661
78,566,353,0,4,4.0
79,565,356,-1,3,3.1622776601683795
80,564,359,-1,3,3.1622776601683795
81,564,362,0,3,3.0
82,563,366,-1,4,4.123105625617661
83,563,369,0,3,3.0
84,563,372,0,3,3.0
85,564,376,1,4,4.123105625617661
86,564,380,0,4,4.0
87,563,383,-1,3,3.1622776601683795
88,565,386,2,3,3.605551275463989
89,566,390,1,4,4.123105625617661
90,565,393,-1,3,3.1622776601683795
91,566,397,1,4,4.123105625617661
92,567,400,1,3,3.1622776601683795
93,567,404,0,4,4.0
94,566,407,-1,3,3.1622776601683795
95,566,411,0,4,4.0
96,564,414,-2,3,3.605551275463989
97,564,417,0,3,3.0
98,563,421,-1,4,4.123105625617661
99,562,424,-1,3,3.1622776601683795
100,562,428,0,4,4.0
101,562,431,0,3,3.0
102,562,434,0,3,3.0
103,561,438,-1,4,4.123105625617661
104,562,441,1,3,3.1622776601683795
105,563,445,1,4,4.123105625617661
106,564,448,1,3,3.1622776601683795
107,564,452,0,4,4.0
108,565,455,1,3,3.1622776601683795
109,565,459,0,4,4.0
110,565,463,0,4,4.0
111,565,466,0,3,3.0
112,565,469,0,3,3.0
113,564,473,-1,4,4.123105625617661
114,563,476,-1,3,3.1622776601683795
115,563,479,0,3,3.0
116,562,483,-1,4,4.123105625617661
117,561,486,-1,3,3.1622776601683795
118,561,490,0,4,4.0
119,561,493,0,3,3.0
120,560,496,-1,3,3.1622776601683795
121,560,500,0,4,4.0
122,561,503,1,3,3.1622776601683795
123,561,507,0,4,4.0
124,562,510,1,3,3.1622776601683795
125,563,513,1,3,3.1622776601683795
126,564,517,1,4,4.123105625617661
127,564,521,0,4,4.0
128,564,524,0,3,3.0
129,564,527,0,3,3.0
130,563,531,-1,4,4.123105625617661
131,563,534,0,3,3.0
132,562,538,-1,4,4.123105625617661
133,562,542,0,4,4.0
134,561,544,-1,2,2.23606797749979
135,560,548,-1,4,4.123105625617661
136,559,551,-1,3,3.1622776601683795
137,559,554,0,3,3.0
138,559,558,0,4,4.0
139,559,562,0,4,4.0
140,560,565,1,3,3.1622776601683795
141,560,569,0,4,4.0
142,562,572,2,3,3.605551275463989
143,561,575,-1,3,3.1622776601683795
144,562,578,1,3,3.1622776601683795
145,562,582,0,4,4.0
146,562,586,0,4,4.0
147,563,589,1,3,3.1622776601683795
148,562,593,-1,4,4.123105625617661
149,562,596,0,3,3.0
150,561,600,-1,4,4.123105625617661
151,560,603,-1,3,3.1622776601683795
152,559,606,-1,3,3.1622776601683795
153,558,609,-1,3,3.1622776601683795
154,558,613,0,4,4.0
155,558,616,0,3,3.0
156,557,620,-1,4,4.123105625617661
157,558,624,1,4,4.123105625617661
158,558,627,0,3,3.0
159,559,630,1,3,3.1622776601683795
160,560,633,1,3,3.1622776601683795
161,561,637,1,4,4.123105625617661
162,561,641,0,4,4.0
163,562,644,1,3,3.1622776601683795
164,562,647,0,3,3.0
165,562,651,0,4,4.0
166,560,654,-2,3,3.605551275463989
167,560,658,0,4,4.0
168,560,661,0,3,3.0
169,559,665,-1,4,4.123105625617661
170,558,668,-1,3,3.1622776601683795
171,557,671,-1,3,3.1622776601683795
