Frame,X,Y,dX,dY,Magnitude
0,513,124,-1,0,1.0
1,513,126,0,2,2.0
2,512,131,-1,5,5.0990195135927845
3,513,134,1,3,3.1622776601683795
4,512,136,-1,2,2.23606797749979
5,513,140,1,4,4.123105625617661
6,514,143,1,3,3.1622776601683795
7,513,147,-1,4,4.123105625617661
8,512,150,-1,3,3.1622776601683795
9,512,153,0,3,3.0
10,512,156,0,3,3.0
11,512,160,0,4,4.0
12,511,163,-1,3,3.1622776601683795
13,511,167,0,4,4.0
14,510,170,-1,3,3.1622776601683795
15,511,173,1,3,3.1622776601683795
16,511,177,0,4,4.0
17,510,181,-1,4,4.123105625617661
18,510,184,0,3,3.0
19,511,187,1,3,3.1622776601683795
20,510,191,-1,4,4.123105625617661
21,509,194,-1,3,3.1622776601683795
22,510,198,1,4,4.123105625617661
23,508,201,-2,3,3.605551275463989
24,507,204,-0.08000000000000002,3.4,3.400941046239996
25,510,207,3,3,4.242640687119285
26,511,210,1,3,3.1622776601683795
27,510,214,-1,4,4.123105625617661
28,510,217,0,3,3.0
29,510,221,0,4,4.0
30,509,224,-1,3,3.1622776601683795
31,509,227,0,3,3.0
32,509,231,0,4,4.0
33,508,234,-1,3,3.1622776601683795
34,511,239,3,5,5.830951894845301
35,509,242,-2,3,3.605551275463989
36,509,245,0,3,3.0
37,509,248,0,3,3.0
38,510,253,1,5,5.0990195135927845
39,510,255,0,2,2.0
40,509,259,-1,4,4.123105625617661
41,510,262,1,3,3.1622776601683795
42,510,265,0.04000000000000001,3.4,3.4002352859765455
43,512,268,2,3,3.605551275463989
44,509,271,-3,3,4.242640687119285
45,510,275,1,4,4.123105625617661
46,509,278,-1,3,3.1622776601683795
47,510,282,1,4,4.123105625617661
48,510,285,0,3,3.0
49,510,288,0,3,3.0
50,511,291,1,3,3.1622776601683795
51,511,295,0,4,4.0
52,511,298,0.08000000000000002,3.4,3.400941046239996
53,510,301,-1,3,3.1622776601683795
54,509,305,-1,4,4.123105625617661
55,511,309,2,4,4.47213595499958
56,511,312,0,3,3.0
57,512,315,1,3,3.1622776601683795
58,511,319,-1,4,4.123105625617661
59,512,322,1,3,3.1622776601683795
60,511,325,-1,3,3.1622776601683795
61,513,327,2,2,2.8284271247461903
62,513,331,0,4,4.0
63,512,334,-1,3,3.1622776601683795
64,512,337,0,3,3.0
65,512,341,0,4,4.0
66,512,344,0,3,3.0
67,512,347,0,3,3.0
68,512,350,0,3,3.0
69,512,354,0,4,4.0
70,514,357,2,3,3.605551275463989
71,513,360,-1,3,3.1622776601683795
72,513,364,0,4,4.0
73,512,368,-1,4,4.123105625617661
74,512,371,0,3,3.0
75,512,374,0,3,3.0
76,512,378,0,4,4.0
77,512,381,0,3,3.0
78,512,383,0,2,2.0
79,512,387,0,4,4.0
80,512,390,0,3,3.0
81,511,393,-1,3,3.1622776601683795
82,512,396,1,3,3.1622776601683795
83,512,400,0,4,4.0
84,512,403,0,3,3.0
85,511,407,-1,4,4.123105625617661
86,512,409,1,2,2.23606797749979
87,511,413,-1,4,4.123105625617661
88,513,416,2,3,3.605551275463989
