Frame,X,Y,dX,dY,Magnitude
0,493,112,1,0,1.0
1,492,117,-1,5,5.0990195135927845
2,492,121,0,4,4.0
3,490,126,-2,5,5.385164807134504
4,488,131,-2,5,5.385164807134504
5,487,136,-1,5,5.0990195135927845
6,485,140,-2,4,4.47213595499958
7,484,145,-1,5,5.0990195135927845
8,483,149,-1,4,4.123105625617661
9,482,153,-1,4,4.123105625617661
10,481,158,-1,5,5.0990195135927845
11,480,163,-1,5,5.0990195135927845
12,480,168,0,5,5.0
13,480,173,0,5,5.0
14,481,177,1,4,4.123105625617661
15,482,182,1,5,5.0990195135927845
16,484,186,2,4,4.47213595499958
17,486,190,2,4,4.47213595499958
18,488,194,2,4,4.47213595499958
19,489,198,1,4,4.123105625617661
20,491,202,2,4,4.47213595499958
21,493,206,2,4,4.47213595499958
22,494,209,1,3,3.1622776601683795
23,496,213,2,4,4.47213595499958
24,496,218,0,5,5.0
25,497,222,1,4,4.123105625617661
26,498,226,1,4,4.123105625617661
27,498,230,0,4,4.0
28,498,235,0,5,5.0
29,499,240,1,5,5.0990195135927845
30,498,245,-1,5,5.0990195135927845
31,498,250,0,5,5.0
32,497,255,-1,5,5.0990195135927845
33,498,260,1,5,5.0990195135927845
34,499,265,1,5,5.0990195135927845
35,501,270,2,5,5.385164807134504
36,502,274,1,4,4.123105625617661
37,504,279,2,5,5.385164807134504
38,505,283,1,4,4.123105625617661
39,506,288,1,5,5.0990195135927845
40,509,292,3,4,5.0
41,510,296,1,4,4.123105625617661
42,511,300,1,4,4.123105625617661
43,512,305,1,5,5.0990195135927845
44,513,309,1,4,4.123105625617661
45,515,313,2,4,4.47213595499958
46,516,317,1,4,4.123105625617661
47,517,322,1,5,5.0990195135927845
48,517,326,0,4,4.0
49,517,331,0,5,5.0
50,516,336,-1,5,5.0990195135927845
51,515,340,-1,4,4.123105625617661
52,513,345,-2,5,5.385164807134504
53,511,349,-2,4,4.47213595499958
54,510,353,-1,4,4.123105625617661
55,508,356,-2,3,3.605551275463989
56,507,360,-1,4,4.123105625617661
57,506,364,-1,4,4.123105625617661
58,504,368,-2,4,4.47213595499958
59,503,372,-1,4,4.123105625617661
60,502,377,-1,5,5.0990195135927845
61,501,381,-1,4,4.123105625617661
62,501,386,0,5,5.0
63,499,391,-2,5,5.385164807134504
64,498,395,-1,4,4.123105625617661
65,497,399,-1,4,4.123105625617661
66,496,404,-1,5,5.0990195135927845
67,495,409,-1,5,5.0990195135927845
68,494,414,-1,5,5.0990195135927845
69,494,419,0,5,5.0
70,494,423,0,4,4.0
71,495,428,1,5,5.0990195135927845
72,495,433,0,5,5.0
73,496,438,1,5,5.0990195135927845
74,498,442,2,4,4.47213595499958
75,499,446,1,4,4.123105625617661
76,501,451,2,5,5.385164807134504
77,502,455,1,4,4.123105625617661
78,504,459,2,4,4.47213595499958
79,506,463,2,4,4.47213595499958
80,507,468,1,5,5.0990195135927845
81,509,472,2,4,4.47213595499958
82,510,476,1,4,4.123105625617661
83,511,480,1,4,4.123105625617661
84,512,485,1,5,5.0990195135927845
85,511,489,-1,4,4.123105625617661
86,512,494,1,5,5.0990195135927845
87,511,499,-1,5,5.0990195135927845
88,511,503,0,4,4.0
89,509,508,-2,5,5.385164807134504
90,509,513,0,5,5.0
91,507,517,-2,4,4.47213595499958
92,506,521,-1,4,4.123105625617661
93,504,526,-2,5,5.385164807134504
94,502,530,-2,4,4.47213595499958
95,501,535,-1,5,5.0990195135927845
96,500,539,-1,4,4.123105625617661
97,499,543,-1,4,4.123105625617661
98,499,548,0,5,5.0
99,498,553,-1,5,5.0990195135927845
100,499,557,1,4,4.123105625617661
101,500,562,1,5,5.0990195135927845
102,501,566,1,4,4.123105625617661
103,503,570,2,4,4.47213595499958
104,505,573,2,3,3.605551275463989
105,507,577,2,4,4.47213595499958
106,509,581,2,4,4.47213595499958
107,511,585,2,4,4.47213595499958
108,512,589,1,4,4.123105625617661
109,513,592,1,3,3.1622776601683795
110,514,596,1,4,4.123105625617661
111,515,601,1,5,5.0990195135927845
112,515,604,0,3,3.0
113,516,610,1,6,6.082762530298219
114,517,615,1,5,5.0990195135927845
115,518,620,1,5,5.0990195135927845
116,520,625,2,5,5.385164807134504
117,522,630,2,5,5.385164807134504
118,522,635,0,5,5.0
119,524,639,2,4,4.47213595499958
120,525,643,1,4,4.123105625617661
121,526,647,1,4,4.123105625617661
122,528,652,2,5,5.385164807134504
123,528,656,0,4,4.0
124,529,661,1,5,5.0990195135927845
125,529,665,0,4,4.0
126,529,669,0,4,4.0
127,529,674,0,5,5.0
128,528,679,-1,5,5.0990195135927845
129,528,684,0,5,5.0
130,527,688,-1,4,4.123105625617661
131,525,693,-2,5,5.385164807134504
132,524,696,-1,3,3.1622776601683795
133,523,699,-1,3,3.1622776601683795
134,522,704,-1,5,5.0990195135927845
135,521,708,-1,4,4.123105625617661
136,520,711,-1,3,3.1622776601683795
137,520,715,0,4,4.0
138,520,719,0,4,4.0
139,520,723,0,4,4.0
140,520,728,0,5,5.0
141,519,732,-1,4,4.123105625617661
142,519,737,0,5,5.0
143,518,741,-1,4,4.123105625617661
144,518,746,0,5,5.0
145,517,750,-1,4,4.123105625617661
146,516,755,-1,5,5.0990195135927845
147,515,760,-1,5,5.0990195135927845
148,515,764,0,4,4.0
149,514,769,-1,5,5.0990195135927845
150,514,774,0,5,5.0
151,513,778,-1,4,4.123105625617661
152,513,783,0,5,5.0
