Frame,X,Y,dX,dY,Magnitude
0,394,130,1,0,1.0
1,396,134,2,4,4.47213595499958
2,395,138,-1,4,4.123105625617661
3,395,141,0,3,3.0
4,394,144,-1,3,3.1622776601683795
5,396,146,2,2,2.8284271247461903
6,396,150,0,4,4.0
7,396,153,0,3,3.0
8,397,156,1,3,3.1622776601683795
9,398,159,1,3,3.1622776601683795
10,398,163,0,4,4.0
11,399,167,1,4,4.123105625617661
12,399,169,0,2,2.0
13,400,173,1,4,4.123105625617661
14,399,176,-1,3,3.1622776601683795
15,398,179,-1,3,3.1622776601683795
16,397,182,-1,3,3.1622776601683795
17,396,185,-1,3,3.1622776601683795
18,396,189,0,4,4.0
19,395,192,-1,3,3.1622776601683795
20,395,195,0,3,3.0
21,396,199,1,4,4.123105625617661
22,395,202,-1,3,3.1622776601683795
23,395,205,0,3,3.0
24,395,209,0,4,4.0
25,396,211,1,2,2.23606797749979
26,396,215,0,4,4.0
27,397,217,1,2,2.23606797749979
28,398,221,1,4,4.123105625617661
29,399,224,1,3,3.1622776601683795
30,399,227,0,3,3.0
31,400,231,1,4,4.123105625617661
32,400,235,0,4,4.0
33,401,238,1,3,3.1622776601683795
34,401,241,0,3,3.0
35,399,244,-2,3,3.605551275463989
36,398,247,-1,3,3.1622776601683795
37,398,250,0,3,3.0
38,397,253,-1,3,3.1622776601683795
39,397,257,0,4,4.0
40,397,261,0,4,4.0
41,396,263,-1,2,2.23606797749979
42,396,266,0,3,3.0
43,396,270,0,4,4.0
44,396,273,0,3,3.0
45,396,276,0,3,3.0
46,398,279,2,3,3.605551275463989
47,399,283,1,4,4.123105625617661
48,399,285,0,2,2.0
49,400,289,1,4,4.123105625617661
50,400,292,0,3,3.0
51,401,295,1,3,3.1622776601683795
52,402,299,1,4,4.123105625617661
53,401,303,-1,4,4.123105625617661
54,401,305,0,2,2.0
55,400,308,-1,3,3.1622776601683795
56,399,312,-1,4,4.123105625617661
57,398,315,-1,3,3.1622776601683795
58,398,318,0,3,3.0
59,397,321,-1,3,3.1622776601683795
60,397,325,0,4,4.0
61,396,328,-0.12,3.4,3.4021169879943867
62,398,331,2,3,3.605551275463989
63,397,334,-1,3,3.1622776601683795
64,397,337,0,3,3.0
65,397,341,0,4,4.0
66,399,343,2,2,2.8284271247461903
67,400,347,1,4,4.123105625617661
68,400,350,0,3,3.0
69,401,353,1,3,3.1622776601683795
70,402,356,1,3,3.1622776601683795
71,402,360,0,4,4.0
72,402,363,0,3,3.0
73,402,366,0,3,3.0
74,402,370,0,4,4.0
75,401,373,-1,3,3.1622776601683795
76,400,376,-1,3,3.1622776601683795
77,399,379,-1,3,3.1622776601683795
78,399,382,0,3,3.0
79,398,386,-1,4,4.123105625617661
80,398,389,0,3,3.0
81,397,392,-0.12,3.2,3.20224920954007
82,398,396,1,4,4.123105625617661
83,399,398,1,2,2.23606797749979
84,398,402,-1,4,4.123105625617661
85,399,405,1,3,3.1622776601683795
86,400,408,1,3,3.1622776601683795
87,400,411,0,3,3.0
88,401,414,1,3,3.1622776601683795
89,402,417,1,3,3.1622776601683795
90,403,421,1,4,4.123105625617661
91,403,425,0,4,4.0
92,403,427,0,2,2.0
93,402,431,-1,4,4.123105625617661
94,403,434,1,3,3.1622776601683795
95,402,437,-1,3,3.1622776601683795
96,401,441,-1,4,4.123105625617661
97,401,443,0,2,2.0
98,400,446,-1,3,3.1622776601683795
99,399,450,-1,4,4.123105625617661
100,398,453,-1,3,3.1622776601683795
101,399,456,1,3,3.1622776601683795
102,400,459,1,3,3.1622776601683795
103,400,463,0,4,4.0
104,401,466,1,3,3.1622776601683795
105,400,469,-1,3,3.1622776601683795
106,401,472,1,3,3.1622776601683795
