Frame,X,Y,dX,dY,Magnitude
0,765,100,0,0,0.0
1,765,102,0,2,2.0
2,765,105,0,3,3.0
3,764,109,-1,4,4.123105625617661
4,764,111,0,2,2.0
5,763,114,-1,3,3.1622776601683795
6,764,116,1,2,2.23606797749979
7,764,119,0,3,3.0
8,764,121,0,2,2.0
9,764,124,0,3,3.0
10,764,126,0,2,2.0
11,764,129,0,3,3.0
12,764,131,0,2,2.0
13,765,134,1,3,3.1622776601683795
14,765,137,0,3,3.0
15,765,139,0,2,2.0
16,765,142,0,3,3.0
17,765,145,0,3,3.0
18,766,147,1,2,2.23606797749979
19,766,150,0,3,3.0
20,766,152,0,2,2.0
21,766,155,0,3,3.0
22,767,157,1,2,2.23606797749979
23,767,160,0,3,3.0
24,767,163,0,3,3.0
25,767,165,0,2,2.0
26,767,167,0,2,2.0
27,767,170,0,3,3.0
28,768,173,1,3,3.1622776601683795
29,767,175,-1,2,2.23606797749979
30,768,178,1,3,3.1622776601683795
31,767,181,-1,3,3.1622776601683795
32,768,183,1,2,2.23606797749979
33,768,186,0,3,3.0
34,768,189,0,3,3.0
35,768,192,0,3,3.0
36,768,194,0,2,2.0
37,768,197,0,3,3.0
38,768,200,0,3,3.0
39,768,203,0,3,3.0
40,767,205,-1,2,2.23606797749979
41,767,208,0,3,3.0
42,767,211,0,3,3.0
43,767,213,0,2,2.0
44,767,216,0,3,3.0
45,767,219,0,3,3.0
46,767,222,0,3,3.0
47,766,224,-1,2,2.23606797749979
48,766,227,0,3,3.0
49,766,230,0,3,3.0
50,766,232,0,2,2.0
51,766,235,0,3,3.0
52,766,238,0,3,3.0
53,766,240,0,2,2.0
54,765,243,-1,3,3.1622776601683795
55,765,246,0,3,3.0
56,765,248,0,2,2.0
57,765,251,0,3,3.0
58,765,253,0,2,2.0
59,765,256,0,3,3.0
60,765,260,0,4,4.0
61,765,262,0,2,2.0
62,765,265,0,3,3.0
63,765,268,0,3,3.0
64,765,270,0,2,2.0
65,765,273,0,3,3.0
66,766,276,1,3,3.1622776601683795
67,765,278,-1,2,2.23606797749979
68,766,281,1,3,3.1622776601683795
69,765,284,-1,3,3.1622776601683795
70,766,287,1,3,3.1622776601683795
71,766,289,0,2,2.0
72,767,292,1,3,3.1622776601683795
73,767,294,0,2,2.0
74,767,297,0,3,3.0
75,767,299,0,2,2.0
76,768,302,1,3,3.1622776601683795
77,768,305,0,3,3.0
78,768,308,0,3,3.0
79,768,310,0,2,2.0
80,768,313,0,3,3.0
81,769,315,1,2,2.23606797749979
82,769,318,0,3,3.0
83,769,320,0,2,2.0
84,769,323,0,3,3.0
85,769,326,0,3,3.0
86,770,329,1,3,3.1622776601683795
87,770,331,0,2,2.0
88,770,334,0,3,3.0
89,770,337,0,3,3.0
90,769,340,-1,3,3.1622776601683795
91,770,342,1,2,2.23606797749979
92,770,345,0,3,3.0
93,769,347,-1,2,2.23606797749979
94,769,350,0,3,3.0
95,769,353,0,3,3.0
96,769,355,0,2,2.0
97,769,358,0,3,3.0
98,769,361,0,3,3.0
99,768,363,-1,2,2.23606797749979
100,768,366,0,3,3.0
101,768,369,0,3,3.0
102,768,372,0,3,3.0
103,768,374,0,2,2.0
104,767,377,-1,3,3.1622776601683795
105,767,379,0,2,2.0
106,768,382,1,3,3.1622776601683795
107,768,384,0,2,2.0
108,768,388,0,4,4.0
109,767,390,-1,2,2.23606797749979
110,766,393,-1,3,3.1622776601683795
111,766,395,0,2,2.0
112,766,398,0,3,3.0
113,766,401,0,3,3.0
114,767,403,1,2,2.23606797749979
115,766,406,-1,3,3.1622776601683795
116,767,409,1,3,3.1622776601683795
117,767,412,0,3,3.0
118,767,415,0,3,3.0
119,767,418,0,3,3.0
120,767,420,0,2,2.0
121,767,423,0,3,3.0
122,767,425,0,2,2.0
123,768,428,1,3,3.1622776601683795
124,767,431,-1,3,3.1622776601683795
125,768,434,1,3,3.1622776601683795
