Frame,X,Y,dX,dY,Magnitude
0,651,93,0,0,0.0
1,651,94,0,1,1.0
2,652,96,1,2,2.23606797749979
3,652,99,0,3,3.0
4,652,102,0,3,3.0
5,652,104,0,2,2.0
6,652,106,0,2,2.0
7,653,108,1,2,2.23606797749979
8,653,110,0,2,2.0
9,653,113,0,3,3.0
10,653,115,0.04000000000000001,2.2,2.200363606316011
11,653,117,0.041600000000000005,2.2399999999999998,2.2403862524127396
12,653,119,0.043264000000000004,2.288,2.288409004897507
13,653,121,0.00499456,2.3456,2.345605317530977
14,653,123,0.0051943424,2.41472,2.4147255868096003
15,653,125,0.005402116096000001,2.2976639999999997,2.2976703505408067
16,653,127,0.0040182007398400004,2.3171967999999996,2.31720028393478
17,653,129,0.0025149287694336006,2.33263616,2.3326375157332655
18,656,131,3,2,3.605551275463989
19,656,133,0.12068518352021095,2.272443392,2.2756458167662585
20,656,135,0.12530481716501937,2.2439880703999995,2.247483872534411
21,656,137,0.13010092520778016,2.2332528844799997,2.237039270280734
22,656,139,0.13514423418649776,2.216464101376,2.2205803468288132
23,657,140,1,1,1.4142135623730951
24,657,143,0.060449406403180334,3,3.0006089599837056
25,657,145,0.05803997531849912,2.1387410112511995,2.139528394750295
26,657,147,0.0553493816446383,2.11769159942144,2.1184147998700773
27,657,149,0.052359319902112615,2.0945793424097277,2.0952336671670246
28,658,149,1,0,1.0
29,658,152,0.04904792333073721,3,3.0004009230073
30,658,155,0.04859186400783949,3,3.0003935024006028
31,658,154,0,-1,1.0
32,658,157,0.045999964289627576,3,3.0003526453926455
33,659,161,1,4,4.123105625617661
34,659,163,0.04574559006512817,2.4,2.400435931036362
35,659,165,0.04561349673450382,2.2800000000000002,2.280456224329761
36,659,167,0.045494362043570394,2.136,2.136484434059315
37,659,169,0.04731413652531321,2.7632,2.763605049118838
38,659,171,0.04736670341474063,2.7158399999999996,2.7162530276453216
39,659,173,0.009261371551330248,2.459008,2.4590254405082943
40,659,175,0.007802002810778332,2.4708096,2.4708219180467093
41,659,177,0.006289543053829312,2.5089715200000002,2.50897940336762
42,659,179,0.00472135029423967,2.583565824,2.5835701380240095
43,659,181,0.003017638844996728,2.5476389888,2.547640775972564
44,659,183,0.0012436762622069716,2.5139987865599998,2.5139990941835673
45,659,185,0.0009229684506420404,2.524996943872,2.5249971125594777
46,659,187,0.000647807076236589,2.5358344126463996,2.535834495391156
47,659,189,0.00042213763713288004,2.54120699117568,2.541207026237795
48,659,191,0.0002501691308486084,2.5327352246108155,2.532735236965955
49,659,193,0.0001394703422826836,2.529754471772979,2.529754475617616
50,659,195,9.530210548571205e-05,2.5329056088155744,2.532905610608474
51,659,197,6.219545167945893e-05,2.5344873418042893,2.534487342567417
52,665,199,6,2,6.324555320336759
53,665,202,0,3,3.0
54,666,204,1,2,2.23606797749979
55,666,206,0,2,2.0
56,667,208,1,2,2.23606797749979
57,667,210,0,2,2.0
58,668,212,1,2,2.23606797749979
59,667,215,-1,3,3.1622776601683795
60,668,217,1,2,2.23606797749979
61,668,219,0,2,2.0
62,668,221,0,2,2.0
63,669,223,1,2,2.23606797749979
64,669,225,0,2,2.0
65,669,227,0.08000000000000002,2.0,2.001599360511489
