Frame,X,Y,dX,dY,Magnitude
0,850,92,0,0,0.0
1,849,95,-1,3,3.1622776601683795
2,849,99,0,4,4.0
3,850,104,1,5,5.0990195135927845
4,850,107,0,3,3.0
5,850,109,0,2,2.0
6,850,112,0,3,3.0
7,850,115,0,3,3.0
8,849,118,-1,3,3.1622776601683795
9,850,121,1,3,3.1622776601683795
10,850,124,0,3,3.0
11,850,126,0,2,2.0
12,850,129,0,3,3.0
13,849,132,-1,3,3.1622776601683795
14,849,135,0,3,3.0
15,849,137,0,2,2.0
16,848,140,-1,3,3.1622776601683795
17,848,142,0,2,2.0
18,848,146,0,4,4.0
19,849,149,1,3,3.1622776601683795
20,848,152,-1,3,3.1622776601683795
21,848,155,0,3,3.0
22,849,158,1,3,3.1622776601683795
23,848,161,-1,3,3.1622776601683795
24,848,163,0,2,2.0
25,847,166,-1,3,3.1622776601683795
26,849,169,2,3,3.605551275463989
27,847,171,-2,2,2.8284271247461903
28,847,174,0,3,3.0
29,847,177,0,3,3.0
30,846,179,-1,2,2.23606797749979
31,847,182,1,3,3.1622776601683795
32,846,184,-1,2,2.23606797749979
33,847,188,1,4,4.123105625617661
34,847,190,0,2,2.0
35,846,193,-1,3,3.1622776601683795
36,847,196,1,3,3.1622776601683795
37,847,199,0,3,3.0
38,846,201,-1,2,2.23606797749979
39,848,205,2,4,4.47213595499958
40,847,207,-1,2,2.23606797749979
41,847,210,0,3,3.0
42,848,213,1,3,3.1622776601683795
43,847,216,-1,3,3.1622776601683795
44,848,219,1,3,3.1622776601683795
45,848,222,0,3,3.0
46,848,225,0,3,3.0
47,849,227,1,2,2.23606797749979
48,848,230,-1,3,3.1622776601683795
49,849,233,1,3,3.1622776601683795
50,849,235,0,2,2.0
51,848,238,-1,3,3.1622776601683795
52,849,242,1,4,4.123105625617661
53,849,244,0,2,2.0
54,849,247,0,3,3.0
55,850,250,1,3,3.1622776601683795
56,851,253,1,3,3.1622776601683795
57,851,256,0,3,3.0
58,852,259,1,3,3.1622776601683795
59,851,262,-1,3,3.1622776601683795
60,852,265,1,3,3.1622776601683795
61,852,269,0,4,4.0
62,853,271,1,2,2.23606797749979
63,853,274,0,3,3.0
64,853,277,0,3,3.0
65,852,280,-1,3,3.1622776601683795
66,853,283,1,3,3.1622776601683795
67,853,285,0,2,2.0
68,853,288,0,3,3.0
69,852,291,-1,3,3.1622776601683795
70,852,294,0,3,3.0
71,851,296,-1,2,2.23606797749979
72,851,299,0,3,3.0
73,851,302,0,3,3.0
74,852,305,1,3,3.1622776601683795
75,851,308,-1,3,3.1622776601683795
76,850,311,-1,3,3.1622776601683795
77,850,313,0,2,2.0
78,850,315,0,2,2.0
79,850,318,0,3,3.0
80,850,322,0,4,4.0
81,850,324,0,2,2.0
82,850,327,0,3,3.0
83,849,329,-1,2,2.23606797749979
84,850,333,1,4,4.123105625617661
85,849,335,-1,2,2.23606797749979
86,848,338,-1,3,3.1622776601683795
87,849,341,1,3,3.1622776601683795
88,850,343,1,2,2.23606797749979
89,849,346,-1,3,3.1622776601683795
90,849,348,0,2,2.0
91,848,351,-1,3,3.1622776601683795
92,850,354,2,3,3.605551275463989
93,848,355,-2,1,2.23606797749979
94,848,358,0,3,3.0
95,847,361,-1,3,3.1622776601683795
96,848,363,1,2,2.23606797749979
97,848,366,0,3,3.0
98,848,368,0,2,2.0
99,848,371,0,3,3.0
100,848,374,0,3,3.0
101,848,377,0,3,3.0
102,849,379,1,2,2.23606797749979
103,848,382,-1,3,3.1622776601683795
104,848,385,0,3,3.0
105,849,387,1,2,2.23606797749979
106,849,390,0,3,3.0
107,850,393,1,3,3.1622776601683795
108,849,396,-1,3,3.1622776601683795
109,850,398,1,2,2.23606797749979
110,850,401,0,3,3.0
111,850,404,0,3,3.0
112,851,406,1,2,2.23606797749979
113,851,409,0,3,3.0
114,851,412,0,3,3.0
115,851,414,0,2,2.0
116,852,417,1,3,3.1622776601683795
117,851,420,-1,3,3.1622776601683795
118,852,424,1,4,4.123105625617661
119,852,426,0,2,2.0
120,851,429,-1,3,3.1622776601683795
121,852,431,1,2,2.23606797749979
122,853,435,1,4,4.123105625617661
123,853,438,0,3,3.0
124,854,441,1,3,3.1622776601683795
125,853,444,-1,3,3.1622776601683795
126,853,447,0,3,3.0
127,853,450,0,3,3.0
128,853,453,0,3,3.0
129,853,456,0,3,3.0
130,853,458,0,2,2.0
131,853,461,0,3,3.0
132,853,464,0,3,3.0
133,852,467,-1,3,3.1622776601683795
134,852,469,0,2,2.0
135,852,472,0,3,3.0
136,852,475,0,3,3.0
137,852,478,0,3,3.0
138,852,481,0,3,3.0
139,851,483,-1,2,2.23606797749979
140,851,486,0,3,3.0
141,851,489,0,3,3.0
142,852,492,1,3,3.1622776601683795
143,851,494,-1,2,2.23606797749979
144,851,497,0,3,3.0
145,850,499,-1,2,2.23606797749979
146,850,502,0,3,3.0
147,850,505,0,3,3.0
148,851,508,1,3,3.1622776601683795
149,851,511,0,3,3.0
150,850,513,-1,2,2.23606797749979
151,850,516,0,3,3.0
152,850,518,0,2,2.0
153,850,521,0,3,3.0
154,848,522,-2,1,2.23606797749979
155,848,524,0,2,2.0
156,847,528,-1,4,4.123105625617661
157,847,531,0,3,3.0
158,847,534,0,3,3.0
159,847,536,0,2,2.0
160,848,538,1,2,2.23606797749979
161,847,541,-1,3,3.1622776601683795
162,847,544,0,3,3.0
163,847,547,0,3,3.0
164,848,550,1,3,3.1622776601683795
165,847,552,-1,2,2.23606797749979
166,848,554,1,2,2.23606797749979
167,848,557,0,3,3.0
168,848,560,0,3,3.0
169,849,562,1,2,2.23606797749979
170,848,565,-1,3,3.1622776601683795
171,849,568,1,3,3.1622776601683795
172,849,570,0,2,2.0
173,849,573,0,3,3.0
174,850,575,1,2,2.23606797749979
175,850,578,0,3,3.0
176,850,581,0,3,3.0
177,850,583,0,2,2.0
178,850,587,0,4,4.0
179,850,589,0,2,2.0
180,852,592,2,3,3.605551275463989
181,853,596,1,4,4.123105625617661
182,853,599,0,3,3.0
183,853,602,0,3,3.0
184,852,605,-1,3,3.1622776601683795
185,852,608,0,3,3.0
186,853,611,1,3,3.1622776601683795
187,852,613,-1,2,2.23606797749979
188,852,616,0,3,3.0
189,852,619,0,3,3.0
190,852,622,0,3,3.0
191,852,625,0,3,3.0
192,852,628,0,3,3.0
193,851,630,-1,2,2.23606797749979
194,850,633,-1,3,3.1622776601683795
195,850,636,0,3,3.0
196,849,639,-1,3,3.1622776601683795
197,850,641,1,2,2.23606797749979
198,849,644,-1,3,3.1622776601683795
199,849,647,0,3,3.0
200,849,650,0,3,3.0
201,849,653,0,3,3.0
202,849,655,0,2,2.0
