Frame,X,Y,dX,dY,Magnitude
0,658,96,0,4,4.0
1,658,97,0,1,1.0
2,659,96,1,-1,1.4142135623730951
3,659,100,0,4,4.0
4,659,103,0,3,3.0
5,659,104,0,1,1.0
6,659,106,0,2,2.0
7,659,105,0,-1,1.0
8,660,111,1,6,6.082762530298219
9,660,113,0,2,2.0
10,658,115,-2,2,2.8284271247461903
11,658,117,0,2,2.0
12,657,119,-1,2,2.23606797749979
13,658,122,1,3,3.1622776601683795
14,659,125,1,3,3.1622776601683795
15,658,128,-1,3,3.1622776601683795
16,660,131,2,3,3.605551275463989
17,654,130,-6,-1,6.082762530298219
18,656,135,2,5,5.385164807134504
19,658,138,2,3,3.605551275463989
20,655,139,-3,1,3.1622776601683795
21,664,140,9,1,9.055385138137417
22,663,142,-1,2,2.23606797749979
23,663,147,0,5,5.0
24,665,151,2,4,4.47213595499958
25,662,154,-3,3,4.242640687119285
26,658,157,-4,3,5.0
27,653,156,-5,-1,5.0990195135927845
28,656,160,3,4,5.0
29,654,162,-2,2,2.8284271247461903
30,652,162,-2,0,2.0
31,654,166,2,4,4.47213595499958
32,654,168,0,2,2.0
33,652,170,-2,2,2.8284271247461903
34,652,173,0,3,3.0
35,652,175,0,2,2.0
36,652,178,0,3,3.0
37,654,180,2,2,2.8284271247461903
38,654,182,0,2,2.0
39,654,185,0,3,3.0
40,653,187,-1,2,2.23606797749979
41,653,189,0,2,2.0
42,655,192,2,3,3.605551275463989
43,654,194,-1,2,2.23606797749979
44,654,197,0,3,3.0
45,655,199,1,2,2.23606797749979
46,655,201,0,2,2.0
47,655,204,0,3,3.0
48,655,206,0,2,2.0
49,654,208,-1,2,2.23606797749979
50,656,211,2,3,3.605551275463989
51,658,213,2,2,2.8284271247461903
52,656,215,-2,2,2.8284271247461903
53,655,217,-1,2,2.23606797749979
54,656,220,1,3,3.1622776601683795
55,657,222,1,2,2.23606797749979
56,657,225,0,3,3.0
57,658,227,1,2,2.23606797749979
58,657,229,-1,2,2.23606797749979
59,657,231,0,2,2.0
60,656,233,-1,2,2.23606797749979
61,657,236,1,3,3.1622776601683795
62,657,237,0,1,1.0
63,655,239,-2,2,2.8284271247461903
64,655,241,0,2,2.0
65,657,245,2,4,4.47213595499958
66,655,246,-2,1,2.23606797749979
67,656,249,1,3,3.1622776601683795
68,658,252,2,3,3.605551275463989
69,658,255,0,3,3.0
70,659,258,1,3,3.1622776601683795
71,658,260,-1,2,2.23606797749979
72,657,262,-1,2,2.23606797749979
73,658,264,1,2,2.23606797749979
74,658,267,0,3,3.0
75,658,270,0,3,3.0
76,657,272,-1,2,2.23606797749979
77,657,274,0,2,2.0
78,657,277,0,3,3.0
79,656,279,-1,2,2.23606797749979
80,656,281,0,2,2.0
81,656,283,0,2,2.0
82,655,286,-1,3,3.1622776601683795
83,655,288,0,2,2.0
84,654,290,-1,2,2.23606797749979
85,654,292,0,2,2.0
86,653,294,-1,2,2.23606797749979
87,652,297,-1,3,3.1622776601683795
88,655,300,3,3,4.242640687119285
89,652,301,-3,1,3.1622776601683795
90,654,304,2,3,3.605551275463989
91,649,305,-5,1,5.0990195135927845
92,654,309,5,4,6.4031242374328485
93,657,310,3,1,3.1622776601683795
94,655,313,-2,3,3.605551275463989
95,655,315,0,2,2.0
96,657,316,2,1,2.23606797749979
97,658,319,1,3,3.1622776601683795
98,655,321,-3,2,3.605551275463989
99,655,323,0,2,2.0
100,655,326,0,3,3.0
101,656,329,1,3,3.1622776601683795
102,655,331,-1,2,2.23606797749979
103,656,334,1,3,3.1622776601683795
104,656,336,0,2,2.0
105,656,338,0,2,2.0
106,657,341,1,3,3.1622776601683795
107,657,343,0,2,2.0
108,657,345,0,2,2.0
109,656,347,-1,2,2.23606797749979
110,657,350,1,3,3.1622776601683795
111,657,352,0,2,2.0
112,659,354,2,2,2.8284271247461903
113,658,356,-1,2,2.23606797749979
114,657,359,-1,3,3.1622776601683795
115,658,361,1,2,2.23606797749979
116,659,363,1,2,2.23606797749979
117,659,364,0,1,1.0
118,658,367,-1,3,3.1622776601683795
119,658,370,0,3,3.0
120,658,373,0,3,3.0
121,658,376,0,3,3.0
122,659,378,1,2,2.23606797749979
123,656,381,-3,3,4.242640687119285
124,656,385,0,4,4.0
125,658,386,2,1,2.23606797749979
126,657,389,-1,3,3.1622776601683795
127,653,392,-4,3,5.0
128,656,395,3,3,4.242640687119285
129,657,396,1,1,1.4142135623730951
130,657,398,0,2,2.0
131,656,402,-1,4,4.123105625617661
132,656,403,0,1,1.0
133,656,405,0,2,2.0
134,656,408,0,3,3.0
135,655,410,-1,2,2.23606797749979
136,656,412,1,2,2.23606797749979
137,655,414,-1,2,2.23606797749979
138,655,417,0,3,3.0
139,655,420,0,3,3.0
140,655,422,0,2,2.0
141,656,424,1,2,2.23606797749979
142,654,427,-2,3,3.605551275463989
143,655,430,1,3,3.1622776601683795
144,655,432,0,2,2.0
145,655,434,0,2,2.0
146,657,436,2,2,2.8284271247461903
147,655,438,-2,2,2.8284271247461903
148,656,440,1,2,2.23606797749979
149,656,443,0,3,3.0
150,661,444,5,1,5.0990195135927845
