Frame,X,Y,dX,dY,Magnitude
0,443,169,-1,0,1.0
1,444,170,1,1,1.4142135623730951
2,444,172,0,2,2.0
3,444,174,0,2,2.0
4,444,176,0,2,2.0
5,444,178,0,2,2.0
6,444,179,0,1,1.0
7,444,181,0,2,2.0
8,443,183,-1,2,2.23606797749979
9,443,184,0,1,1.0
10,443,186,0,2,2.0
11,443,189,0,3,3.0
12,442,190,-1,1,1.4142135623730951
13,442,192,0,2,2.0
14,443,193,1,1,1.4142135623730951
15,442,195,-1,2,2.23606797749979
16,441,197,-1,2,2.23606797749979
17,442,198,1,1,1.4142135623730951
18,442,200,0,2,2.0
19,441,202,-1,2,2.23606797749979
20,441,203,0,1,1.0
21,441,206,0,3,3.0
22,442,207,1,1,1.4142135623730951
23,441,209,-1,2,2.23606797749979
24,440,211,-1,2,2.23606797749979
25,441,213,1,2,2.23606797749979
26,441,214,0,1,1.0
27,441,216,0,2,2.0
28,440,218,-1,2,2.23606797749979
29,440,220,0,2,2.0
30,439,221,-1,1,1.4142135623730951
31,440,223,1,2,2.23606797749979
32,439,225,-1,2,2.23606797749979
33,439,226,0,1,1.0
34,439,228,0,2,2.0
35,438,230,-1,2,2.23606797749979
36,438,232,0,2,2.0
37,439,233,1,1,1.4142135623730951
38,439,235,0,2,2.0
39,438,236,-1,1,1.4142135623730951
40,439,238,1,2,2.23606797749979
41,438,240,-1,2,2.23606797749979
42,438,242,0,2,2.0
43,437,244,-1,2,2.23606797749979
44,437,245,0,1,1.0
45,438,247,1,2,2.23606797749979
46,437,249,-1,2,2.23606797749979
47,437,250,0,1,1.0
48,437,252,0,2,2.0
49,437,254,0,2,2.0
50,437,257,0,3,3.0
51,437,258,0,1,1.0
52,436,259,-1,1,1.4142135623730951
53,437,261,1,2,2.23606797749979
54,436,264,-1,3,3.1622776601683795
55,436,265,0,1,1.0
56,436,267,0,2,2.0
57,436,269,0,2,2.0
58,435,270,-1,1,1.4142135623730951
59,435,272,0,2,2.0
60,435,274,0,2,2.0
61,436,275,1,1,1.4142135623730951
62,435,277,-1,2,2.23606797749979
63,436,279,1,2,2.23606797749979
64,435,281,-1,2,2.23606797749979
65,435,282,0,1,1.0
66,435,284,0,2,2.0
67,434,286,-1,2,2.23606797749979
68,435,288,1,2,2.23606797749979
69,434,289,-1,1,1.4142135623730951
70,435,291,1,2,2.23606797749979
71,434,293,-1,2,2.23606797749979
72,434,295,0,2,2.0
73,434,296,0,1,1.0
74,434,298,0,2,2.0
75,433,300,-1,2,2.23606797749979
76,433,302,0,2,2.0
77,434,303,1,1,1.4142135623730951
78,434,306,0.0,3,3.0
79,433,307,-1,1,1.4142135623730951
80,432,310,-0.04000000000000001,3,3.000266654815868
81,434,311,2,1,2.23606797749979
82,433,313,-1,2,2.23606797749979
83,432,315,-1,2,2.23606797749979
84,432,315,0,0,0.0
85,433,317,1,2,2.23606797749979
86,433,319,0,2,2.0
87,432,322,-0.04000000000000001,3,3.000266654815868
88,432,323,0,1,1.0
89,432,324,0,1,1.0
90,432,327,0.038400000000000004,3,3.000245749934495
91,431,329,-6.400000000000017e-05,2.0,2.000000001024
92,431,330,0,1,1.0
93,431,333,0.0015334400000000003,3,3.0000003919063465
94,431,333,0,0,0.0
95,431,336,0.0015947776000000001,3,3.0000004238859024
96,431,339,0.00012256870400000002,3,3.000000002503848
97,430,338,-1,-1,1.4142135623730951
98,432,340,2,2,2.8284271247461903
99,432,343,0.04006869385216,3,3.000267571438757
100,432,345,0.0416714416062464,2.0,2.0004340801549905
101,432,348,0.043274508166496264,3,3.000312097608689
102,432,351,0.04500058574499611,3,3.0003374898030044
103,432,353,0.08680060917479594,2.6,2.601448509148916
104,432,355,0.010272633541787788,2.7199999999999998,2.720019398276395
105,432,357,0.009080791129372899,2.664,2.6640154768258264
106,430,354,-2,-3,3.605551275463989
107,429,357,-0.07395381521636189,3,3.000911389359082
108,428,360,-0.07871199125481622,3,3.0010324186131845
109,429,359,1,-1,1.4142135623730951
110,428,361,-1,2,2.23606797749979
111,430,363,2,2,2.8284271247461903
112,430,366,0.07389336774115288,3,3.000909900312925
113,430,369,0.07980725505945346,3,3.0010613452510637
114,428,368,-2,-1,2.23606797749979
115,429,370,1,2,2.23606797749979
116,429,372,0,2,2.0
117,429,374,0,2,2.0
118,428,376,-1,2,2.23606797749979
119,429,377,1,1,1.4142135623730951
120,428,378,-1,1,1.4142135623730951
121,427,380,-1,2,2.23606797749979
122,426,383,-0.08000000000000002,3,3.001066477104431
123,429,384,3,1,3.1622776601683795
124,429,387,0.07680000000000001,3,3.0009828789914814
125,426,387,-3,0,3.0
126,429,389,3,2,3.605551275463989
127,428,391,-1,2,2.23606797749979
128,428,393,0,2,2.0
129,426,393,-2,0,2.0
130,428,396,2,3,3.605551275463989
131,427,398,-1,2,2.23606797749979
132,427,399,0,1,1.0
