Frame,X,Y,dX,dY,Magnitude
0,620,155,-2,0,2.0
1,621,157,1,2,2.23606797749979
2,616,158,-5,1,5.0990195135927845
3,615,159,-1,1,1.4142135623730951
4,616,161,1,2,2.23606797749979
5,617,163,1,2,2.23606797749979
6,616,165,-1,2,2.23606797749979
7,615,167,-1,2,2.23606797749979
8,616,169,1,2,2.23606797749979
9,615,171,-1,2,2.23606797749979
10,615,173,0,2,2.0
11,614,175,-1,2,2.23606797749979
12,614,177,0,2,2.0
13,614,178,0,1,1.0
14,614,180,0,2,2.0
15,613,182,-1,2,2.23606797749979
16,612,184,-1,2,2.23606797749979
17,612,186,0,2,2.0
18,611,195,-1,9,9.055385138137417
19,611,197,0,2,2.0
20,611,199,0,2,2.0
21,611,216,0,17,17.0
22,611,218,0,2,2.0
23,611,219,0,1,1.0
24,612,221,1,2,2.23606797749979
25,612,223,0,2,2.0
26,612,225,0,2,2.0
27,612,227,0,2,2.0
28,613,229,1,2,2.23606797749979
29,613,231,0,2,2.0
30,614,232,1,1,1.4142135623730951
31,614,235,0,3,3.0
32,614,236,0,1,1.0
33,615,238,1,2,2.23606797749979
34,615,240,0,2,2.0
35,615,242,0,2,2.0
36,616,244,1,2,2.23606797749979
37,616,245,0,1,1.0
38,617,247,1,2,2.23606797749979
39,617,249,0,2,2.0
40,616,251,-1,2,2.23606797749979
41,616,252,0,1,1.0
42,617,254,1,2,2.23606797749979
43,617,257,0,3,3.0
44,618,258,1,1,1.4142135623730951
45,618,260,0,2,2.0
46,617,262,-1,2,2.23606797749979
47,618,264,1,2,2.23606797749979
48,617,266,-1,2,2.23606797749979
49,617,268,0,2,2.0
50,617,270,0,2,2.0
51,616,271,-1,1,1.4142135623730951
52,616,274,0,3,3.0
53,612,274,-4,0,4.0
54,614,287,2,13,13.152946437965905
55,614,289,0,2,2.0
56,613,290,-1,1,1.4142135623730951
57,613,292,0,2,2.0
58,614,294,1,2,2.23606797749979
59,613,296,-1,2,2.23606797749979
60,608,296,-5,0,5.0
61,613,300,5,4,6.4031242374328485
62,614,302,1,2,2.23606797749979
63,617,305,3,3,4.242640687119285
64,612,305,-5,0,5.0
65,612,307,0,2,2.0
66,611,309,-1,2,2.23606797749979
67,612,311,1,2,2.23606797749979
68,612,313,0,2,2.0
69,612,315,0,2,2.0
70,613,317,1,2,2.23606797749979
71,613,319,0,2,2.0
72,613,321,0,2,2.0
73,613,322,0,1,1.0
74,613,324,0,2,2.0
75,614,326,1,2,2.23606797749979
76,614,328,0,2,2.0
77,615,330,1,2,2.23606797749979
78,614,332,-1,2,2.23606797749979
79,616,333,2,1,2.23606797749979
80,615,335,-1,2,2.23606797749979
81,616,337,1,2,2.23606797749979
82,617,339,1,2,2.23606797749979
83,617,341,0,2,2.0
84,618,342,1,1,1.4142135623730951
85,619,355,1,13,13.038404810405298
86,619,357,0,2,2.0
87,614,358,-5,1,5.0990195135927845
88,619,361,5,3,5.830951894845301
89,619,363,0,2,2.0
90,615,363,-4,0,4.0
91,619,367,4,4,5.656854249492381
92,614,367,-5,0,5.0
93,618,371,4,4,5.656854249492381
94,623,374,5,3,5.830951894845301
95,619,375,-4,1,4.123105625617661
96,623,378,4,3,5.0
97,621,379,-2,1,2.23606797749979
98,622,382,1,3,3.1622776601683795
99,617,382,-5,0,5.0
100,621,386,4,4,5.656854249492381
101,615,385,-6,-1,6.082762530298219
102,615,387,0,2,2.0
103,615,389,0,2,2.0
104,615,391,0,2,2.0
105,615,393,0,2,2.0
106,614,395,-1,2,2.23606797749979
107,614,397,0,2,2.0
108,613,398,-1,1,1.4142135623730951
109,613,400,0,2,2.0
110,614,402,1,2,2.23606797749979
111,614,404,0,2,2.0
112,613,405,-1,1,1.4142135623730951
113,614,408,1,3,3.1622776601683795
114,612,409,-2,1,2.23606797749979
115,613,411,1,2,2.23606797749979
116,612,413,-1,2,2.23606797749979
117,614,422,2,9,9.219544457292887
118,614,424,0,2,2.0
119,614,426,0,2,2.0
120,614,428,0,2,2.0
121,616,433,2,5,5.385164807134504
122,616,437,0,4,4.0
123,616,439,0,2,2.0
124,617,440,1,1,1.4142135623730951
125,617,442,0,2,2.0
126,619,459,2,17,17.11724276862369
127,619,463,0,4,4.0
128,619,465,0,2,2.0
129,619,466,0,1,1.0
130,618,468,-1,2,2.23606797749979
131,619,470,1,2,2.23606797749979
132,617,472,-2,2,2.8284271247461903
133,618,474,1,2,2.23606797749979
134,617,476,-1,2,2.23606797749979
135,617,478,0,2,2.0
136,617,480,0,2,2.0
137,616,482,-1,2,2.23606797749979
138,615,483,-1,1,1.4142135623730951
139,615,485,0,2,2.0
140,614,487,-1,2,2.23606797749979
141,614,489,0,2,2.0
142,614,491,0,2,2.0
143,614,492,0,1,1.0
144,614,494,0,2,2.0
145,613,496,-1,2,2.23606797749979
146,613,498,0,2,2.0
147,612,499,-1,1,1.4142135623730951
148,612,501,0,2,2.0
149,612,503,0,2,2.0
150,612,505,0,2,2.0
151,612,507,0,2,2.0
