Frame,X,Y,dX,dY,Magnitude
0,426,150,-1,0,1.0
1,427,152,1,2,2.23606797749979
2,427,154,0,2,2.0
3,427,157,0,3,3.0
4,426,161,-1,4,4.123105625617661
5,427,161,1,0,1.0
6,427,163,0,2,2.0
7,426,166,-1,3,3.1622776601683795
8,426,168,0,2,2.0
9,425,170,-1,2,2.23606797749979
10,424,172,-1,2,2.23606797749979
11,424,173,0,1,1.0
12,424,176,0,3,3.0
13,424,178,0,2,2.0
14,424,181,0,3,3.0
15,423,183,-1,2,2.23606797749979
16,423,185,0,2,2.0
17,423,187,0,2,2.0
18,423,189,0,2,2.0
19,422,191,-1,2,2.23606797749979
20,422,193,0,2,2.0
21,423,195,1,2,2.23606797749979
22,422,198,-1,3,3.1622776601683795
23,423,200,1,2,2.23606797749979
24,422,202,-1,2,2.23606797749979
25,421,204,-1,2,2.23606797749979
26,422,207,1,3,3.1622776601683795
27,422,209,0,2,2.0
28,422,211,0,2,2.0
29,421,213,-1,2,2.23606797749979
30,422,215,1,2,2.23606797749979
31,422,218,0,3,3.0
32,422,220,0,2,2.0
33,422,222,0,2,2.0
34,422,225,0,3,3.0
35,422,227,0,2,2.0
36,423,229,1,2,2.23606797749979
37,423,231,0,2,2.0
38,424,233,1,2,2.23606797749979
39,423,235,-1,2,2.23606797749979
40,424,237,1,2,2.23606797749979
41,424,240,0,3,3.0
42,424,242,0,2,2.0
43,424,244,0,2,2.0
44,425,246,1,2,2.23606797749979
45,424,248,-1,2,2.23606797749979
46,424,251,0,3,3.0
47,425,253,1,2,2.23606797749979
48,425,255,0,2,2.0
49,425,257,0,2,2.0
50,423,260,-2,3,3.605551275463989
51,426,262,3,2,3.605551275463989
52,426,264,0,2,2.0
53,423,266,-3,2,3.605551275463989
54,424,268,1,2,2.23606797749979
55,423,270,-1,2,2.23606797749979
56,424,272,1,2,2.23606797749979
57,425,274,1,2,2.23606797749979
58,423,277,-2,3,3.605551275463989
59,423,279,0,2,2.0
60,424,281,1,2,2.23606797749979
61,424,283,0,2,2.0
62,423,285,-1,2,2.23606797749979
63,423,288,0,3,3.0
64,423,290,0,2,2.0
65,423,292,0,2,2.0
66,422,294,-1,2,2.23606797749979
67,423,296,1,2,2.23606797749979
68,422,298,-1,2,2.23606797749979
69,422,301,0,3,3.0
70,422,303,0,2,2.0
71,421,305,-1,2,2.23606797749979
72,422,307,1,2,2.23606797749979
73,421,309,-1,2,2.23606797749979
74,421,311,0,2,2.0
75,421,313,0,2,2.0
76,420,316,-1,3,3.1622776601683795
77,420,318,0,2,2.0
78,420,320,0,2,2.0
79,420,322,0,2,2.0
80,420,324,0,2,2.0
81,419,326,-1,2,2.23606797749979
82,419,329,0,3,3.0
83,419,331,0,2,2.0
84,419,333,0,2,2.0
85,419,335,0,2,2.0
86,418,337,-1,2,2.23606797749979
87,419,340,1,3,3.1622776601683795
88,418,342,-1,2,2.23606797749979
89,418,344,0,2,2.0
90,418,346,0,2,2.0
91,418,348,0,2,2.0
92,419,351,1,3,3.1622776601683795
93,418,353,-1,2,2.23606797749979
94,419,355,1,2,2.23606797749979
95,419,357,0,2,2.0
96,419,359,0,2,2.0
97,419,361,0,2,2.0
98,420,363,1,2,2.23606797749979
99,419,365,-1,2,2.23606797749979
100,419,368,0,3,3.0
101,420,370,1,2,2.23606797749979
102,420,372,0,2,2.0
103,421,374,1,2,2.23606797749979
104,420,376,-1,2,2.23606797749979
105,421,378,1,2,2.23606797749979
106,421,380,0,2,2.0
107,420,383,-1,3,3.1622776601683795
108,421,385,1,2,2.23606797749979
109,421,387,0,2,2.0
110,421,389,0,2,2.0
111,421,391,0,2,2.0
112,421,394,0,3,3.0
113,422,396,1,2,2.23606797749979
114,422,398,0,2,2.0
115,422,400,0,2,2.0
116,421,402,-1,2,2.23606797749979
117,421,404,0,2,2.0
118,422,407,1,3,3.1622776601683795
119,421,409,-1,2,2.23606797749979
120,421,411,0,2,2.0
121,421,413,0,2,2.0
122,421,415,0,2,2.0
123,421,418,0,3,3.0
124,421,420,0,2,2.0
125,420,422,-1,2,2.23606797749979
126,420,424,0,2,2.0
127,420,426,0,2,2.0
128,420,428,0,2,2.0
129,420,430,0,2,2.0
130,419,433,-1,3,3.1622776601683795
131,419,435,0,2,2.0
132,419,437,0,2,2.0
