Frame,X,Y,dX,dY,Magnitude
0,364,143,0,0,0.0
1,364,146,0,3,3.0
2,364,149,0,3,3.0
3,363,152,-1,3,3.1622776601683795
4,363,154,0,2,2.0
5,361,157,-2,3,3.605551275463989
6,362,160,1,3,3.1622776601683795
7,360,162,-2,2,2.8284271247461903
8,361,165,1,3,3.1622776601683795
9,359,167,-2,2,2.8284271247461903
10,362,170,3,3,4.242640687119285
11,360,171,-2,1,2.23606797749979
12,361,174,1,3,3.1622776601683795
13,360,176,-1,2,2.23606797749979
14,361,179,1,3,3.1622776601683795
15,360,181,-1,2,2.23606797749979
16,361,184,1,3,3.1622776601683795
17,361,186,0,2,2.0
18,361,189,0,3,3.0
19,361,191,0,2,2.0
20,361,193,0,2,2.0
21,360,196,-1,3,3.1622776601683795
22,360,198,0,2,2.0
23,361,200,1,2,2.23606797749979
24,360,203,-1,3,3.1622776601683795
25,360,205,0,2,2.0
26,359,207,-1,2,2.23606797749979
27,360,210,1,3,3.1622776601683795
28,359,213,-1,3,3.1622776601683795
29,359,215,0,2,2.0
30,359,217,0,2,2.0
31,359,219,0,2,2.0
32,359,222,0,3,3.0
33,358,224,-1,2,2.23606797749979
34,359,227,1,3,3.1622776601683795
35,360,230,1,3,3.1622776601683795
36,358,232,-2,2,2.8284271247461903
37,360,234,2,2,2.8284271247461903
38,360,237,0,3,3.0
39,358,239,-2,2,2.8284271247461903
40,359,241,1,2,2.23606797749979
41,357,244,-2,3,3.605551275463989
42,357,246,0,2,2.0
43,358,249,1,3,3.1622776601683795
44,358,251,0,2,2.0
45,359,254,1,3,3.1622776601683795
46,358,256,-1,2,2.23606797749979
47,358,259,0,3,3.0
48,358,262,0,3,3.0
49,357,264,-1,2,2.23606797749979
50,354,266,-3,2,3.605551275463989
51,357,269,3,3,4.242640687119285
52,358,271,1,2,2.23606797749979
53,357,274,-1,3,3.1622776601683795
54,357,276,0,2,2.0
55,357,278,0,2,2.0
56,356,281,-1,3,3.1622776601683795
57,357,283,1,2,2.23606797749979
58,356,286,-1,3,3.1622776601683795
59,352,288,-4,2,4.47213595499958
60,348,288,-4,0,4.0
61,353,293,5,5,7.0710678118654755
62,353,296,0,3,3.0
63,353,298,0,2,2.0
64,353,300,0,2,2.0
65,352,303,-1,3,3.1622776601683795
66,352,305,0,2,2.0
67,353,308,1,3,3.1622776601683795
68,353,310,0,2,2.0
69,353,312,0,2,2.0
70,353,315,0,3,3.0
71,353,317,0,2,2.0
72,353,320,0,3,3.0
73,353,322,0,2,2.0
74,353,325,0,3,3.0
75,353,327,0,2,2.0
76,353,329,0,2,2.0
77,353,332,0,3,3.0
78,353,334,0,2,2.0
79,349,334,-4,0,4.0
80,353,339,4,5,6.4031242374328485
81,354,341,1,2,2.23606797749979
82,353,344,-1,3,3.1622776601683795
83,353,347,0,3,3.0
84,354,349,1,2,2.23606797749979
85,353,351,-1,2,2.23606797749979
86,349,351,-4,0,4.0
87,353,356,4,5,6.4031242374328485
88,356,360,3,4,5.0
89,352,361,-4,1,4.123105625617661
90,356,364,4,3,5.0
91,356,366,0,2,2.0
92,356,369,0,3,3.0
93,356,371,0,2,2.0
