Frame,X,Y,dX,dY,Magnitude
0,515,156,2,1,2.23606797749979
1,513,158,-2,2,2.8284271247461903
2,516,161,3,3,4.242640687119285
3,516,163,0,2,2.0
4,516,166,0,3,3.0
5,518,168,2,2,2.8284271247461903
6,518,171,0,3,3.0
7,517,173,-1,2,2.23606797749979
8,517,176,0,3,3.0
9,516,178,-1,2,2.23606797749979
10,516,180,0,2,2.0
11,516,183,0,3,3.0
12,515,185,-1,2,2.23606797749979
13,515,187,0,2,2.0
14,514,189,-1,2,2.23606797749979
15,514,192,0,3,3.0
16,513,194,-1,2,2.23606797749979
17,513,196,0,2,2.0
18,512,199,-1,3,3.1622776601683795
19,511,201,-1,2,2.23606797749979
20,511,203,0,2,2.0
21,511,206,0,3,3.0
22,510,208,-1,2,2.23606797749979
23,510,211,0,3,3.0
24,510,213,0,2,2.0
25,510,215,0,2,2.0
26,509,218,-1,3,3.1622776601683795
27,509,220,0,2,2.0
28,510,223,1,3,3.1622776601683795
29,510,225,0,2,2.0
30,510,227,0,2,2.0
31,509,230,-1,3,3.1622776601683795
32,509,233,0,3,3.0
33,510,235,1,2,2.23606797749979
34,514,238,4,3,5.0
35,514,241,0,3,3.0
36,514,243,0,2,2.0
37,514,245,0,2,2.0
38,516,247,2,2,2.8284271247461903
39,515,250,-1,3,3.1622776601683795
40,515,253,0,3,3.0
41,517,255,2,2,2.8284271247461903
42,516,257,-1,2,2.23606797749979
43,518,259,2,2,2.8284271247461903
44,518,262,0,3,3.0
45,519,265,1,3,3.1622776601683795
46,520,267,1,2,2.23606797749979
47,518,268,-2,1,2.23606797749979
48,520,272,2,4,4.47213595499958
49,515,274,-5,2,5.385164807134504
50,515,276,0,2,2.0
51,516,278,1,2,2.23606797749979
52,516,281,0,3,3.0
53,516,283,0,2,2.0
54,516,286,0,3,3.0
55,517,288,1,2,2.23606797749979
56,516,290,-1,2,2.23606797749979
57,517,293,1,3,3.1622776601683795
58,516,295,-1,2,2.23606797749979
59,516,298,0,3,3.0
60,516,300,0,2,2.0
61,516,303,0,3,3.0
62,515,305,-1,2,2.23606797749979
63,515,307,0,2,2.0
64,515,310,0,3,3.0
65,514,312,-1,2,2.23606797749979
66,514,315,0,3,3.0
67,513,317,-1,2,2.23606797749979
68,513,319,0,2,2.0
69,512,322,-1,3,3.1622776601683795
70,512,324,0,2,2.0
71,511,327,-1,3,3.1622776601683795
72,511,329,0,2,2.0
73,511,331,0,2,2.0
74,510,334,-1,3,3.1622776601683795
75,509,336,-1,2,2.23606797749979
76,509,338,0,2,2.0
77,508,341,-1,3,3.1622776601683795
78,508,343,0,2,2.0
79,508,346,0,3,3.0
80,507,348,-1,2,2.23606797749979
81,507,350,0,2,2.0
82,506,353,-1,3,3.1622776601683795
83,507,355,1,2,2.23606797749979
84,507,358,0,3,3.0
85,506,360,-1,2,2.23606797749979
86,507,363,1,3,3.1622776601683795
87,507,365,0,2,2.0
88,507,368,0,3,3.0
89,507,370,0,2,2.0
90,508,373,1,3,3.1622776601683795
91,508,375,0,2,2.0
92,509,377,1,2,2.23606797749979
93,509,380,0,3,3.0
94,509,381,0,1,1.0
95,510,384,1,3,3.1622776601683795
96,511,386,1,2,2.23606797749979
97,507,388,-4,2,4.47213595499958
98,511,391,4,3,5.0
99,513,393,2,2,2.8284271247461903
100,512,396,-1,3,3.1622776601683795
101,513,399,1,3,3.1622776601683795
102,513,401,0,2,2.0
103,513,403,0,2,2.0
104,514,405,1,2,2.23606797749979
105,514,408,0,3,3.0
106,514,410,0,2,2.0
107,515,413,1,3,3.1622776601683795
108,514,416,-1,3,3.1622776601683795
109,515,418,1,2,2.23606797749979
110,515,420,0,2,2.0
111,515,423,0,3,3.0
112,515,425,0,2,2.0
113,515,427,0,2,2.0
114,515,430,0,3,3.0
115,514,433,-1,3,3.1622776601683795
116,514,435,0,2,2.0
117,514,437,0,2,2.0
118,514,440,0,3,3.0
119,513,442,-1,2,2.23606797749979
120,513,445,0,3,3.0
121,513,447,0,2,2.0
122,512,449,-1,2,2.23606797749979
123,511,452,-1,3,3.1622776601683795
124,511,454,0,2,2.0
125,511,456,0,2,2.0
126,509,459,-2,3,3.605551275463989
127,509,461,0,2,2.0
128,509,464,0,3,3.0
129,508,466,-1,2,2.23606797749979
130,508,468,0,2,2.0
131,507,470,-1,2,2.23606797749979
132,507,473,0,3,3.0
133,507,475,0,2,2.0
134,506,478,-1,3,3.1622776601683795
135,506,480,0,2,2.0
136,506,483,0,3,3.0
137,505,485,-1,2,2.23606797749979
138,505,487,0,2,2.0
139,505,490,0,3,3.0
