Frame,X,Y,dX,dY,Magnitude
0,485,172,-1,-1,1.4142135623730951
1,485,174,0,2,2.0
2,485,176,0,2,2.0
3,486,178,1,2,2.23606797749979
4,486,179,0,1,1.0
5,486,182,0,3,3.0
6,485,183,-1,1,1.4142135623730951
7,484,185,-1,2,2.23606797749979
8,485,186,1,1,1.4142135623730951
9,485,188,0,2,2.0
10,485,191,0,3,3.0
11,484,192,-1,1,1.4142135623730951
12,484,194,0,2,2.0
13,484,196,0,2,2.0
14,484,198,0,2,2.0
15,484,200,0,2,2.0
16,484,201,0,1,1.0
17,484,203,0,2,2.0
18,483,205,-1,2,2.23606797749979
19,483,207,0,2,2.0
20,482,208,-1,1,1.4142135623730951
21,482,210,0,2,2.0
22,483,212,1,2,2.23606797749979
23,482,214,-1,2,2.23606797749979
24,482,216,0,2,2.0
25,482,218,0,2,2.0
26,483,219,1,1,1.4142135623730951
27,482,221,-1,2,2.23606797749979
28,481,223,-1,2,2.23606797749979
29,480,225,-1,2,2.23606797749979
30,481,227,1,2,2.23606797749979
31,481,228,0,1,1.0
32,482,230,1,2,2.23606797749979
33,482,232,0,2,2.0
34,482,233,0,1,1.0
35,481,235,-1,2,2.23606797749979
36,481,237,0,2,2.0
37,481,239,0,2,2.0
38,481,242,0,3,3.0
39,481,243,0,1,1.0
40,480,245,-0.04000000000000001,2.0,2.000399960007998
41,481,247,1,2,2.23606797749979
42,481,249,0,2,2.0
43,480,251,-1,2,2.23606797749979
44,481,253,1,2,2.23606797749979
45,481,255,0,2,2.0
46,480,256,-1,1,1.4142135623730951
47,480,258,0,2,2.0
48,480,259,0,1,1.0
49,480,261,0,2,2.0
50,480,264,0,3,3.0
51,481,265,1,1,1.4142135623730951
52,480,266,-1,1,1.4142135623730951
53,480,269,0,3,3.0
54,480,270,0,1,1.0
55,479,273,-1,3,3.1622776601683795
56,480,274,1,1,1.4142135623730951
57,480,276,0,2,2.0
58,479,278,-1,2,2.23606797749979
59,479,280,0,2,2.0
60,479,282,0,2,2.0
61,479,283,0,1,1.0
62,479,285,0,2,2.0
63,479,287,0,2,2.0
64,479,289,0,2,2.0
65,479,290,0,1,1.0
66,479,292,0,2,2.0
67,479,294,0,2,2.0
68,478,296,-1,2,2.23606797749979
69,479,298,1,2,2.23606797749979
70,479,300,0,2,2.0
71,479,301,0,1,1.0
72,479,303,0,2,2.0
73,478,305,-1,2,2.23606797749979
74,478,307,0,2,2.0
75,478,309,0,2,2.0
76,478,311,0,2,2.0
77,478,312,0,1,1.0
78,478,314,0,2,2.0
79,478,316,0,2,2.0
80,478,318,0,2,2.0
81,478,323,0,5,5.0
82,478,325,0,2,2.0
83,478,327,0,2,2.0
84,478,329,0,2,2.0
85,478,331,0,2,2.0
86,478,333,0,2,2.0
87,478,335,0,2,2.0
88,478,336,0,1,1.0
89,478,338,0,2,2.0
90,478,340,0,2,2.0
91,478,344,0,4,4.0
92,478,345,0,1,1.0
93,477,347,-1,2,2.23606797749979
94,478,351,1,4,4.123105625617661
95,478,353,0.0,2.6,2.6
96,476,359,-2,6,6.324555320336759
97,475,361,-1,2,2.23606797749979
98,478,363,3,2,3.605551275463989
99,475,365,-3,2,3.605551275463989
100,476,366,1,1,1.4142135623730951
101,475,368,-0.08000000000000002,2.6,2.6012304780622575
102,477,371,2,3,3.605551275463989
103,477,373,0,2,2.0
104,476,374,-1,1,1.4142135623730951
105,478,376,2,2,2.8284271247461903
106,478,378,0,2,2.0
107,478,380,0,2,2.0
108,478,383,0.04000000000000001,3,3.000266654815868
109,476,383,-2,0,2.0
110,476,385,0,2,2.0
111,477,387,1,2,2.23606797749979
112,478,389,1,2,2.23606797749979
113,477,391,-1,2,2.23606797749979
114,476,392,-1,1,1.4142135623730951
115,478,394,2,2,2.8284271247461903
116,478,396,0,2,2.0
117,478,399,0.04000000000000001,3,3.000266654815868
118,478,401,0.0016000000000000005,2.0,2.0000006399998975
119,478,403,0.04166400000000001,2.0,2.000433925151241
120,478,405,0.08333056,2.2,2.201577612129519
121,478,407,0.0066637824,2.2399999999999998,2.24000991203072
122,478,409,0.006930333696000001,2.288,2.2880104959385865
