Frame,X,Y,dX,dY,Magnitude
0,477,150,-2,1,2.23606797749979
1,478,151,1,1,1.4142135623730951
2,478,153,0,2,2.0
3,477,156,-1,3,3.1622776601683795
4,477,158,0,2,2.0
5,477,160,0,2,2.0
6,477,162,0,2,2.0
7,477,164,0,2,2.0
8,476,166,-1,2,2.23606797749979
9,477,168,1,2,2.23606797749979
10,477,170,0,2,2.0
11,476,172,-1,2,2.23606797749979
12,476,174,0,2,2.0
13,476,175,0,1,1.0
14,475,177,-1,2,2.23606797749979
15,474,179,-1,2,2.23606797749979
16,474,181,0,2,2.0
17,474,183,0,2,2.0
18,474,185,0,2,2.0
19,475,187,1,2,2.23606797749979
20,475,189,0,2,2.0
21,474,191,-1,2,2.23606797749979
22,475,193,1,2,2.23606797749979
23,475,195,0,2,2.0
24,475,197,0,2,2.0
25,475,199,0,2,2.0
26,475,201,0,2,2.0
27,476,203,1,2,2.23606797749979
28,476,205,0,2,2.0
29,477,207,1,2,2.23606797749979
30,476,209,-1,2,2.23606797749979
31,477,211,1,2,2.23606797749979
32,477,213,0,2,2.0
33,476,215,-1,2,2.23606797749979
34,477,217,1,2,2.23606797749979
35,478,219,1,2,2.23606797749979
36,478,221,0,2,2.0
37,478,224,0,3,3.0
38,478,226,0,2,2.0
39,478,228,0,2,2.0
40,478,230,0,2,2.0
41,477,232,-1,2,2.23606797749979
42,478,234,1,2,2.23606797749979
43,478,236,0,2,2.0
44,477,238,-1,2,2.23606797749979
45,477,240,0,2,2.0
46,477,241,0,1,1.0
47,477,244,0,3,3.0
48,477,245,0,1,1.0
49,476,247,-1,2,2.23606797749979
50,476,249,0,2,2.0
51,476,251,0,2,2.0
52,476,253,0,2,2.0
53,476,256,0,3,3.0
54,476,258,0,2,2.0
55,475,259,-1,1,1.4142135623730951
56,474,261,-1,2,2.23606797749979
57,474,263,0,2,2.0
58,473,265,-1,2,2.23606797749979
59,473,267,0,2,2.0
60,473,270,0,3,3.0
61,473,272,0,2,2.0
62,472,273,-1,1,1.4142135623730951
63,472,275,0,2,2.0
64,472,277,0,2,2.0
65,472,280,0,3,3.0
66,471,282,-1,2,2.23606797749979
67,471,283,0,1,1.0
68,472,285,1,2,2.23606797749979
69,472,287,0,2,2.0
70,473,290,1,3,3.1622776601683795
71,473,292,0,2,2.0
72,472,293,-1,1,1.4142135623730951
73,472,295,0,2,2.0
74,473,298,1,3,3.1622776601683795
75,472,300,-1,2,2.23606797749979
76,472,302,0,2,2.0
77,473,304,1,2,2.23606797749979
78,473,306,0,2,2.0
79,474,308,1,2,2.23606797749979
80,473,310,-1,2,2.23606797749979
81,473,312,0,2,2.0
82,474,314,1,2,2.23606797749979
83,473,315,-1,1,1.4142135623730951
84,473,317,0,2,2.0
85,475,320,2,3,3.605551275463989
86,476,322,1,2,2.23606797749979
87,474,323,-2,1,2.23606797749979
88,475,325,1,2,2.23606797749979
89,475,327,0,2,2.0
90,475,330,0,3,3.0
91,477,331,2,1,2.23606797749979
92,476,334,-1,3,3.1622776601683795
93,476,336,0,2,2.0
94,476,338,0,2,2.0
95,475,340,-1,2,2.23606797749979
96,476,342,1,2,2.23606797749979
97,477,344,1,2,2.23606797749979
98,476,346,-1,2,2.23606797749979
99,476,348,0,2,2.0
100,476,350,0,2,2.0
101,476,352,0,2,2.0
102,475,354,-1,2,2.23606797749979
103,474,356,-1,2,2.23606797749979
104,474,358,0,2,2.0
105,475,360,1,2,2.23606797749979
106,474,362,-1,2,2.23606797749979
107,474,364,0,2,2.0
108,473,366,-1,2,2.23606797749979
109,473,368,0,2,2.0
110,472,370,-1,2,2.23606797749979
111,472,372,0,2,2.0
112,472,374,0,2,2.0
113,470,375,-2,1,2.23606797749979
114,471,378,1,3,3.1622776601683795
115,470,380,-1,2,2.23606797749979
116,470,382,0,2,2.0
117,471,384,1,2,2.23606797749979
118,470,386,-1,2,2.23606797749979
119,470,388,0,2,2.0
120,469,390,-1,2,2.23606797749979
121,470,392,1,2,2.23606797749979
122,469,393,-1,1,1.4142135623730951
123,469,396,0,3,3.0
124,469,397,0,1,1.0
125,469,399,0,2,2.0
126,469,401,0,2,2.0
127,468,403,-1,2,2.23606797749979
128,469,405,1,2,2.23606797749979
129,468,407,-1,2,2.23606797749979
130,469,409,1,2,2.23606797749979
131,470,411,1,2,2.23606797749979
132,468,412,-2,1,2.23606797749979
133,469,414,1,2,2.23606797749979
134,469,417,0,3,3.0
135,469,418,0,1,1.0
136,469,420,0,2,2.0
137,470,422,1,2,2.23606797749979
138,470,424,0,2,2.0
139,471,426,1,2,2.23606797749979
140,471,428,0,2,2.0
141,471,430,0,2,2.0
142,471,432,0,2,2.0
143,472,434,1,2,2.23606797749979
144,471,436,-1,2,2.23606797749979
145,471,439,0,3,3.0
146,473,440,2,1,2.23606797749979
147,472,442,-1,2,2.23606797749979
148,473,444,1,2,2.23606797749979
149,473,446,0,2,2.0
150,472,449,-1,3,3.1622776601683795
151,474,450,2,1,2.23606797749979
152,473,453,-1,3,3.1622776601683795
153,475,454,2,1,2.23606797749979
154,474,457,-1,3,3.1622776601683795
155,473,459,-1,2,2.23606797749979
156,473,461,0,2,2.0
157,474,463,1,2,2.23606797749979
158,474,465,0,2,2.0
159,473,467,-1,2,2.23606797749979
160,473,469,0,2,2.0
161,473,471,0,2,2.0
162,472,473,-1,2,2.23606797749979
163,472,476,0,3,3.0
164,471,477,-1,1,1.4142135623730951
165,472,479,1,2,2.23606797749979
166,471,481,-1,2,2.23606797749979
167,470,483,-1,2,2.23606797749979
168,470,485,0,2,2.0
169,469,487,-1,2,2.23606797749979
170,469,489,0,2,2.0
171,469,491,0,2,2.0
172,469,493,0,2,2.0
173,468,494,-1,1,1.4142135623730951
174,468,497,0,3,3.0
175,467,498,-1,1,1.4142135623730951
176,467,501,0,3,3.0
177,466,502,-1,1,1.4142135623730951
178,465,504,-1,2,2.23606797749979
179,466,506,1,2,2.23606797749979
180,465,508,-1,2,2.23606797749979
181,465,509,0,1,1.0
182,465,512,0,3,3.0
183,466,514,1,2,2.23606797749979
184,465,516,-1,2,2.23606797749979
185,465,517,0,1,1.0
186,466,520,1,3,3.1622776601683795
187,466,522,0,2,2.0
188,466,523,0,1,1.0
189,466,525,0,2,2.0
190,466,527,0,2,2.0
191,466,529,0,2,2.0
192,466,531,0,2,2.0
193,467,533,1,2,2.23606797749979
194,466,535,-1,2,2.23606797749979
195,467,537,1,2,2.23606797749979
196,467,539,0,2,2.0
197,468,541,1,2,2.23606797749979
198,468,543,0,2,2.0
