Frame,X,Y,dX,dY,Magnitude
0,652,135,0,0,0.0
1,651,141,-1,6,6.082762530298219
2,649,146,-2,5,5.385164807134504
3,648,151,-1,5,5.0990195135927845
4,646,156,-2,5,5.385164807134504
5,646,161,0,5,5.0
6,645,167,-1,6,6.082762530298219
7,644,172,-1,5,5.0990195135927845
8,644,177,0,5,5.0
9,645,183,1,6,6.082762530298219
10,645,188,0,5,5.0
11,646,193,1,5,5.0990195135927845
12,647,199,1,6,6.082762530298219
13,648,204,1,5,5.0990195135927845
14,650,210,2,6,6.324555320336759
15,651,215,1,5,5.0990195135927845
16,653,221,2,6,6.324555320336759
17,654,227,1,6,6.082762530298219
18,655,232,1,5,5.0990195135927845
19,655,237,0,5,5.0
20,656,243,1,6,6.082762530298219
21,655,248,-1,5,5.0990195135927845
22,655,254,0,6,6.0
23,654,259,-1,5,5.0990195135927845
24,653,264,-1,5,5.0990195135927845
25,652,270,-1,6,6.082762530298219
26,651,275,-1,5,5.0990195135927845
27,649,280,-2,5,5.385164807134504
28,648,286,-1,6,6.082762530298219
29,647,291,-1,5,5.0990195135927845
30,645,297,-2,6,6.324555320336759
31,645,302,0,5,5.0
32,644,307,-1,5,5.0990195135927845
33,644,313,0,6,6.0
34,644,318,0,5,5.0
35,644,323,0,5,5.0
36,645,329,1,6,6.082762530298219
37,645,334,0,5,5.0
38,646,340,1,6,6.082762530298219
39,648,346,2,6,6.324555320336759
40,650,351,2,5,5.385164807134504
41,651,356,1,5,5.0990195135927845
42,653,362,2,6,6.324555320336759
43,654,367,1,5,5.0990195135927845
44,655,373,1,6,6.082762530298219
45,656,378,1,5,5.0990195135927845
46,656,383,0,5,5.0
47,657,388,1,5,5.0990195135927845
48,656,393,-1,5,5.0990195135927845
49,656,398,0,5,5.0
50,655,404,-1,6,6.082762530298219
51,654,409,-1,5,5.0990195135927845
52,653,415,-1,6,6.082762530298219
53,652,420,-1,5,5.0990195135927845
54,651,425,-1,5,5.0990195135927845
55,650,431,-1,6,6.082762530298219
56,649,436,-1,5,5.0990195135927845
57,648,442,-1,6,6.082762530298219
58,647,447,-1,5,5.0990195135927845
59,647,452,0,5,5.0
60,647,458,0,6,6.0
61,648,464,1,6,6.082762530298219
62,648,469,0,5,5.0
63,650,474,2,5,5.385164807134504
64,651,480,1,6,6.082762530298219
65,653,485,2,5,5.385164807134504
66,655,491,2,6,6.324555320336759
67,657,496,2,5,5.385164807134504
68,658,501,1,5,5.0990195135927845
69,660,506,2,5,5.385164807134504
70,661,511,1,5,5.0990195135927845
71,662,516,1,5,5.0990195135927845
72,662,522,0,6,6.0
73,662,527,0,5,5.0
74,662,532,0,5,5.0
75,662,537,0,5,5.0
76,662,543,0,6,6.0
77,661,548,-1,5,5.0990195135927845
78,660,553,-1,5,5.0990195135927845
79,659,559,-1,6,6.082762530298219
80,658,564,-1,5,5.0990195135927845
81,656,570,-2,6,6.324555320336759
82,655,575,-1,5,5.0990195135927845
83,655,581,0,6,6.0
84,654,586,-1,5,5.0990195135927845
85,654,592,0,6,6.0
86,654,597,0,5,5.0
87,655,603,1,6,6.082762530298219
88,656,608,1,5,5.0990195135927845
89,657,614,1,6,6.082762530298219
90,658,619,1,5,5.0990195135927845
91,660,624,2,5,5.385164807134504
92,662,629,2,5,5.385164807134504
93,664,634,2,5,5.385164807134504
94,665,640,1,6,6.082762530298219
95,667,645,2,5,5.385164807134504
96,668,650,1,5,5.0990195135927845
97,669,655,1,5,5.0990195135927845
98,669,660,0,5,5.0
99,670,665,1,5,5.0990195135927845
100,670,671,0,6,6.0
101,670,676,0,5,5.0
102,669,681,-1,5,5.0990195135927845
103,668,687,-1,6,6.082762530298219
104,667,692,-1,5,5.0990195135927845
105,666,698,-1,6,6.082762530298219
106,664,703,-2,5,5.385164807134504
107,663,709,-1,6,6.082762530298219
108,662,714,-1,5,5.0990195135927845
109,661,720,-1,6,6.082762530298219
110,661,725,0,5,5.0
111,661,731,0,6,6.0
112,661,736,0,5,5.0
113,662,741,1,5,5.0990195135927845
114,663,746,1,5,5.0990195135927845
115,664,751,1,5,5.0990195135927845
116,665,757,1,6,6.082762530298219
117,667,762,2,5,5.385164807134504
118,669,766,2,4,4.47213595499958
119,672,768,3,2,3.605551275463989
120,672,772,0.36000000000000004,4.4,4.414702707997448
121,672,776,0.33440000000000003,4.279999999999999,4.293043600989861
122,672,779,0.30777600000000005,3.936,3.948014952628219
123,672,782,0.24008704000000003,3.7232,3.7309328628073652
124,675,802,3,20,20.223748416156685
125,675,805,0,3,3.0
126,675,810,0,5,5.0
127,675,814,0,4,4.0
128,674,819,-1,5,5.0990195135927845
129,673,824,-1,5,5.0990195135927845
130,672,830,-1,6,6.082762530298219
131,671,835,-1,5,5.0990195135927845
