Frame,X,Y,dX,dY,Magnitude
0,630,121,0,0,0.0
1,630,125,0,4,4.0
2,630,129,0,4,4.0
3,630,133,0,4,4.0
4,630,137,0,4,4.0
5,629,142,-1,5,5.0990195135927845
6,628,146,-1,4,4.123105625617661
7,628,151,0,5,5.0
8,626,155,-2,4,4.47213595499958
9,626,159,0,4,4.0
10,625,164,-1,5,5.0990195135927845
11,625,168,0,4,4.0
12,625,173,0,5,5.0
13,626,178,1,5,5.0990195135927845
14,627,182,1,4,4.123105625617661
15,628,187,1,5,5.0990195135927845
16,630,191,2,4,4.47213595499958
17,632,195,2,4,4.47213595499958
18,634,198,2,3,3.605551275463989
19,636,202,2,4,4.47213595499958
20,637,206,1,4,4.123105625617661
21,639,209,2,3,3.605551275463989
22,640,213,1,4,4.123105625617661
23,642,217,2,4,4.47213595499958
24,643,221,1,4,4.123105625617661
25,644,225,1,4,4.123105625617661
26,644,229,0,4,4.0
27,645,234,1,5,5.0990195135927845
28,645,238,0,4,4.0
29,644,242,-1,4,4.123105625617661
30,644,246,0,4,4.0
31,643,251,-1,5,5.0990195135927845
32,642,255,-1,4,4.123105625617661
33,641,260,-1,5,5.0990195135927845
34,640,264,-1,4,4.123105625617661
35,639,268,-1,4,4.123105625617661
36,639,273,0,5,5.0
37,640,277,1,4,4.123105625617661
38,641,282,1,5,5.0990195135927845
39,642,287,1,5,5.0990195135927845
40,643,291,1,4,4.123105625617661
41,645,295,2,4,4.47213595499958
42,647,299,2,4,4.47213595499958
43,649,302,2,3,3.605551275463989
44,650,306,1,4,4.123105625617661
45,652,309,2,3,3.605551275463989
46,653,313,1,4,4.123105625617661
47,655,317,2,4,4.47213595499958
48,656,321,1,4,4.123105625617661
49,657,325,1,4,4.123105625617661
50,658,329,1,4,4.123105625617661
51,659,333,1,4,4.123105625617661
52,659,338,0,5,5.0
53,659,342,0,4,4.0
54,659,346,0,4,4.0
55,658,350,-1,4,4.123105625617661
56,657,355,-1,5,5.0990195135927845
57,656,359,-1,4,4.123105625617661
58,655,363,-1,4,4.123105625617661
59,654,368,-1,5,5.0990195135927845
60,654,372,0,4,4.0
61,653,377,-1,5,5.0990195135927845
62,654,381,1,4,4.123105625617661
63,655,385,1,4,4.123105625617661
64,656,390,1,5,5.0990195135927845
65,657,394,1,4,4.123105625617661
66,659,398,2,4,4.47213595499958
67,661,402,2,4,4.47213595499958
68,662,405,1,3,3.1622776601683795
69,664,409,2,4,4.47213595499958
70,665,413,1,4,4.123105625617661
71,667,417,2,4,4.47213595499958
72,668,421,1,4,4.123105625617661
73,670,424,2,3,3.605551275463989
74,671,428,1,4,4.123105625617661
75,672,433,1,5,5.0990195135927845
76,673,437,1,4,4.123105625617661
77,673,441,0,4,4.0
78,673,445,0,4,4.0
79,673,449,0,4,4.0
80,672,454,-1,5,5.0990195135927845
81,672,458,0,4,4.0
82,671,463,-1,5,5.0990195135927845
83,670,467,-1,4,4.123105625617661
84,669,471,-1,4,4.123105625617661
85,668,475,-1,4,4.123105625617661
86,668,480,0,5,5.0
87,668,484,0,4,4.0
88,669,489,1,5,5.0990195135927845
89,670,494,1,5,5.0990195135927845
90,672,498,2,4,4.47213595499958
91,673,502,1,4,4.123105625617661
92,676,506,3,4,5.0
93,677,510,1,4,4.123105625617661
94,680,514,3,4,5.0
95,681,517,1,3,3.1622776601683795
96,683,520,2,3,3.605551275463989
97,684,524,1,4,4.123105625617661
98,686,528,2,4,4.47213595499958
99,687,532,1,4,4.123105625617661
100,688,536,1,4,4.123105625617661
101,690,541,2,5,5.385164807134504
102,690,545,0,4,4.0
103,690,549,0,4,4.0
104,690,554,0,5,5.0
105,690,558,0,4,4.0
106,689,562,-1,4,4.123105625617661
107,688,567,-1,5,5.0990195135927845
108,688,571,0,4,4.0
109,687,575,-1,4,4.123105625617661
110,686,579,-1,4,4.123105625617661
111,685,584,-1,5,5.0990195135927845
112,685,588,0,4,4.0
113,686,593,1,5,5.0990195135927845
114,687,597,1,4,4.123105625617661
115,688,601,1,4,4.123105625617661
116,689,605,1,4,4.123105625617661
117,691,609,2,4,4.47213595499958
118,692,613,1,4,4.123105625617661
119,694,617,2,4,4.47213595499958
120,695,620,1,3,3.1622776601683795
121,697,624,2,4,4.47213595499958
122,698,628,1,4,4.123105625617661
123,700,632,2,4,4.47213595499958
124,701,636,1,4,4.123105625617661
125,702,640,1,4,4.123105625617661
126,703,644,1,4,4.123105625617661
127,703,648,0,4,4.0
128,703,653,0,5,5.0
129,703,656,0,3,3.0
130,702,661,-1,5,5.0990195135927845
131,701,665,-1,4,4.123105625617661
132,701,670,0,5,5.0
133,700,674,-1,4,4.123105625617661
134,699,678,-1,4,4.123105625617661
135,698,682,-1,4,4.123105625617661
136,698,687,0,5,5.0
137,698,692,0,5,5.0
138,699,696,1,4,4.123105625617661
139,700,701,1,5,5.0990195135927845
140,702,705,2,4,4.47213595499958
141,704,710,2,5,5.385164807134504
142,706,714,2,4,4.47213595499958
143,709,717,3,3,4.242640687119285
144,711,721,2,4,4.47213595499958
145,713,724,2,3,3.605551275463989
146,714,727,1,3,3.1622776601683795
147,716,731,2,4,4.47213595499958
148,717,735,1,4,4.123105625617661
149,718,739,1,4,4.123105625617661
150,719,743,1,4,4.123105625617661
151,720,747,1,4,4.123105625617661
152,720,751,0,4,4.0
153,721,756,1,5,5.0990195135927845
154,721,760,0,4,4.0
155,720,764,-1,4,4.123105625617661
156,719,768,-1,4,4.123105625617661
157,718,772,-0.04000000000000001,4.2,4.200190471871484
158,717,776,-0.041600000000000005,4.24,4.240204070560756
159,716,780,-0.083264,4.087999999999999,4.0888478687395535
160,715,784,-0.08659455999999999,4.1056,4.1065131167234314
161,714,788,-0.050058342400000004,4.12672,4.127023600131678
162,713,792,-0.012060676096,4.152064,4.1520815165412985
163,719,801,6,9,10.816653826391969
164,717,804,-2,3,3.605551275463989
165,718,807,1,3,3.1622776601683795
166,719,811,1,4,4.123105625617661
167,720,815,1,4,4.123105625617661
168,722,819,2,4,4.47213595499958
169,723,822,1,3,3.1622776601683795
170,724,826,1,4,4.123105625617661
171,726,830,2,4,4.47213595499958
172,727,834,1,4,4.123105625617661
