Frame,X,Y,dX,dY,Magnitude
0,736,132,0,0,0.0
1,734,138,-2,6,6.324555320336759
2,732,144,-2,6,6.324555320336759
3,731,150,-1,6,6.082762530298219
4,730,156,-1,6,6.082762530298219
5,730,161,0,5,5.0
6,730,166,0,5,5.0
7,730,172,0,6,6.0
8,730,177,0,5,5.0
9,731,182,1,5,5.0990195135927845
10,733,186,2,4,4.47213595499958
11,734,190,1,4,4.123105625617661
12,737,196,3,6,6.708203932499369
13,739,200,2,4,4.47213595499958
14,741,205,2,5,5.385164807134504
15,741,210,0,5,5.0
16,741,214,0,4,4.0
17,742,219,1,5,5.0990195135927845
18,743,224,1,5,5.0990195135927845
19,744,229,1,5,5.0990195135927845
20,744,234,0,5,5.0
21,745,238,1,4,4.123105625617661
22,745,243,0,5,5.0
23,745,248,0,5,5.0
24,744,253,-1,5,5.0990195135927845
25,745,257,1,4,4.123105625617661
26,746,262,1,5,5.0990195135927845
27,746,267,0,5,5.0
28,745,272,-1,5,5.0990195135927845
29,745,276,0,4,4.0
30,744,281,-1,5,5.0990195135927845
31,743,286,-1,5,5.0990195135927845
32,742,291,-1,5,5.0990195135927845
33,741,296,-1,5,5.0990195135927845
34,739,300,-2,4,4.47213595499958
35,737,305,-2,5,5.385164807134504
36,736,310,-1,5,5.0990195135927845
37,734,316,-2,6,6.324555320336759
38,734,320,0,4,4.0
39,733,325,-1,5,5.0990195135927845
40,733,330,0,5,5.0
41,733,334,0,4,4.0
42,733,339,0,5,5.0
43,734,345,1,6,6.082762530298219
44,733,349,-1,4,4.123105625617661
45,733,353,0,4,4.0
46,733,357,0,4,4.0
47,734,362,1,5,5.0990195135927845
48,735,366,1,4,4.123105625617661
49,736,372,1,6,6.082762530298219
50,738,377,2,5,5.385164807134504
51,739,382,1,5,5.0990195135927845
52,740,387,1,5,5.0990195135927845
53,742,393,2,6,6.324555320336759
54,743,398,1,5,5.0990195135927845
55,744,404,1,6,6.082762530298219
56,744,409,0.24,5.4,5.4053307021865
57,752,415,8,6,10.0
58,754,417,2,2,2.8284271247461903
59,755,424,1,7,7.0710678118654755
60,756,429,1,5,5.0990195135927845
61,756,433,0,4,4.0
62,756,438,0,5,5.0
63,756,442,0,4,4.0
64,755,447,-1,5,5.0990195135927845
65,754,452,-1,5,5.0990195135927845
66,752,456,-2,4,4.47213595499958
67,751,461,-1,5,5.0990195135927845
68,750,465,-1,4,4.123105625617661
69,749,470,-1,5,5.0990195135927845
70,749,474,0,4,4.0
71,748,479,-1,5,5.0990195135927845
72,747,484,-1,5,5.0990195135927845
73,741,488,-6,4,7.211102550927978
74,741,491,0,3,3.0
75,741,497,0,6,6.0
76,743,500,2,3,3.605551275463989
77,743,505,0,5,5.0
78,742,509,-1,4,4.123105625617661
79,743,513,1,4,4.123105625617661
80,744,518,1,5,5.0990195135927845
81,744,522,0,4,4.0
82,745,527,1,5,5.0990195135927845
83,744,532,-1,5,5.0990195135927845
84,745,537,1,5,5.0990195135927845
85,744,542,-1,5,5.0990195135927845
86,743,548,-1,6,6.082762530298219
87,743,553,0,5,5.0
88,742,559,-1,6,6.082762530298219
89,741,567,-1,8,8.06225774829855
90,742,573,1,6,6.082762530298219
91,742,579,0,6,6.0
92,743,584,1,5,5.0990195135927845
93,744,589,1,5,5.0990195135927845
94,748,587,4,-2,4.47213595499958
95,748,591,0.27999999999999997,4.0,4.009788024322483
96,751,596,3,5,5.830951894845301
97,750,603,-1,7,7.0710678118654755
98,751,607,1,4,4.123105625617661
99,753,613,2,6,6.324555320336759
100,755,617,2,4,4.47213595499958
101,757,622,2,5,5.385164807134504
102,758,626,1,4,4.123105625617661
103,761,631,3,5,5.830951894845301
104,763,636,2,5,5.385164807134504
105,763,642,0,6,6.0
106,763,647,0.32000000000000006,5.0,5.010229535660018
107,763,652,0.2528,5.0,5.006386704999924
108,767,651,4,-1,4.123105625617661
109,766,659,-1,8,8.06225774829855
110,767,664,1,5,5.0990195135927845
111,768,669,1,5,5.0990195135927845
112,768,675,0,6,6.0
113,767,682,-1,7,7.0710678118654755
114,767,686,0,4,4.0
115,766,691,-1,5,5.0990195135927845
116,764,695,-2,4,4.47213595499958
117,763,700,-1,5,5.0990195135927845
118,762,704,-1,4,4.123105625617661
119,760,708,-2,4,4.47213595499958
120,759,712,-1,4,4.123105625617661
121,757,717,-2,5,5.385164807134504
122,756,721,-1,4,4.123105625617661
123,755,726,-1,5,5.0990195135927845
124,754,732,-1,6,6.082762530298219
125,754,737,0,5,5.0
126,752,742,-2,5,5.385164807134504
127,752,748,0,6,6.0
128,751,754,-1,6,6.082762530298219
129,749,759,-2,5,5.385164807134504
130,746,765,-3,6,6.708203932499369
131,745,770,-1,5,5.0990195135927845
132,744,776,-1,6,6.082762530298219
133,744,782,0,6,6.0
134,744,788,0,6,6.0
135,745,793,1,5,5.0990195135927845
136,746,798,1,5,5.0990195135927845
137,749,803,3,5,5.830951894845301
138,751,807,2,4,4.47213595499958
139,753,812,2,5,5.385164807134504
140,755,817,2,5,5.385164807134504
141,755,821,0.4,4.8,4.8166378315169185
142,762,825,7,4,8.06225774829855
143,762,829,0.536,4.5600000000000005,4.59139368819534
