Frame,X,Y,dX,dY,Magnitude
0,375,151,-2,-3,3.605551275463989
1,375,150,0,-1,1.0
2,375,149,0,-1,1.0
3,377,144,2,-5,5.385164807134504
4,375,145,-2,1,2.23606797749979
5,375,147,0,2,2.0
6,374,150,-1,3,3.1622776601683795
7,374,149,0,-1,1.0
8,375,150,1,1,1.4142135623730951
9,374,153,-1,3,3.1622776601683795
10,373,158,-1,5,5.0990195135927845
11,374,157,1,-1,1.4142135623730951
12,372,174,-2,17,17.11724276862369
13,372,179,0,5,5.0
14,372,184,0,5,5.0
15,372,189,0,5,5.0
16,373,194,1,5,5.0990195135927845
17,373,199,0,5,5.0
18,374,204,1,5,5.0990195135927845
19,374,209,0,5,5.0
20,374,214,0,5,5.0
21,374,219,0,5,5.0
22,373,224,-1,5,5.0990195135927845
23,372,229,-1,5,5.0990195135927845
24,371,234,-1,5,5.0990195135927845
25,370,238,-1,4,4.123105625617661
26,369,243,-1,5,5.0990195135927845
27,367,247,-2,4,4.47213595499958
28,366,252,-1,5,5.0990195135927845
29,364,256,-2,4,4.47213595499958
30,364,261,0,5,5.0
31,363,265,-1,4,4.123105625617661
32,362,269,-1,4,4.123105625617661
33,361,274,-1,5,5.0990195135927845
34,361,279,0,5,5.0
35,360,284,-1,5,5.0990195135927845
36,360,289,0,5,5.0
37,360,294,0,5,5.0
38,361,299,1,5,5.0990195135927845
39,361,304,0,5,5.0
40,362,310,1,6,6.082762530298219
41,363,314,1,4,4.123105625617661
42,363,319,0,5,5.0
43,364,324,1,5,5.0990195135927845
44,365,329,1,5,5.0990195135927845
45,365,333,0,4,4.0
46,364,338,-1,5,5.0990195135927845
47,364,342,0,4,4.0
48,364,346,0,4,4.0
49,363,351,-1,5,5.0990195135927845
50,362,355,-1,4,4.123105625617661
51,361,359,-1,4,4.123105625617661
52,360,364,-1,5,5.0990195135927845
53,360,369,0,5,5.0
54,359,373,-1,4,4.123105625617661
55,359,378,0,5,5.0
56,358,383,-1,5,5.0990195135927845
57,358,388,0,5,5.0
58,358,393,0,5,5.0
59,359,398,1,5,5.0990195135927845
60,360,403,1,5,5.0990195135927845
61,361,408,1,5,5.0990195135927845
62,362,413,1,5,5.0990195135927845
63,363,418,1,5,5.0990195135927845
64,365,423,2,5,5.385164807134504
65,366,428,1,5,5.0990195135927845
66,367,432,1,4,4.123105625617661
67,368,437,1,5,5.0990195135927845
68,369,441,1,4,4.123105625617661
69,369,445,0,4,4.0
70,369,450,0,5,5.0
71,369,454,0,4,4.0
72,369,459,0,5,5.0
73,369,463,0,4,4.0
74,369,468,0,5,5.0
75,369,473,0,5,5.0
76,368,478,-1,5,5.0990195135927845
77,367,483,-1,5,5.0990195135927845
78,367,488,0,5,5.0
79,367,493,0,5,5.0
80,367,498,0,5,5.0
81,367,503,0,5,5.0
82,368,508,1,5,5.0990195135927845
83,369,513,1,5,5.0990195135927845
84,370,517,1,4,4.123105625617661
85,372,522,2,5,5.385164807134504
86,373,526,1,4,4.123105625617661
87,375,531,2,5,5.385164807134504
88,376,535,1,4,4.123105625617661
89,377,539,1,4,4.123105625617661
90,378,544,1,5,5.0990195135927845
91,379,548,1,4,4.123105625617661
92,379,553,0,5,5.0
93,380,557,1,4,4.123105625617661
94,380,562,0,5,5.0
95,380,567,0,5,5.0
96,380,572,0,5,5.0
97,380,577,0,5,5.0
98,379,582,-1,5,5.0990195135927845
99,379,587,0,5,5.0
100,378,593,-1,6,6.082762530298219
101,377,598,-1,5,5.0990195135927845
102,376,602,-1,4,4.123105625617661
103,376,607,0,5,5.0
104,376,611,0,4,4.0
105,376,616,0,5,5.0
106,376,620,0,4,4.0
107,376,624,0,4,4.0
108,377,629,1,5,5.0990195135927845
109,378,633,1,4,4.123105625617661
110,379,637,1,4,4.123105625617661
111,380,642,1,5,5.0990195135927845
112,380,646,0,4,4.0
113,381,651,1,5,5.0990195135927845
114,382,656,1,5,5.0990195135927845
115,382,661,0,5,5.0
116,382,666,0,5,5.0
117,382,671,0,5,5.0
118,382,676,0,5,5.0
119,381,681,-1,5,5.0990195135927845
120,381,686,0,5,5.0
121,379,691,-2,5,5.385164807134504
122,378,696,-1,5,5.0990195135927845
123,376,701,-2,5,5.385164807134504
124,375,705,-1,4,4.123105625617661
125,374,710,-1,5,5.0990195135927845
126,373,714,-1,4,4.123105625617661
127,372,718,-1,4,4.123105625617661
128,371,722,-1,4,4.123105625617661
129,371,726,0,4,4.0
130,371,731,0,5,5.0
131,371,735,0,4,4.0
132,371,740,0,5,5.0
133,371,745,0,5,5.0
134,371,750,0,5,5.0
135,372,754,1,4,4.123105625617661
136,372,757,0,3,3.0
137,369,766,-3,9,9.486832980505138
138,371,771,2,5,5.385164807134504
139,373,775,2,4,4.47213595499958
140,373,780,0,5,5.0
141,373,785,0,5,5.0
142,373,789,0,4,4.0
143,371,794,-2,5,5.385164807134504
144,370,798,-1,4,4.123105625617661
145,369,802,-1,4,4.123105625617661
