Frame,X,Y,dX,dY,Magnitude
0,277,135,0,0,0.0
1,276,140,-1,5,5.0990195135927845
2,274,145,-2,5,5.385164807134504
3,274,149,0,4,4.0
4,273,154,-1,5,5.0990195135927845
5,272,159,-1,5,5.0990195135927845
6,272,164,0,5,5.0
7,271,169,-1,5,5.0990195135927845
8,271,173,0,4,4.0
9,272,178,1,5,5.0990195135927845
10,272,183,0,5,5.0
11,273,187,1,4,4.123105625617661
12,274,192,1,5,5.0990195135927845
13,275,196,1,4,4.123105625617661
14,276,201,1,5,5.0990195135927845
15,277,206,1,5,5.0990195135927845
16,278,210,1,4,4.123105625617661
17,278,215,0,5,5.0
18,280,220,2,5,5.385164807134504
19,280,225,0,5,5.0
20,281,230,1,5,5.0990195135927845
21,281,235,0,5,5.0
22,282,240,1,5,5.0990195135927845
23,282,245,0,5,5.0
24,282,250,0,5,5.0
25,281,254,-1,4,4.123105625617661
26,281,259,0,5,5.0
27,280,264,-1,5,5.0990195135927845
28,280,269,0,5,5.0
29,279,274,-1,5,5.0990195135927845
30,278,279,-1,5,5.0990195135927845
31,277,283,-1,4,4.123105625617661
32,276,288,-1,5,5.0990195135927845
33,275,293,-1,5,5.0990195135927845
34,274,298,-1,5,5.0990195135927845
35,274,302,0,4,4.0
36,274,307,0,5,5.0
37,273,312,-1,5,5.0990195135927845
38,274,316,1,4,4.123105625617661
39,274,321,0,5,5.0
40,274,326,0,5,5.0
41,275,330,1,4,4.123105625617661
42,275,335,0,5,5.0
43,276,340,1,5,5.0990195135927845
44,277,345,1,5,5.0990195135927845
45,278,349,1,4,4.123105625617661
46,279,354,1,5,5.0990195135927845
47,280,359,1,5,5.0990195135927845
48,280,364,0,5,5.0
49,281,369,1,5,5.0990195135927845
50,282,374,1,5,5.0990195135927845
51,282,378,0,4,4.0
52,282,383,0,5,5.0
53,282,388,0,5,5.0
54,282,393,0,5,5.0
55,282,397,0,4,4.0
56,281,402,-1,5,5.0990195135927845
57,280,407,-1,5,5.0990195135927845
58,279,412,-1,5,5.0990195135927845
59,278,416,-1,4,4.123105625617661
60,277,421,-1,5,5.0990195135927845
61,276,426,-1,5,5.0990195135927845
62,275,430,-1,4,4.123105625617661
63,274,435,-1,5,5.0990195135927845
64,273,440,-1,5,5.0990195135927845
65,273,444,0,4,4.0
66,272,449,-1,5,5.0990195135927845
67,272,454,0,5,5.0
68,273,459,1,5,5.0990195135927845
69,273,463,0,4,4.0
70,273,468,0,5,5.0
71,274,473,1,5,5.0990195135927845
72,275,478,1,5,5.0990195135927845
73,276,482,1,4,4.123105625617661
74,277,487,1,5,5.0990195135927845
75,279,492,2,5,5.385164807134504
76,279,497,0,5,5.0
77,280,502,1,5,5.0990195135927845
78,281,506,1,4,4.123105625617661
79,281,511,0,5,5.0
80,281,516,0,5,5.0
81,281,520,0,4,4.0
82,281,525,0,5,5.0
83,280,530,-1,5,5.0990195135927845
84,280,535,0,5,5.0
85,279,539,-1,4,4.123105625617661
86,278,544,-1,5,5.0990195135927845
87,276,549,-2,5,5.385164807134504
88,275,553,-1,4,4.123105625617661
89,274,558,-1,5,5.0990195135927845
90,273,562,-1,4,4.123105625617661
91,272,567,-1,5,5.0990195135927845
92,271,572,-1,5,5.0990195135927845
93,271,576,0,4,4.0
94,270,581,-1,5,5.0990195135927845
95,270,586,0,5,5.0
96,270,591,0,5,5.0
97,271,596,1,5,5.0990195135927845
98,272,600,1,4,4.123105625617661
99,272,605,0,5,5.0
100,274,610,2,5,5.385164807134504
101,275,615,1,5,5.0990195135927845
102,276,619,1,4,4.123105625617661
103,277,624,1,5,5.0990195135927845
104,278,629,1,5,5.0990195135927845
105,278,634,0,5,5.0
106,279,638,1,4,4.123105625617661
107,279,643,0,5,5.0
108,280,647,1,4,4.123105625617661
109,279,652,-1,5,5.0990195135927845
110,279,657,0,5,5.0
111,278,661,-1,4,4.123105625617661
112,278,666,0,5,5.0
113,277,670,-1,4,4.123105625617661
114,276,675,-1,5,5.0990195135927845
115,275,679,-1,4,4.123105625617661
116,274,684,-1,5,5.0990195135927845
117,273,689,-1,5,5.0990195135927845
118,272,693,-1,4,4.123105625617661
119,271,698,-1,5,5.0990195135927845
120,271,703,0,5,5.0
121,270,708,-1,5,5.0990195135927845
122,270,713,0,5,5.0
123,270,717,0,4,4.0
124,270,722,0,5,5.0
125,270,727,0,5,5.0
126,271,731,1,4,4.123105625617661
127,271,736,0,5,5.0
128,272,742,1,6,6.082762530298219
129,274,747,2,5,5.385164807134504
130,275,749,1,2,2.23606797749979
131,276,751,1,2,2.23606797749979
132,276,755,0.2,4.0,4.004996878900157
133,274,770,-2,15,15.132745950421556
134,277,772,3,2,3.605551275463989
135,278,775,1,3,3.1622776601683795
136,279,778,1,3,3.1622776601683795
137,279,783,0,5,5.0
138,279,787,0,4,4.0
139,279,791,0,4,4.0
140,278,795,-1,4,4.123105625617661
141,278,800,0,5,5.0
142,277,804,-1,4,4.123105625617661
