Frame,X,Y,dX,dY,Magnitude
0,385,142,0,-1,1.0
1,386,142,1,0,1.0
2,385,141,-1,-1,1.4142135623730951
3,385,143,0,2,2.0
4,385,146,0.0,3,3.0
5,385,149,0.0,3,3.0
6,385,152,0.0,3,3.0
7,384,154,-0.04000000000000001,2.0,2.000399960007998
8,383,156,-0.0016000000000000005,2.6,2.600000492307646
9,382,158,-0.0016640000000000003,2.7199999999999998,2.7200005089881873
10,381,160,-0.0017305600000000001,2.664,2.664000562094144
11,380,162,-0.0017997824000000003,2.5968,2.5968006236938344
12,384,162,4,0,4.0
13,383,166,-1,4,4.123105625617661
14,382,170,-1,4,4.123105625617661
15,382,174,0,4,4.0
16,381,179,-1,5,5.0990195135927845
17,381,183,0,4,4.0
18,382,187,1,4,4.123105625617661
19,382,191,0,4,4.0
20,382,195,0,4,4.0
21,383,199,1,4,4.123105625617661
22,383,203,0,4,4.0
23,384,207,1,4,4.123105625617661
24,385,211,1,4,4.123105625617661
25,385,215,0,4,4.0
26,386,219,1,4,4.123105625617661
27,387,224,1,5,5.0990195135927845
28,387,228,0,4,4.0
29,387,233,0,5,5.0
30,387,237,0,4,4.0
31,386,242,-1,5,5.0990195135927845
32,386,246,0,4,4.0
33,385,250,-1,4,4.123105625617661
34,384,254,-1,4,4.123105625617661
35,382,258,-2,4,4.47213595499958
36,381,261,-1,3,3.1622776601683795
37,380,264,-1,3,3.1622776601683795
38,379,267,-1,3,3.1622776601683795
39,378,271,-1,4,4.123105625617661
40,377,275,-1,4,4.123105625617661
41,376,279,-1,4,4.123105625617661
42,375,283,-1,4,4.123105625617661
43,375,288,0,5,5.0
44,374,292,-1,4,4.123105625617661
45,374,297,0,5,5.0
46,374,301,0,4,4.0
47,373,306,-1,5,5.0990195135927845
48,374,310,1,4,4.123105625617661
49,374,315,0,5,5.0
50,374,320,0,5,5.0
51,375,324,1,4,4.123105625617661
52,376,329,1,5,5.0990195135927845
53,377,334,1,5,5.0990195135927845
54,378,338,1,4,4.123105625617661
55,379,343,1,5,5.0990195135927845
56,380,348,1,5,5.0990195135927845
57,381,353,1,5,5.0990195135927845
58,382,357,1,4,4.123105625617661
59,382,362,0,5,5.0
60,382,367,0,5,5.0
61,382,372,0,5,5.0
62,382,377,0,5,5.0
63,382,381,0,4,4.0
64,381,386,-1,5,5.0990195135927845
65,380,391,-1,5,5.0990195135927845
66,379,396,-1,5,5.0990195135927845
67,379,401,0,5,5.0
68,378,406,-1,5,5.0990195135927845
69,378,410,0,4,4.0
70,378,415,0,5,5.0
71,379,420,1,5,5.0990195135927845
72,379,425,0,5,5.0
73,380,429,1,4,4.123105625617661
74,381,434,1,5,5.0990195135927845
75,382,439,1,5,5.0990195135927845
76,383,443,1,4,4.123105625617661
77,384,448,1,5,5.0990195135927845
78,385,452,1,4,4.123105625617661
79,386,457,1,5,5.0990195135927845
80,387,462,1,5,5.0990195135927845
81,388,466,1,4,4.123105625617661
82,388,471,0,5,5.0
83,388,476,0,5,5.0
84,387,481,-1,5,5.0990195135927845
85,387,485,0,4,4.0
86,386,490,-1,5,5.0990195135927845
87,385,494,-1,4,4.123105625617661
88,384,499,-1,5,5.0990195135927845
89,383,503,-1,4,4.123105625617661
90,382,508,-1,5,5.0990195135927845
91,381,512,-1,4,4.123105625617661
92,381,517,0,5,5.0
93,381,522,0,5,5.0
94,381,526,0,4,4.0
95,382,530,1,4,4.123105625617661
96,383,535,1,5,5.0990195135927845
97,384,539,1,4,4.123105625617661
98,385,543,1,4,4.123105625617661
99,387,548,2,5,5.385164807134504
100,388,552,1,4,4.123105625617661
101,390,556,2,4,4.47213595499958
102,391,560,1,4,4.123105625617661
103,392,564,1,4,4.123105625617661
104,393,568,1,4,4.123105625617661
105,393,573,0,5,5.0
106,393,577,0,4,4.0
107,393,581,0,4,4.0
108,392,586,-1,5,5.0990195135927845
109,392,590,0,4,4.0
110,391,594,-1,4,4.123105625617661
111,390,598,-1,4,4.123105625617661
112,388,602,-2,4,4.47213595499958
113,387,607,-1,5,5.0990195135927845
114,386,611,-1,4,4.123105625617661
115,385,616,-1,5,5.0990195135927845
116,384,620,-1,4,4.123105625617661
117,385,625,1,5,5.0990195135927845
118,385,628,0,3,3.0
119,385,633,0,5,5.0
120,386,637,1,4,4.123105625617661
121,387,641,1,4,4.123105625617661
122,388,645,1,4,4.123105625617661
