Frame,X,Y,dX,dY,Magnitude
0,212,207,-1,0,1.0
1,212,214,0,7,7.0
2,213,219,1,5,5.0990195135927845
3,212,225,-1,6,6.082762530298219
4,211,230,-1,5,5.0990195135927845
5,211,235,0,5,5.0
6,210,240,-1,5,5.0990195135927845
7,210,244,0,4,4.0
8,210,250,0,6,6.0
9,208,254,-2,4,4.47213595499958
10,208,259,0,5,5.0
11,207,265,-1,6,6.082762530298219
12,206,271,-1,6,6.082762530298219
13,205,278,-1,7,7.0710678118654755
14,203,277,-2,-1,2.23606797749979
15,203,287,0,10,10.0
16,203,294,0,7,7.0
17,203,299,0,5,5.0
18,204,307,1,8,8.06225774829855
19,204,311,0,4,4.0
20,205,313,1,2,2.23606797749979
21,206,323,1,10,10.04987562112089
22,208,329,2,6,6.324555320336759
23,210,336,2,7,7.280109889280518
24,211,337,1,1,1.4142135623730951
25,217,346,6,9,10.816653826391969
26,219,350,2,4,4.47213595499958
27,221,354,2,4,4.47213595499958
28,223,359,2,5,5.385164807134504
29,224,364,1,5,5.0990195135927845
30,226,368,2,4,4.47213595499958
31,226,373,0,5,5.0
32,227,378,1,5,5.0990195135927845
33,227,383,0,5,5.0
34,227,388,0,5,5.0
35,228,393,1,5,5.0990195135927845
36,227,397,-1,4,4.123105625617661
37,227,404,0,7,7.0
38,227,409,0,5,5.0
39,226,414,-1,5,5.0990195135927845
40,226,420,0,6,6.0
41,226,425,0,5,5.0
42,226,430,0,5,5.0
43,226,435,0,5,5.0
44,226,441,0,6,6.0
45,226,446,0,5,5.0
46,225,452,-1,6,6.082762530298219
47,226,457,1,5,5.0990195135927845
48,226,462,0,5,5.0
49,225,468,-1,6,6.082762530298219
50,226,473,1,5,5.0990195135927845
51,225,479,-1,6,6.082762530298219
52,226,484,1,5,5.0990195135927845
53,226,490,0,6,6.0
54,227,496,1,6,6.082762530298219
55,227,501,0,5,5.0
56,227,506,0.04000000000000001,5.6,5.600142855320746
57,231,512,4,6,7.211102550927978
58,232,519,1,7,7.0710678118654755
59,232,525,0,6,6.0
60,233,530,1,5,5.0990195135927845
61,234,536,1,6,6.082762530298219
62,235,541,1,5,5.0990195135927845
63,234,546,-1,5,5.0990195135927845
64,232,551,-2,5,5.385164807134504
65,231,556,-1,5,5.0990195135927845
66,229,561,-2,5,5.385164807134504
67,228,565,-1,4,4.123105625617661
68,227,570,-1,5,5.0990195135927845
69,225,574,-2,4,4.47213595499958
70,224,579,-1,5,5.0990195135927845
71,223,584,-1,5,5.0990195135927845
72,223,588,0,4,4.0
73,221,593,-2,5,5.385164807134504
74,220,599,-1,6,6.082762530298219
75,220,605,0,6,6.0
76,218,612,-2,7,7.280109889280518
77,218,618,0,6,6.0
78,217,624,-1,6,6.082762530298219
79,216,630,-1,6,6.082762530298219
80,215,636,-1,6,6.082762530298219
81,214,642,-1,6,6.082762530298219
82,214,648,0,6,6.0
83,212,654,-2,6,6.324555320336759
84,212,660,0,6,6.0
85,211,666,-1,6,6.082762530298219
86,211,672,0,6,6.0
87,211,677,0,5,5.0
88,211,683,0,6,6.0
89,212,688,1,5,5.0990195135927845
90,214,698,2,10,10.198039027185569
91,215,704,1,6,6.082762530298219
92,216,709,1,5,5.0990195135927845
93,217,715,1,6,6.082762530298219
94,218,720,1,5,5.0990195135927845
95,219,725,1,5,5.0990195135927845
96,221,729,2,4,4.47213595499958
97,221,732,0,3,3.0
98,223,738,2,6,6.324555320336759
99,225,744,2,6,6.324555320336759
100,226,749,1,5,5.0990195135927845
101,228,755,2,6,6.324555320336759
102,229,760,1,5,5.0990195135927845
103,230,765,1,5,5.0990195135927845
104,231,770,1,5,5.0990195135927845
105,232,777,1,7,7.0710678118654755
106,233,783,1,6,6.082762530298219
107,234,789,1,6,6.082762530298219
108,234,795,0,6,6.0
109,233,801,-1,6,6.082762530298219
