Frame,X,Y,dX,dY,Magnitude
0,768,65,0,0,0.0
1,768,67,0,2,2.0
2,767,71,-1,4,4.123105625617661
3,767,75,0,4,4.0
4,766,79,-1,4,4.123105625617661
5,765,83,-1,4,4.123105625617661
6,765,88,0,5,5.0
7,763,92,-2,4,4.47213595499958
8,762,96,-1,4,4.123105625617661
9,763,100,1,4,4.123105625617661
10,763,104,0,4,4.0
11,761,108,-2,4,4.47213595499958
12,761,112,0,4,4.0
13,761,116,0,4,4.0
14,761,120,0,4,4.0
15,761,124,0,4,4.0
16,762,128,1,4,4.123105625617661
17,762,132,0,4,4.0
18,763,136,1,4,4.123105625617661
19,763,140,0,4,4.0
20,764,144,1,4,4.123105625617661
21,765,148,1,4,4.123105625617661
22,765,152,0,4,4.0
23,766,156,1,4,4.123105625617661
24,767,161,1,5,5.0990195135927845
25,768,165,1,4,4.123105625617661
26,769,169,1,4,4.123105625617661
27,769,173,0,4,4.0
28,770,177,1,4,4.123105625617661
29,770,182,0,5,5.0
30,771,186,1,4,4.123105625617661
31,771,190,0,4,4.0
32,771,194,0,4,4.0
33,771,198,0,4,4.0
34,771,202,0,4,4.0
35,771,206,0,4,4.0
36,771,210,0,4,4.0
37,770,215,-1,5,5.0990195135927845
38,770,219,0,4,4.0
39,769,223,-1,4,4.123105625617661
40,769,227,0,4,4.0
41,768,232,-1,5,5.0990195135927845
42,767,236,-1,4,4.123105625617661
43,767,240,0,4,4.0
44,766,245,-1,5,5.0990195135927845
45,766,249,0,4,4.0
46,765,253,-1,4,4.123105625617661
47,765,257,0,4,4.0
48,765,261,0,4,4.0
49,765,265,0,4,4.0
50,765,269,0,4,4.0
51,765,273,0,4,4.0
52,765,277,0,4,4.0
53,765,282,0,5,5.0
54,766,285,1,3,3.1622776601683795
55,766,289,0,4,4.0
56,767,294,1,5,5.0990195135927845
57,767,298,0,4,4.0
58,768,302,1,4,4.123105625617661
59,768,307,0,5,5.0
60,769,311,1,4,4.123105625617661
61,770,315,1,4,4.123105625617661
62,770,319,0,4,4.0
63,771,323,1,4,4.123105625617661
64,772,327,1,4,4.123105625617661
65,773,331,1,4,4.123105625617661
66,774,336,1,5,5.0990195135927845
67,774,340,0,4,4.0
68,774,343,0,3,3.0
69,774,348,0,5,5.0
70,774,352,0,4,4.0
71,774,356,0,4,4.0
72,774,360,0,4,4.0
