Frame,X,Y,dX,dY,Magnitude
0,730,153,0,0,0.0
1,730,157,0,4,4.0
2,731,162,1,5,5.0990195135927845
3,731,166,0,4,4.0
4,732,170,1,4,4.123105625617661
5,732,175,0,5,5.0
6,733,179,1,4,4.123105625617661
7,734,183,1,4,4.123105625617661
8,734,188,0,5,5.0
9,735,192,1,4,4.123105625617661
10,735,196,0,4,4.0
11,736,201,1,5,5.0990195135927845
12,736,205,0,4,4.0
13,736,209,0,4,4.0
14,736,214,0,5,5.0
15,736,218,0,4,4.0
16,736,223,0,5,5.0
17,735,227,-1,4,4.123105625617661
18,735,232,0,5,5.0
19,735,236,0,4,4.0
20,734,240,-1,4,4.123105625617661
21,733,245,-1,5,5.0990195135927845
22,732,249,-1,4,4.123105625617661
23,731,253,-1,4,4.123105625617661
24,731,257,0,4,4.0
25,730,261,-1,4,4.123105625617661
26,730,265,0,4,4.0
27,729,270,-1,5,5.0990195135927845
28,729,274,0,4,4.0
29,729,278,0,4,4.0
30,729,282,0,4,4.0
31,729,286,0,4,4.0
32,729,291,0,5,5.0
33,729,295,0,4,4.0
34,729,299,0,4,4.0
35,729,304,0,5,5.0
36,730,308,1,4,4.123105625617661
37,731,313,1,5,5.0990195135927845
38,732,317,1,4,4.123105625617661
39,733,321,1,4,4.123105625617661
40,733,325,0,4,4.0
41,734,330,1,5,5.0990195135927845
42,735,334,1,4,4.123105625617661
43,736,338,1,4,4.123105625617661
44,736,342,0,4,4.0
45,736,347,0,5,5.0
46,737,351,1,4,4.123105625617661
47,737,355,0,4,4.0
48,737,360,0,5,5.0
49,737,364,0,4,4.0
50,737,368,0,4,4.0
51,736,373,-1,5,5.0990195135927845
52,735,377,-1,4,4.123105625617661
53,735,381,0,4,4.0
54,734,385,-1,4,4.123105625617661
55,734,390,0,5,5.0
56,733,394,-1,4,4.123105625617661
57,732,398,-1,4,4.123105625617661
58,732,402,0,4,4.0
59,732,406,0,4,4.0
60,731,410,-1,4,4.123105625617661
61,731,415,0,5,5.0
62,731,419,0,4,4.0
63,731,423,0,4,4.0
64,731,427,0,4,4.0
65,731,432,0,5,5.0
66,732,436,1,4,4.123105625617661
67,732,440,0,4,4.0
68,732,445,0,5,5.0
69,733,449,1,4,4.123105625617661
70,733,454,0,5,5.0
71,734,458,1,4,4.123105625617661
72,734,462,0,4,4.0
73,736,467,2,5,5.385164807134504
74,736,471,0,4,4.0
75,737,475,1,4,4.123105625617661
76,737,479,0,4,4.0
77,738,483,1,4,4.123105625617661
78,738,487,0,4,4.0
79,738,491,0,4,4.0
80,738,495,0,4,4.0
81,738,500,0,5,5.0
82,738,504,0,4,4.0
83,737,508,-1,4,4.123105625617661
84,737,513,0,5,5.0
85,736,517,-1,4,4.123105625617661
86,735,521,-1,4,4.123105625617661
87,735,525,0,4,4.0
88,734,530,-1,5,5.0990195135927845
89,733,533,-1,3,3.1622776601683795
90,733,537,0,4,4.0
91,732,542,-1,5,5.0990195135927845
92,732,545,0,3,3.0
93,732,550,0,5,5.0
94,732,554,0,4,4.0
95,731,558,-1,4,4.123105625617661
96,731,563,0,5,5.0
97,731,567,0,4,4.0
98,731,571,0,4,4.0
99,731,576,0,5,5.0
100,732,580,1,4,4.123105625617661
101,732,585,0,5,5.0
102,733,589,1,4,4.123105625617661
103,733,593,0,4,4.0
104,734,598,1,5,5.0990195135927845
105,735,602,1,4,4.123105625617661
106,735,607,0,5,5.0
107,736,611,1,4,4.123105625617661
108,737,615,1,4,4.123105625617661
109,737,619,0,4,4.0
110,738,624,1,5,5.0990195135927845
111,738,628,0,4,4.0
112,738,632,0,4,4.0
113,739,636,1,4,4.123105625617661
114,739,641,0,5,5.0
115,738,645,-1,4,4.123105625617661
116,738,649,0,4,4.0
117,737,654,-1,5,5.0990195135927845
118,737,658,0,4,4.0
119,736,663,-1,5,5.0990195135927845
120,735,667,-1,4,4.123105625617661
121,734,671,-1,4,4.123105625617661
122,733,675,-1,4,4.123105625617661
123,733,679,0,4,4.0
124,732,684,-1,5,5.0990195135927845
125,732,688,0,4,4.0
126,731,692,-1,4,4.123105625617661
127,731,696,0,4,4.0
128,731,700,0,4,4.0
129,731,705,0,5,5.0
130,731,709,0,4,4.0
131,731,713,0,4,4.0
132,732,718,1,5,5.0990195135927845
133,732,722,0,4,4.0
134,732,727,0,5,5.0
135,733,731,1,4,4.123105625617661
136,734,735,1,4,4.123105625617661
137,734,739,0,4,4.0
138,735,743,1,4,4.123105625617661
139,736,748,1,5,5.0990195135927845
140,736,753,0,5,5.0
141,737,757,1,4,4.123105625617661
142,730,764,-7,7,9.899494936611665
143,737,765,7,1,7.0710678118654755
144,738,768,1,3,3.1622776601683795
145,739,772,1,4,4.123105625617661
146,739,776,0,4,4.0
147,739,780,0,4,4.0
148,739,782,0,2,2.0
149,739,784,0,2,2.0
150,739,786,0,2,2.0
151,737,800,-2,14,14.142135623730951
152,737,802,0,2,2.0
153,737,806,0,4,4.0
154,736,810,-1,4,4.123105625617661
155,735,814,-1,4,4.123105625617661
