Frame,X,Y,dX,dY,Magnitude
0,643,143,0,0,0.0
1,647,141,4,-2,4.47213595499958
2,640,147,-7,6,9.219544457292887
3,642,148,2,1,2.23606797749979
4,643,153,1,5,5.0990195135927845
5,644,162,1,9,9.055385138137417
6,648,168,4,6,7.211102550927978
7,649,172,1,4,4.123105625617661
8,644,174,-5,2,5.385164807134504
9,644,178,0,4,4.0
10,643,183,-1,5,5.0990195135927845
11,644,187,1,4,4.123105625617661
12,643,188,-1,1,1.4142135623730951
13,642,191,-0.24,3.2,3.2089873792210533
14,646,197,4,6,7.211102550927978
15,644,213,-2,16,16.1245154965971
16,643,218,-1,5,5.0990195135927845
17,647,220,4,2,4.47213595499958
18,648,224,1,4,4.123105625617661
19,647,227,-1,3,3.1622776601683795
20,648,231,1,4,4.123105625617661
21,649,236,1,5,5.0990195135927845
22,649,242,0,6,6.0
23,652,247,3,5,5.830951894845301
24,657,253,5,6,7.810249675906654
25,656,257,-1,4,4.123105625617661
26,657,261,1,4,4.123105625617661
27,656,266,-1,5,5.0990195135927845
28,657,270,1,4,4.123105625617661
29,657,275,0,5,5.0
30,657,280,0,5,5.0
31,654,283,-3,3,4.242640687119285
32,654,288,0,5,5.0
33,646,291,-8,3,8.54400374531753
34,645,296,-1,5,5.0990195135927845
35,645,300,0,4,4.0
36,644,306,-1,6,6.082762530298219
37,643,310,-0.4,4.6,4.617358552246078
38,642,314,-0.41600000000000004,4.5200000000000005,4.539102995086144
39,644,325,2,11,11.180339887498949
40,645,327,1,2,2.23606797749979
41,651,333,6,6,8.48528137423857
42,653,339,2,6,6.324555320336759
43,650,343,-3,4,5.0
44,653,345,3,2,3.605551275463989
45,654,349,1,4,4.123105625617661
46,653,351,-1,2,2.23606797749979
47,653,353,0,2,2.0
48,655,360,2,7,7.280109889280518
49,655,365,0,5,5.0
50,656,372,1,7,7.0710678118654755
51,656,378,0,6,6.0
52,655,384,-1,6,6.082762530298219
53,655,392,0,8,8.0
54,656,399,1,7,7.0710678118654755
55,652,406,-4,7,8.06225774829855
56,656,414,4,8,8.94427190999916
57,656,420,0,6,6.0
58,657,428,1,8,8.06225774829855
59,645,432,-12,4,12.649110640673518
60,642,435,-3,3,4.242640687119285
61,641,439,-1,4,4.123105625617661
62,640,444,-1,5,5.0990195135927845
63,638,449,-2,5,5.385164807134504
64,637,454,-1,5,5.0990195135927845
65,635,460,-2,6,6.324555320336759
66,635,465,0,5,5.0
67,634,471,-1,6,6.082762530298219
68,633,476,-1,5,5.0990195135927845
69,632,482,-1,6,6.082762530298219
70,631,487,-1,5,5.0990195135927845
71,637,493,6,6,8.48528137423857
72,641,496,4,3,5.0
73,636,501,-5,5,7.0710678118654755
74,636,506,0,5,5.0
75,636,511,0,5,5.0
76,637,515,1,4,4.123105625617661
77,638,520,1,5,5.0990195135927845
78,638,524,0,4,4.0
79,639,528,1,4,4.123105625617661
80,639,533,0,5,5.0
81,640,537,1,4,4.123105625617661
82,641,542,1,5,5.0990195135927845
83,642,547,1,5,5.0990195135927845
84,643,552,1,5,5.0990195135927845
85,643,557,0,5,5.0
86,644,561,1,4,4.123105625617661
87,644,566,0,5,5.0
88,644,571,0,5,5.0
89,643,576,-1,5,5.0990195135927845
90,643,581,0,5,5.0
91,635,586,-8,5,9.433981132056603
92,636,592,1,6,6.082762530298219
93,642,597,6,5,7.810249675906654
94,642,602,0,5,5.0
95,642,607,0,5,5.0
96,641,612,-1,5,5.0990195135927845
97,643,615,2,3,3.605551275463989
98,648,621,5,6,7.810249675906654
99,642,627,-6,6,8.48528137423857
100,642,632,0,5,5.0
101,642,636,0,4,4.0
102,641,641,-1,5,5.0990195135927845
103,642,645,1,4,4.123105625617661
104,642,651,0,6,6.0
105,643,656,1,5,5.0990195135927845
106,645,660,2,4,4.47213595499958
107,643,667,-2,7,7.280109889280518
108,642,672,-1,5,5.0990195135927845
109,642,677,0,5,5.0
110,634,683,-8,6,10.0
111,647,687,13,4,13.601470508735444
112,645,691,-2,4,4.47213595499958
113,645,696,0,5,5.0
114,645,701,0,5,5.0
115,646,706,1,5,5.0990195135927845
116,646,711,0,5,5.0
117,646,716,0,5,5.0
118,646,722,0,6,6.0
119,647,725,1,3,3.1622776601683795
120,646,732,-1,7,7.0710678118654755
121,647,738,1,6,6.082762530298219
122,646,743,-1,5,5.0990195135927845
123,643,742,-3,-1,3.1622776601683795
124,649,757,6,15,16.15549442140351
125,649,761,0,4,4.0
126,653,764,4,3,5.0
127,646,766,-7,2,7.280109889280518
128,646,771,0,5,5.0
129,646,775,0,4,4.0
130,647,780,1,5,5.0990195135927845
131,647,784,0,4,4.0
132,648,788,1,4,4.123105625617661
133,649,792,1,4,4.123105625617661
134,658,789,9,-3,9.486832980505138
135,654,803,-4,14,14.560219778561036
136,653,807,-1,4,4.123105625617661
