Frame,X,Y,dX,dY,Magnitude
0,724,117,0,1,1.0
1,725,120,1,3,3.1622776601683795
2,726,124,1,4,4.123105625617661
3,727,128,1,4,4.123105625617661
4,728,132,1,4,4.123105625617661
5,728,136,0,4,4.0
6,728,140,0,4,4.0
7,729,144,1,4,4.123105625617661
8,729,148,0,4,4.0
9,730,152,1,4,4.123105625617661
10,729,156,-1,4,4.123105625617661
11,729,160,0,4,4.0
12,729,165,0,5,5.0
13,728,169,-1,4,4.123105625617661
14,727,173,-1,4,4.123105625617661
15,727,177,0,4,4.0
16,726,181,-1,4,4.123105625617661
17,725,185,-1,4,4.123105625617661
18,724,189,-1,4,4.123105625617661
19,723,193,-1,4,4.123105625617661
20,723,197,0,4,4.0
21,722,201,-1,4,4.123105625617661
22,721,204,-1,3,3.1622776601683795
23,721,208,0,4,4.0
24,721,212,0,4,4.0
25,720,216,-1,4,4.123105625617661
26,721,220,1,4,4.123105625617661
27,721,224,0,4,4.0
28,721,228,0,4,4.0
29,722,232,1,4,4.123105625617661
30,723,236,1,4,4.123105625617661
31,724,240,1,4,4.123105625617661
32,724,244,0,4,4.0
33,725,248,1,4,4.123105625617661
34,726,251,1,3,3.1622776601683795
35,727,255,1,4,4.123105625617661
36,727,259,0,4,4.0
37,728,263,1,4,4.123105625617661
38,729,267,1,4,4.123105625617661
39,729,272,0,5,5.0
40,730,276,1,4,4.123105625617661
41,730,280,0,4,4.0
42,730,284,0,4,4.0
43,731,288,1,4,4.123105625617661
44,731,292,0,4,4.0
45,730,296,-1,4,4.123105625617661
46,730,300,0,4,4.0
47,729,304,-1,4,4.123105625617661
48,728,308,-1,4,4.123105625617661
49,728,312,0,4,4.0
50,727,316,-1,4,4.123105625617661
51,726,320,-1,4,4.123105625617661
52,725,324,-1,4,4.123105625617661
53,724,328,-1,4,4.123105625617661
54,723,332,-1,4,4.123105625617661
55,722,336,-1,4,4.123105625617661
56,721,340,-1,4,4.123105625617661
57,720,344,-1,4,4.123105625617661
58,720,348,0,4,4.0
59,719,351,-1,3,3.1622776601683795
60,719,355,0,4,4.0
61,719,359,0,4,4.0
