Frame,X,Y,dX,dY,Magnitude
0,767,130,0,0,0.0
1,767,134,0,4,4.0
2,766,138,-1,4,4.123105625617661
3,765,142,-1,4,4.123105625617661
4,764,146,-1,4,4.123105625617661
5,764,151,0,5,5.0
6,763,155,-1,4,4.123105625617661
7,762,159,-1,4,4.123105625617661
8,762,164,0,5,5.0
9,761,168,-1,4,4.123105625617661
10,761,172,0,4,4.0
11,760,176,-1,4,4.123105625617661
12,760,180,0,4,4.0
13,760,184,0,4,4.0
14,760,189,0,5,5.0
15,760,193,0,4,4.0
16,760,197,0,4,4.0
17,760,202,0,5,5.0
18,760,206,0,4,4.0
19,761,211,1,5,5.0990195135927845
20,761,215,0,4,4.0
21,761,220,0,5,5.0
22,762,224,1,4,4.123105625617661
23,762,228,0,4,4.0
24,763,232,1,4,4.123105625617661
25,763,237,0,5,5.0
26,763,241,0,4,4.0
27,763,245,0,4,4.0
28,764,249,1,4,4.123105625617661
29,764,253,0,4,4.0
30,764,257,0,4,4.0
31,764,261,0,4,4.0
32,763,265,-1,4,4.123105625617661
33,763,270,0,5,5.0
34,763,274,0,4,4.0
35,762,278,-1,4,4.123105625617661
36,761,282,-1,4,4.123105625617661
37,761,287,0,5,5.0
38,760,291,-1,4,4.123105625617661
39,760,295,0,4,4.0
40,759,299,-1,4,4.123105625617661
41,758,303,-1,4,4.123105625617661
42,758,308,0,5,5.0
43,758,312,0,4,4.0
44,758,316,0,4,4.0
45,758,320,0,4,4.0
46,757,325,-1,5,5.0990195135927845
47,758,329,1,4,4.123105625617661
48,758,333,0,4,4.0
49,758,337,0,4,4.0
50,758,342,0,5,5.0
51,759,346,1,4,4.123105625617661
52,759,350,0,4,4.0
53,759,355,0,5,5.0
54,760,359,1,4,4.123105625617661
55,760,363,0,4,4.0
56,760,368,0,5,5.0
57,761,372,1,4,4.123105625617661
58,761,376,0,4,4.0
59,761,380,0,4,4.0
60,761,384,0,4,4.0
61,761,388,0,4,4.0
62,761,392,0,4,4.0
63,761,397,0,5,5.0
64,761,401,0,4,4.0
65,761,405,0,4,4.0
66,760,409,-1,4,4.123105625617661
67,759,413,-1,4,4.123105625617661
68,759,417,0,4,4.0
69,758,421,-1,4,4.123105625617661
70,758,426,0,5,5.0
71,757,430,-1,4,4.123105625617661
72,757,434,0,4,4.0
73,756,438,-1,4,4.123105625617661
74,756,442,0,4,4.0
75,756,446,0,4,4.0
76,756,450,0,4,4.0
77,756,454,0,4,4.0
78,756,458,0,4,4.0
79,756,462,0,4,4.0
80,756,467,0,5,5.0
81,756,471,0,4,4.0
82,757,475,1,4,4.123105625617661
83,757,479,0,4,4.0
84,758,483,1,4,4.123105625617661
85,758,488,0,5,5.0
86,759,492,1,4,4.123105625617661
87,759,496,0,4,4.0
88,760,500,1,4,4.123105625617661
89,760,505,0,5,5.0
90,760,509,0,4,4.0
91,761,513,1,4,4.123105625617661
92,761,517,0,4,4.0
93,761,521,0,4,4.0
94,761,525,0,4,4.0
95,761,529,0,4,4.0
96,761,533,0,4,4.0
97,761,537,0,4,4.0
98,761,542,0,5,5.0
99,760,546,-1,4,4.123105625617661
100,759,550,-1,4,4.123105625617661
101,759,554,0,4,4.0
102,758,558,-1,4,4.123105625617661
103,757,563,-1,5,5.0990195135927845
104,757,567,0,4,4.0
105,756,571,-1,4,4.123105625617661
106,756,575,0,4,4.0
107,755,579,-1,4,4.123105625617661
108,754,584,-1,5,5.0990195135927845
109,754,588,0,4,4.0
110,754,592,0,4,4.0
111,754,596,0,4,4.0
112,755,600,1,4,4.123105625617661
113,755,604,0,4,4.0
114,755,608,0,4,4.0
115,755,612,0,4,4.0
116,756,617,1,5,5.0990195135927845
117,756,621,0,4,4.0
118,757,625,1,4,4.123105625617661
119,758,629,1,4,4.123105625617661
120,758,634,0,5,5.0
121,759,638,1,4,4.123105625617661
122,760,642,1,4,4.123105625617661
123,760,646,0,4,4.0
124,761,651,1,5,5.0990195135927845
125,761,655,0,4,4.0
126,761,659,0,4,4.0
127,761,663,0,4,4.0
128,761,668,0,5,5.0
129,761,672,0,4,4.0
130,761,676,0,4,4.0
131,761,680,0,4,4.0
132,760,684,-1,4,4.123105625617661
133,760,689,0,5,5.0
134,759,693,-1,4,4.123105625617661
135,758,697,-1,4,4.123105625617661
136,757,701,-1,4,4.123105625617661
137,757,706,0,5,5.0
138,756,710,-1,4,4.123105625617661
139,755,714,-1,4,4.123105625617661
140,755,719,0,5,5.0
141,754,723,-1,4,4.123105625617661
142,754,727,0,4,4.0
143,754,731,0,4,4.0
144,754,735,0,4,4.0
145,754,739,0,4,4.0
146,754,743,0,4,4.0
147,754,747,0,4,4.0
148,755,750,1,3,3.1622776601683795
149,758,752,3,2,3.605551275463989
150,751,764,-7,12,13.892443989449804
151,757,765,6,1,6.082762530298219
152,758,768,1,3,3.1622776601683795
153,759,772,1,4,4.123105625617661
154,760,776,1,4,4.123105625617661
155,760,780,0,4,4.0
156,762,783,2,3,3.605551275463989
157,761,786,-1,3,3.1622776601683795
158,759,796,-2,10,10.198039027185569
159,761,799,2,3,3.605551275463989
160,762,802,1,3,3.1622776601683795
161,762,807,0,5,5.0
162,763,810,1,3,3.1622776601683795
163,762,815,-1,5,5.0990195135927845
