Frame,X,Y,dX,dY,Magnitude
0,759,129,0,0,0.0
1,759,133,0,4,4.0
2,760,136,1,3,3.1622776601683795
3,759,140,-1,4,4.123105625617661
4,760,143,1,3,3.1622776601683795
5,760,147,0,4,4.0
6,759,151,-1,4,4.123105625617661
7,759,155,0,4,4.0
8,759,159,0,4,4.0
9,759,163,0,4,4.0
10,759,167,0,4,4.0
11,759,171,0,4,4.0
12,759,176,0,5,5.0
13,759,180,0,4,4.0
14,760,184,1,4,4.123105625617661
15,760,189,0,5,5.0
16,760,193,0,4,4.0
17,761,197,1,4,4.123105625617661
18,761,201,0,4,4.0
19,762,206,1,5,5.0990195135927845
20,762,210,0,4,4.0
21,763,214,1,4,4.123105625617661
22,765,219,2,5,5.385164807134504
23,766,223,1,4,4.123105625617661
24,768,228,2,5,5.385164807134504
25,770,232,2,4,4.47213595499958
26,772,235,2,3,3.605551275463989
27,773,239,1,4,4.123105625617661
28,775,243,2,4,4.47213595499958
29,776,246,1,3,3.1622776601683795
30,777,250,1,4,4.123105625617661
31,778,254,1,4,4.123105625617661
32,779,258,1,4,4.123105625617661
33,780,262,1,4,4.123105625617661
34,781,266,1,4,4.123105625617661
35,783,271,2,5,5.385164807134504
36,784,274,1,3,3.1622776601683795
37,785,279,1,5,5.0990195135927845
38,787,283,2,4,4.47213595499958
39,788,287,1,4,4.123105625617661
40,789,291,1,4,4.123105625617661
41,790,296,1,5,5.0990195135927845
42,789,300,-1,4,4.123105625617661
43,790,305,1,5,5.0990195135927845
44,789,309,-1,4,4.123105625617661
45,789,314,0,5,5.0
46,788,318,-1,4,4.123105625617661
47,787,322,-1,4,4.123105625617661
48,786,326,-1,4,4.123105625617661
49,785,330,-1,4,4.123105625617661
50,784,334,-1,4,4.123105625617661
51,783,337,-1,3,3.1622776601683795
52,782,341,-1,4,4.123105625617661
53,781,345,-1,4,4.123105625617661
54,781,349,0,4,4.0
55,780,353,-1,4,4.123105625617661
56,780,356,0,3,3.0
57,779,360,-1,4,4.123105625617661
58,779,364,0,4,4.0
59,779,368,0,4,4.0
60,779,372,0,4,4.0
61,779,377,0,5,5.0
62,779,381,0,4,4.0
63,779,385,0,4,4.0
64,780,390,1,5,5.0990195135927845
65,780,393,0,3,3.0
66,781,397,1,4,4.123105625617661
67,781,401,0,4,4.0
68,782,404,1,3,3.1622776601683795
69,783,408,1,4,4.123105625617661
70,784,411,1,3,3.1622776601683795
71,784,415,0,4,4.0
72,785,418,1,3,3.1622776601683795
73,785,422,0,4,4.0
74,786,426,1,4,4.123105625617661
75,786,430,0,4,4.0
76,786,434,0,4,4.0
77,786,438,0,4,4.0
78,786,442,0,4,4.0
79,785,445,-1,3,3.1622776601683795
80,784,449,-1,4,4.123105625617661
81,784,452,0,3,3.0
82,782,455,-2,3,3.605551275463989
83,781,458,-1,3,3.1622776601683795
84,780,461,-1,3,3.1622776601683795
85,779,464,-1,3,3.1622776601683795
86,778,467,-1,3,3.1622776601683795
87,777,470,-1,3,3.1622776601683795
88,776,474,-1,4,4.123105625617661
89,775,477,-1,3,3.1622776601683795
90,774,481,-1,4,4.123105625617661
91,774,485,0,4,4.0
92,773,489,-1,4,4.123105625617661
93,772,493,-1,4,4.123105625617661
94,771,497,-1,4,4.123105625617661
95,770,501,-1,4,4.123105625617661
96,770,504,0,3,3.0
97,770,509,0,5,5.0
98,769,513,-1,4,4.123105625617661
99,769,517,0,4,4.0
100,769,522,0,5,5.0
101,769,526,0,4,4.0
102,769,530,0,4,4.0
103,770,534,1,4,4.123105625617661
104,771,538,1,4,4.123105625617661
105,771,542,0,4,4.0
106,772,545,1,3,3.1622776601683795
107,773,548,1,3,3.1622776601683795
108,774,552,1,4,4.123105625617661
109,775,555,1,3,3.1622776601683795
110,776,558,1,3,3.1622776601683795
111,777,562,1,4,4.123105625617661
112,777,565,0,3,3.0
113,778,569,1,4,4.123105625617661
114,778,573,0,4,4.0
115,778,578,0,5,5.0
116,778,582,0,4,4.0
117,777,586,-1,4,4.123105625617661
118,776,590,-1,4,4.123105625617661
119,776,594,0,4,4.0
120,775,598,-1,4,4.123105625617661
121,774,602,-1,4,4.123105625617661
122,773,606,-1,4,4.123105625617661
123,771,610,-2,4,4.47213595499958
124,770,613,-1,3,3.1622776601683795
125,769,616,-1,3,3.1622776601683795
126,768,620,-1,4,4.123105625617661
127,767,624,-1,4,4.123105625617661
128,767,627,0,3,3.0
129,765,630,-2,3,3.605551275463989
130,765,635,0,5,5.0
131,764,639,-1,4,4.123105625617661
132,764,643,0,4,4.0
133,763,648,-1,5,5.0990195135927845
134,762,652,-1,4,4.123105625617661
135,761,657,-1,5,5.0990195135927845
136,761,662,0,5,5.0
137,761,666,0,4,4.0
138,760,671,-1,5,5.0990195135927845
139,760,676,0,5,5.0
140,760,680,0,4,4.0
141,759,686,-1,6,6.082762530298219
142,759,691,0,5,5.0
143,759,695,0,4,4.0
144,759,700,0,5,5.0
145,759,705,0,5,5.0
146,760,710,1,5,5.0990195135927845
147,760,714,0,4,4.0
148,761,718,1,4,4.123105625617661
149,762,722,1,4,4.123105625617661
150,762,727,0,5,5.0
151,763,731,1,4,4.123105625617661
152,764,735,1,4,4.123105625617661
153,764,739,0,4,4.0
154,765,743,1,4,4.123105625617661
155,765,747,0,4,4.0
156,765,752,0,5,5.0
157,769,757,4,5,6.4031242374328485
158,769,761,0.2,4.4,4.404543109109048
159,764,766,-5,5,7.0710678118654755
160,763,770,-1,4,4.123105625617661
161,762,775,-1,5,5.0990195135927845
162,760,779,-2,4,4.47213595499958
163,759,782,-1,3,3.1622776601683795
164,757,784,-2,2,2.8284271247461903
165,762,795,5,11,12.083045973594572
166,758,797,-4,2,4.47213595499958
167,757,800,-1,3,3.1622776601683795
168,756,805,-1,5,5.0990195135927845
169,756,808,0,3,3.0
170,756,813,0,5,5.0
171,755,817,-1,4,4.123105625617661
172,756,821,1,4,4.123105625617661
