Frame,X,Y,dX,dY,Magnitude
0,849,192,0,1,1.0
1,846,194,-3,2,3.605551275463989
2,847,196,1,2,2.23606797749979
3,846,199,-0.13333333333333333,3,3.002961501214722
4,845,201,-0.10666666666666667,2.0,2.002842424600043
5,846,210,1,9,9.055385138137417
6,840,208,-6,-2,6.324555320336759
7,850,208,10,0,10.0
8,850,214,0,6,6.0
9,848,220,-2,6,6.324555320336759
10,844,230,-4,10,10.770329614269007
11,841,237,-3,7,7.615773105863909
12,839,244,-2,7,7.280109889280518
13,837,250,-2,6,6.324555320336759
14,835,257,-2,7,7.280109889280518
15,833,265,-2,8,8.246211251235321
16,831,270,-2,5,5.385164807134504
17,830,278,-1,8,8.06225774829855
18,829,284,-1,6,6.082762530298219
19,834,286,5,2,5.385164807134504
20,834,293,0,7,7.0
21,833,299,-1,6,6.082762530298219
22,834,307,1,8,8.06225774829855
23,833,314,-1,7,7.0710678118654755
24,833,321,0,7,7.0
25,828,334,-5,13,13.92838827718412
26,828,341,0,7,7.0
27,833,342,5,1,5.0990195135927845
28,834,350,1,8,8.06225774829855
29,835,357,1,7,7.0710678118654755
30,835,364,0,7,7.0
31,837,371,2,7,7.280109889280518
32,837,379,0,8,8.0
33,838,386,1,7,7.0710678118654755
34,838,393,0,7,7.0
35,839,400,1,7,7.0710678118654755
36,839,408,0,8,8.0
37,840,415,1,7,7.0710678118654755
38,837,428,-3,13,13.341664064126334
39,837,435,0,7,7.0
40,839,440,2,5,5.385164807134504
41,840,449,1,9,9.055385138137417
42,839,456,-1,7,7.0710678118654755
43,839,465,0,9,9.0
44,839,473,0,8,8.0
45,838,481,-1,8,8.06225774829855
46,838,489,0,8,8.0
47,839,495,1,6,6.082762530298219
48,838,505,-1,10,10.04987562112089
49,838,512,0,7,7.0
50,838,518,0,6,6.0
51,837,527,-1,9,9.055385138137417
52,832,536,-5,9,10.295630140987
53,832,545,0,9,9.0
54,830,551,-2,6,6.324555320336759
55,828,559,-2,8,8.246211251235321
56,825,567,-3,8,8.54400374531753
57,822,574,-3,7,7.615773105863909
58,818,582,-4,8,8.94427190999916
59,817,587,-1,5,5.0990195135927845
60,815,594,-2,7,7.280109889280518
61,813,600,-2,6,6.324555320336759
62,811,608,-2,8,8.246211251235321
63,810,614,-1,6,6.082762530298219
64,808,623,-2,9,9.219544457292887
65,807,629,-1,6,6.082762530298219
66,807,638,0,9,9.0
67,807,645,0,7,7.0
68,803,653,-4,8,8.94427190999916
69,803,661,0,8,8.0
70,801,668,-2,7,7.280109889280518
71,801,677,0,9,9.0
72,800,683,-1,6,6.082762530298219
73,800,688,0,5,5.0
74,799,694,-1,6,6.082762530298219
75,799,702,0,8,8.0
76,798,708,-1,6,6.082762530298219
77,799,717,1,9,9.055385138137417
78,798,728,-1,11,11.045361017187261
79,797,737,-1,9,9.055385138137417
80,796,746,-1,9,9.055385138137417
81,795,756,-1,10,10.04987562112089
82,794,762,-1,6,6.082762530298219
83,792,768,-2,6,6.324555320336759
84,790,774,-2,6,6.324555320336759
85,786,780,-4,6,7.211102550927978
86,785,787,-1,7,7.0710678118654755
87,782,791,-3,4,5.0
88,786,791,4,0,4.0
89,785,797,-1,6,6.082762530298219
90,770,806,-15,9,17.4928556845359
