Frame,X,Y,dX,dY,Magnitude
0,713,134,3,-2,3.605551275463989
1,714,140,1,6,6.082762530298219
2,714,141,0,1,1.0
3,714,146,0,5,5.0
4,715,151,1,5,5.0990195135927845
5,716,157,1,6,6.082762530298219
6,723,156,7,-1,7.0710678118654755
7,716,171,-7,15,16.55294535724685
8,712,177,-4,6,7.211102550927978
9,712,182,0,5,5.0
10,713,188,1,6,6.082762530298219
11,719,192,6,4,7.211102550927978
12,712,197,-7,5,8.602325267042627
13,712,203,0,6,6.0
14,712,209,0,6,6.0
15,716,216,4,7,8.06225774829855
16,715,222,-1,6,6.082762530298219
17,717,224,2,2,2.8284271247461903
18,721,227,4,3,5.0
19,719,235,-2,8,8.246211251235321
20,722,244,3,9,9.486832980505138
21,718,243,-4,-1,4.123105625617661
22,722,254,4,11,11.704699910719626
23,722,259,0,5,5.0
24,721,263,-1,4,4.123105625617661
25,709,268,-12,5,13.0
26,709,274,0,6,6.0
27,710,279,1,5,5.0990195135927845
28,710,286,0,7,7.0
29,710,291,0,5,5.0
30,710,297,0,6,6.0
31,711,302,1,5,5.0990195135927845
32,711,307,0,5,5.0
33,712,312,1,5,5.0990195135927845
34,713,318,1,6,6.082762530298219
35,715,323,2,5,5.385164807134504
36,721,326,6,3,6.708203932499369
37,724,332,3,6,6.708203932499369
38,725,338,1,6,6.082762530298219
39,726,344,1,6,6.082762530298219
40,727,351,1,7,7.0710678118654755
41,721,359,-6,8,10.0
42,726,363,5,4,6.4031242374328485
43,726,364,0,1,1.0
44,726,371,0,7,7.0
45,727,377,1,6,6.082762530298219
46,724,382,-3,5,5.830951894845301
47,721,388,-3,6,6.708203932499369
48,720,393,-1,5,5.0990195135927845
49,721,403,1,10,10.04987562112089
50,725,412,4,9,9.848857801796104
51,723,417,-2,5,5.385164807134504
52,723,422,0,5,5.0
53,721,429,-2,7,7.280109889280518
54,721,434,0,5,5.0
55,716,434,-5,0,5.0
56,713,439,-3,5,5.830951894845301
57,712,444,-1,5,5.0990195135927845
58,711,450,-1,6,6.082762530298219
59,711,456,0,6,6.0
60,711,461,0,5,5.0
61,711,466,0,5,5.0
62,711,472,0,6,6.0
63,712,478,1,6,6.082762530298219
64,713,483,1,5,5.0990195135927845
65,714,489,1,6,6.082762530298219
66,717,494,3,5,5.830951894845301
67,721,501,4,7,8.06225774829855
68,724,506,3,5,5.830951894845301
69,723,512,-1,6,6.082762530298219
70,723,517,0,5,5.0
71,722,521,-1,4,4.123105625617661
72,723,530,1,9,9.055385138137417
73,723,533,0,3,3.0
74,721,537,-2,4,4.47213595499958
75,720,543,-1,6,6.082762530298219
76,720,548,0,5,5.0
77,718,557,-2,9,9.219544457292887
78,716,562,-2,5,5.385164807134504
79,717,567,1,5,5.0990195135927845
80,712,576,-5,9,10.295630140987
81,712,581,0,5,5.0
82,716,581,4,0,4.0
83,716,587,0,6,6.0
84,716,592,0.0,5.0,5.0
85,708,607,-8,15,17.0
86,710,607,2,0,2.0
87,711,614,1,7,7.0710678118654755
88,710,619,-1,5,5.0990195135927845
89,710,624,0,5,5.0
90,709,629,-1,5,5.0990195135927845
91,710,635,1,6,6.082762530298219
92,710,640,0,5,5.0
93,711,645,1,5,5.0990195135927845
94,711,651,0,6,6.0
95,712,656,1,5,5.0990195135927845
96,713,663,1,7,7.0710678118654755
97,717,669,4,6,7.211102550927978
98,725,672,8,3,8.54400374531753
99,727,678,2,6,6.324555320336759
100,725,682,-2,4,4.47213595499958
101,726,687,1,5,5.0990195135927845
102,727,693,1,6,6.082762530298219
103,727,698,0,5,5.0
104,726,707,-1,9,9.055385138137417
105,724,709,-2,2,2.8284271247461903
106,724,714,0,5,5.0
107,725,721,1,7,7.0710678118654755
108,727,727,2,6,6.324555320336759
109,727,733,0,6,6.0
110,714,743,-13,10,16.401219466856727
111,715,749,1,6,6.082762530298219
112,716,754,1,5,5.0990195135927845
113,715,759,-1,5,5.0990195135927845
114,714,765,-1,6,6.082762530298219
115,713,769,-1,4,4.123105625617661
116,712,775,-1,6,6.082762530298219
117,712,780,0,5,5.0
118,712,786,0,6,6.0
119,711,791,-1,5,5.0990195135927845
120,713,799,2,8,8.246211251235321
121,711,801,-2,2,2.8284271247461903
122,711,805,0,4,4.0
123,712,810,1,5,5.0990195135927845
