Frame,X,Y,dX,dY,Magnitude
0,622,153,9,-2,9.219544457292887
1,621,158,-1,5,5.0990195135927845
2,609,163,-12,5,13.0
3,605,165,-4,2,4.47213595499958
4,604,167,-0.4,2.5,2.5317977802344327
5,603,169,-0.3360000000000001,2.5,2.5224781465852186
6,602,172,-0.7094399999999998,3.4,3.473226902118547
7,601,175,-0.6978176,3.08,3.158061019497527
8,610,171,9,-4,9.848857801796104
9,609,178,-1,7,7.0710678118654755
10,609,181,0,3,3.0
11,608,185,-1,4,4.123105625617661
12,608,190,0,5,5.0
13,607,193,-1,3,3.1622776601683795
14,608,197,1,4,4.123105625617661
15,607,201,-1,4,4.123105625617661
16,607,205,0,4,4.0
17,608,209,1,4,4.123105625617661
18,609,213,1,4,4.123105625617661
19,610,218,1,5,5.0990195135927845
20,610,221,0,3,3.0
21,611,225,1,4,4.123105625617661
22,612,228,1,3,3.1622776601683795
23,613,231,1,3,3.1622776601683795
24,613,235,0,4,4.0
25,614,238,1,3,3.1622776601683795
26,615,242,1,4,4.123105625617661
27,615,245,0,3,3.0
28,615,249,0,4,4.0
29,615,253,0,4,4.0
30,615,256,0,3,3.0
31,615,260,0,4,4.0
32,615,264,0,4,4.0
33,614,268,-1,4,4.123105625617661
34,614,272,0,4,4.0
35,612,275,-2,3,3.605551275463989
36,611,278,-1,3,3.1622776601683795
37,610,281,-1,3,3.1622776601683795
38,609,285,-1,4,4.123105625617661
39,608,288,-1,3,3.1622776601683795
40,607,292,-1,4,4.123105625617661
41,606,295,-1,3,3.1622776601683795
42,605,299,-1,4,4.123105625617661
43,604,302,-1,3,3.1622776601683795
44,604,306,0,4,4.0
45,602,310,-2,4,4.47213595499958
46,602,314,0,4,4.0
47,601,318,-1,4,4.123105625617661
48,600,323,-1,5,5.0990195135927845
49,599,327,-1,4,4.123105625617661
50,599,332,0,5,5.0
51,598,336,-1,4,4.123105625617661
52,596,340,-2,4,4.47213595499958
53,595,344,-1,4,4.123105625617661
54,594,348,-1,4,4.123105625617661
55,593,351,-1,3,3.1622776601683795
56,592,355,-1,4,4.123105625617661
57,592,358,0,3,3.0
58,591,362,-1,4,4.123105625617661
59,590,365,-1,3,3.1622776601683795
60,590,369,0,4,4.0
61,589,372,-1,3,3.1622776601683795
62,589,376,0,4,4.0
63,589,380,0,4,4.0
64,589,384,0,4,4.0
65,589,388,0,4,4.0
66,590,392,1,4,4.123105625617661
67,590,396,0,4,4.0
68,589,400,-1,4,4.123105625617661
69,589,404,0,4,4.0
70,588,409,-1,5,5.0990195135927845
71,588,413,0,4,4.0
72,587,417,-1,4,4.123105625617661
73,586,421,-1,4,4.123105625617661
74,586,426,0,5,5.0
75,585,430,-1,4,4.123105625617661
76,584,434,-1,4,4.123105625617661
77,584,438,0,4,4.0
78,584,443,0,5,5.0
79,583,447,-1,4,4.123105625617661
80,584,452,1,5,5.0990195135927845
81,584,456,0,4,4.0
82,585,460,1,4,4.123105625617661
83,586,465,1,5,5.0990195135927845
84,587,469,1,4,4.123105625617661
85,588,473,1,4,4.123105625617661
86,590,477,2,4,4.47213595499958
87,591,481,1,4,4.123105625617661
88,592,484,1,3,3.1622776601683795
89,594,488,2,4,4.47213595499958
90,595,492,1,4,4.123105625617661
91,596,496,1,4,4.123105625617661
92,596,499,0,3,3.0
93,597,503,1,4,4.123105625617661
94,597,507,0,4,4.0
95,598,511,1,4,4.123105625617661
96,598,515,0,4,4.0
97,598,519,0,4,4.0
98,597,523,-1,4,4.123105625617661
99,596,527,-1,4,4.123105625617661
100,596,531,0,4,4.0
101,595,534,-1,3,3.1622776601683795
102,593,538,-2,4,4.47213595499958
103,592,542,-1,4,4.123105625617661
104,591,545,-1,3,3.1622776601683795
105,590,549,-1,4,4.123105625617661
106,589,553,-1,4,4.123105625617661
107,589,557,0,4,4.0
108,589,561,0,4,4.0
109,588,565,-1,4,4.123105625617661
110,588,569,0,4,4.0
111,589,573,1,4,4.123105625617661
112,589,577,0,4,4.0
113,590,581,1,4,4.123105625617661
114,591,585,1,4,4.123105625617661
115,592,588,1,3,3.1622776601683795
116,593,591,1,3,3.1622776601683795
