Frame,X,Y,dX,dY,Magnitude
0,484,80,0,0,0.0
1,484,83,0,3,3.0
2,484,88,0,5,5.0
3,484,92,0,4,4.0
4,483,97,-1,5,5.0990195135927845
5,482,100,-1,3,3.1622776601683795
6,483,104,1,4,4.123105625617661
7,481,108,-2,4,4.47213595499958
8,481,113,0,5,5.0
9,480,117,-1,4,4.123105625617661
10,479,121,-1,4,4.123105625617661
11,478,125,-1,4,4.123105625617661
12,477,128,-1,3,3.1622776601683795
13,476,132,-1,4,4.123105625617661
14,475,136,-1,4,4.123105625617661
15,475,140,0,4,4.0
16,474,144,-1,4,4.123105625617661
17,474,148,0,4,4.0
18,474,152,0,4,4.0
19,474,157,0,5,5.0
20,474,161,0,4,4.0
21,474,165,0,4,4.0
22,475,169,1,4,4.123105625617661
23,476,173,1,4,4.123105625617661
24,476,177,0,4,4.0
25,477,181,1,4,4.123105625617661
26,478,185,1,4,4.123105625617661
27,479,189,1,4,4.123105625617661
28,479,192,0,3,3.0
29,480,196,1,4,4.123105625617661
30,481,200,1,4,4.123105625617661
31,483,204,2,4,4.47213595499958
32,483,209,0,5,5.0
33,484,213,1,4,4.123105625617661
34,484,217,0,4,4.0
35,485,221,1,4,4.123105625617661
36,485,225,0,4,4.0
37,485,229,0,4,4.0
38,485,233,0,4,4.0
39,485,237,0,4,4.0
40,484,242,-1,5,5.0990195135927845
41,483,245,-1,3,3.1622776601683795
42,482,249,-1,4,4.123105625617661
43,481,253,-1,4,4.123105625617661
44,480,257,-1,4,4.123105625617661
45,479,261,-1,4,4.123105625617661
46,478,265,-1,4,4.123105625617661
47,477,269,-1,4,4.123105625617661
48,477,273,0,4,4.0
49,476,277,-1,4,4.123105625617661
50,475,281,-1,4,4.123105625617661
51,474,285,-1,4,4.123105625617661
52,474,289,0,4,4.0
53,474,293,0,4,4.0
54,474,297,0,4,4.0
55,474,301,0,4,4.0
56,474,305,0,4,4.0
57,475,309,1,4,4.123105625617661
58,476,313,1,4,4.123105625617661
59,476,317,0,4,4.0
60,476,320,0,3,3.0
61,477,324,1,4,4.123105625617661
62,477,328,0,4,4.0
63,478,332,1,4,4.123105625617661
64,478,336,0,4,4.0
65,479,340,1,4,4.123105625617661
66,480,344,1,4,4.123105625617661
67,481,348,1,4,4.123105625617661
68,481,352,0,4,4.0
69,482,356,1,4,4.123105625617661
70,482,361,0,5,5.0
71,482,365,0,4,4.0
72,482,368,0,3,3.0
73,482,372,0,4,4.0
74,482,376,0,4,4.0
75,481,380,-1,4,4.123105625617661
76,481,384,0,4,4.0
77,480,387,-1,3,3.1622776601683795
78,480,391,0,4,4.0
79,479,395,-1,4,4.123105625617661
80,478,399,-1,4,4.123105625617661
81,477,403,-1,4,4.123105625617661
82,476,407,-1,4,4.123105625617661
83,475,411,-1,4,4.123105625617661
84,474,414,-1,3,3.1622776601683795
85,473,418,-1,4,4.123105625617661
86,473,423,0,5,5.0
87,473,427,0,4,4.0
88,477,432,4,5,6.4031242374328485
89,477,435,0,3,3.0
90,477,439,0,4,4.0
91,477,442,0,3,3.0
92,472,445,-5,3,5.830951894845301
93,472,449,0,4,4.0
94,473,452,1,3,3.1622776601683795
95,473,456,0,4,4.0
96,474,460,1,4,4.123105625617661
97,474,464,0,4,4.0
98,475,468,1,4,4.123105625617661
99,475,472,0,4,4.0
100,476,476,1,4,4.123105625617661
101,477,479,1,3,3.1622776601683795
102,477,484,0,5,5.0
103,478,488,1,4,4.123105625617661
104,478,492,0,4,4.0
105,478,496,0,4,4.0
106,478,500,0,4,4.0
107,478,504,0,4,4.0
108,478,507,0,3,3.0
109,478,511,0,4,4.0
110,477,515,-1,4,4.123105625617661
111,477,519,0,4,4.0
112,480,523,3,4,5.0
113,475,527,-5,4,6.4031242374328485
114,474,531,-1,4,4.123105625617661
115,473,535,-1,4,4.123105625617661
116,472,538,-1,3,3.1622776601683795
117,471,542,-1,4,4.123105625617661
118,470,546,-1,4,4.123105625617661
119,470,550,0,4,4.0
120,469,554,-1,4,4.123105625617661
121,468,558,-1,4,4.123105625617661
122,468,562,0,4,4.0
123,467,566,-1,4,4.123105625617661
124,467,570,0,4,4.0
125,467,573,0,3,3.0
126,467,577,0,4,4.0
127,467,581,0,4,4.0
128,467,584,0,3,3.0
129,466,588,-1,4,4.123105625617661
130,467,593,1,5,5.0990195135927845
131,467,597,0,4,4.0
132,467,601,0,4,4.0
133,467,605,0,4,4.0
134,468,609,1,4,4.123105625617661
135,468,613,0,4,4.0
136,469,617,1,4,4.123105625617661
137,469,621,0,4,4.0
138,469,625,0,4,4.0
139,469,629,0,4,4.0
140,469,633,0,4,4.0
141,469,637,0,4,4.0
142,468,641,-1,4,4.123105625617661
143,468,645,0,4,4.0
144,467,649,-1,4,4.123105625617661
145,467,653,0,4,4.0
146,467,657,0,4,4.0
147,467,660,0,3,3.0
148,466,664,-1,4,4.123105625617661
149,466,668,0,4,4.0
150,465,672,-1,4,4.123105625617661
151,464,676,-1,4,4.123105625617661
152,463,680,-1,4,4.123105625617661
153,462,684,-1,4,4.123105625617661
154,462,688,0,4,4.0
155,461,692,-1,4,4.123105625617661
156,461,695,0,3,3.0
157,461,699,0,4,4.0
158,456,702,-5,3,5.830951894845301
159,455,705,-0.24,3.6,3.607991130809498
160,463,714,8,9,12.041594578792296
161,461,717,-2,3,3.605551275463989
162,460,719,-1,2,2.23606797749979
163,461,721,1,2,2.23606797749979
164,461,723,0,2,2.0
165,465,734,4,11,11.704699910719626
166,462,735,-3,1,3.1622776601683795
167,462,740,0,5,5.0
168,464,745,2,5,5.385164807134504
169,463,749,-1,4,4.123105625617661
170,463,753,0,4,4.0
171,463,756,0,3,3.0
172,464,760,1,4,4.123105625617661
173,464,764,0,4,4.0
174,464,768,0,4,4.0
175,465,772,1,4,4.123105625617661
176,465,776,0,4,4.0
