Frame,X,Y,dX,dY,Magnitude
0,436,120,3,0,3.0
1,435,119,-1,-1,1.4142135623730951
2,436,120,1,1,1.4142135623730951
3,435,120,-1,0,1.0
4,435,120,0,0,0.0
5,435,121,0,1,1.0
6,434,124,-0.04000000000000001,3,3.000266654815868
7,433,127,-0.0016000000000000005,3,3.0000004266666362
8,432,130,-0.04166400000000001,3,3.000289300866835
9,433,125,1,-5,5.0990195135927845
10,433,125,0,0,0.0
11,433,126,0,1,1.0
12,430,136,-3,10,10.44030650891055
13,429,141,-1,5,5.0990195135927845
14,428,145,-1,4,4.123105625617661
15,428,149,0,4,4.0
16,427,153,-1,4,4.123105625617661
17,427,157,0,4,4.0
18,427,161,0,4,4.0
19,427,166,0,5,5.0
20,427,170,0,4,4.0
21,428,174,1,4,4.123105625617661
22,428,178,0,4,4.0
23,429,182,1,4,4.123105625617661
24,430,186,1,4,4.123105625617661
25,431,190,1,4,4.123105625617661
26,432,194,1,4,4.123105625617661
27,432,198,0,4,4.0
28,434,202,2,4,4.47213595499958
29,434,206,0,4,4.0
30,435,210,1,4,4.123105625617661
31,436,214,1,4,4.123105625617661
32,436,218,0,4,4.0
33,437,223,1,5,5.0990195135927845
34,437,227,0,4,4.0
35,437,232,0,5,5.0
36,436,236,-1,4,4.123105625617661
37,436,240,0,4,4.0
38,435,243,-1,3,3.1622776601683795
39,434,247,-1,4,4.123105625617661
40,433,251,-1,4,4.123105625617661
41,433,255,0,4,4.0
42,432,259,-1,4,4.123105625617661
43,431,263,-1,4,4.123105625617661
44,431,267,0,4,4.0
45,429,271,-2,4,4.47213595499958
46,429,275,0,4,4.0
47,427,279,-2,4,4.47213595499958
48,427,283,0,4,4.0
49,426,287,-1,4,4.123105625617661
50,426,291,0,4,4.0
51,425,295,-1,4,4.123105625617661
52,425,300,0,5,5.0
53,425,304,0,4,4.0
54,426,308,1,4,4.123105625617661
55,426,312,0,4,4.0
56,426,316,0,4,4.0
57,427,320,1,4,4.123105625617661
58,428,324,1,4,4.123105625617661
59,429,327,1,3,3.1622776601683795
60,430,331,1,4,4.123105625617661
61,430,335,0,4,4.0
62,431,339,1,4,4.123105625617661
63,432,343,1,4,4.123105625617661
64,433,348,1,5,5.0990195135927845
65,433,352,0,4,4.0
66,433,356,0,4,4.0
67,434,360,1,4,4.123105625617661
68,434,364,0,4,4.0
69,433,368,-1,4,4.123105625617661
70,433,372,0,4,4.0
71,432,376,-1,4,4.123105625617661
72,432,380,0,4,4.0
73,431,384,-1,4,4.123105625617661
74,430,388,-1,4,4.123105625617661
75,429,391,-1,3,3.1622776601683795
76,428,395,-1,4,4.123105625617661
77,428,399,0,4,4.0
78,427,403,-1,4,4.123105625617661
79,426,407,-1,4,4.123105625617661
80,425,411,-1,4,4.123105625617661
81,424,415,-1,4,4.123105625617661
82,423,419,-1,4,4.123105625617661
83,423,424,0,5,5.0
84,423,428,0,4,4.0
85,422,432,-1,4,4.123105625617661
86,423,436,1,4,4.123105625617661
87,423,440,0,4,4.0
88,423,444,0,4,4.0
89,424,448,1,4,4.123105625617661
90,425,452,1,4,4.123105625617661
91,426,456,1,4,4.123105625617661
92,427,460,1,4,4.123105625617661
93,428,464,1,4,4.123105625617661
94,429,467,1,3,3.1622776601683795
95,430,471,1,4,4.123105625617661
96,431,475,1,4,4.123105625617661
97,431,479,0,4,4.0
98,432,483,1,4,4.123105625617661
99,432,488,0,5,5.0
100,432,492,0,4,4.0
101,432,495,0,3,3.0
102,431,500,-1,5,5.0990195135927845
103,431,503,0,3,3.0
104,430,507,-1,4,4.123105625617661
105,429,511,-1,4,4.123105625617661
106,428,514,-1,3,3.1622776601683795
107,428,518,0,4,4.0
108,427,522,-1,4,4.123105625617661
109,426,526,-1,4,4.123105625617661
110,425,530,-1,4,4.123105625617661
111,424,534,-1,4,4.123105625617661
112,423,538,-1,4,4.123105625617661
113,422,542,-1,4,4.123105625617661
114,422,546,0,4,4.0
115,421,550,-1,4,4.123105625617661
116,421,554,0,4,4.0
117,421,558,0,4,4.0
118,421,562,0,4,4.0
119,421,567,0,5,5.0
120,422,571,1,4,4.123105625617661
121,421,575,-1,4,4.123105625617661
122,422,579,1,4,4.123105625617661
123,423,583,1,4,4.123105625617661
124,423,587,0,4,4.0
125,424,591,1,4,4.123105625617661
126,425,595,1,4,4.123105625617661
127,426,599,1,4,4.123105625617661
128,426,603,0,4,4.0
129,427,607,1,4,4.123105625617661
130,428,611,1,4,4.123105625617661
131,428,616,0,5,5.0
132,429,620,1,4,4.123105625617661
133,429,624,0,4,4.0
134,429,628,0,4,4.0
135,429,632,0,4,4.0
136,428,636,-1,4,4.123105625617661
137,428,639,0,3,3.0
138,427,643,-1,4,4.123105625617661
139,427,647,0,4,4.0
140,426,651,-1,4,4.123105625617661
141,425,655,-1,4,4.123105625617661
142,424,658,-1,3,3.1622776601683795
143,423,662,-1,4,4.123105625617661
144,422,666,-1,4,4.123105625617661
145,421,670,-1,4,4.123105625617661
146,420,674,-1,4,4.123105625617661
147,420,678,0,4,4.0
148,419,682,-1,4,4.123105625617661
149,419,686,0,4,4.0
150,418,691,-1,5,5.0990195135927845
151,418,694,0,3,3.0
152,418,698,0,4,4.0
153,418,701,0,3,3.0
154,421,707,3,6,6.708203932499369
155,421,713,0,6,6.0
156,420,716,-1,3,3.1622776601683795
157,421,719,1,3,3.1622776601683795
158,423,722,2,3,3.605551275463989
159,426,724,3,2,3.605551275463989
160,423,732,-3,8,8.54400374531753
161,425,734,2,2,2.8284271247461903
162,427,737,2,3,3.605551275463989
163,427,741,0,4,4.0
164,425,748,-2,7,7.280109889280518
165,428,751,3,3,4.242640687119285
166,428,754,0,3,3.0
167,429,758,1,4,4.123105625617661
168,429,762,0,4,4.0
169,428,766,-1,4,4.123105625617661
170,428,769,0,3,3.0
171,427,773,-1,4,4.123105625617661
