Frame,X,Y,dX,dY,Magnitude
0,530,104,0,0,0.0
1,529,106,-1,2,2.23606797749979
2,531,111,2,5,5.385164807134504
3,530,114,-1,3,3.1622776601683795
4,530,117,0,3,3.0
5,529,120,-1,3,3.1622776601683795
6,529,123,0,3,3.0
7,529,126,0,3,3.0
8,530,128,1,2,2.23606797749979
9,529,132,-1,4,4.123105625617661
10,529,135,0,3,3.0
11,530,138,1,3,3.1622776601683795
12,530,141,0,3,3.0
13,531,144,1,3,3.1622776601683795
14,531,147,0,3,3.0
15,531,150,0,3,3.0
16,531,153,0,3,3.0
17,531,156,0,3,3.0
18,531,159,0,3,3.0
19,531,161,0,2,2.0
20,531,165,0,4,4.0
21,530,167,-1,2,2.23606797749979
22,530,170,0,3,3.0
23,530,173,0,3,3.0
24,529,176,-1,3,3.1622776601683795
25,529,179,0,3,3.0
26,528,182,-1,3,3.1622776601683795
27,528,185,0,3,3.0
28,527,188,-1,3,3.1622776601683795
29,527,191,0,3,3.0
30,527,194,0,3,3.0
31,527,196,0,2,2.0
32,527,199,0,3,3.0
33,527,202,0,3,3.0
34,527,205,0,3,3.0
35,527,208,0,3,3.0
36,527,211,0,3,3.0
37,528,214,1,3,3.1622776601683795
38,528,216,0,2,2.0
39,528,220,0,4,4.0
40,529,223,1,3,3.1622776601683795
41,529,225,0,2,2.0
42,529,228,0,3,3.0
43,529,231,0,3,3.0
44,528,234,-1,3,3.1622776601683795
45,529,237,1,3,3.1622776601683795
46,528,240,-1,3,3.1622776601683795
47,528,243,0,3,3.0
48,527,246,-1,3,3.1622776601683795
49,528,249,1,3,3.1622776601683795
50,527,252,-1,3,3.1622776601683795
51,527,255,0,3,3.0
52,527,258,0,3,3.0
53,527,261,0,3,3.0
54,526,264,-1,3,3.1622776601683795
55,527,267,1,3,3.1622776601683795
56,527,270,0,3,3.0
57,527,273,0,3,3.0
58,527,276,0,3,3.0
59,527,279,0,3,3.0
60,528,282,1,3,3.1622776601683795
61,528,285,0,3,3.0
62,529,288,1,3,3.1622776601683795
63,529,291,0,3,3.0
64,529,294,0,3,3.0
65,529,297,0,3,3.0
66,529,301,0,4,4.0
67,529,304,0,3,3.0
68,529,307,0,3,3.0
69,529,309,0,2,2.0
70,529,313,0,4,4.0
71,528,316,-1,3,3.1622776601683795
72,528,319,0,3,3.0
73,527,322,-1,3,3.1622776601683795
74,528,325,1,3,3.1622776601683795
75,527,328,-1,3,3.1622776601683795
76,527,331,0,3,3.0
77,527,334,0,3,3.0
78,527,337,0,3,3.0
79,527,340,0,3,3.0
80,527,344,0,4,4.0
81,527,347,0,3,3.0
82,527,350,0,3,3.0
83,527,353,0,3,3.0
84,528,356,1,3,3.1622776601683795
85,528,359,0,3,3.0
86,528,362,0,3,3.0
87,528,365,0,3,3.0
88,528,368,0,3,3.0
89,529,372,1,4,4.123105625617661
90,528,374,-1,2,2.23606797749979
91,528,378,0,4,4.0
92,529,381,1,3,3.1622776601683795
93,528,384,-1,3,3.1622776601683795
94,528,387,0,3,3.0
95,527,390,-1,3,3.1622776601683795
96,527,393,0,3,3.0
97,527,396,0,3,3.0
98,527,399,0,3,3.0
99,527,403,0,4,4.0
100,526,406,-1,3,3.1622776601683795
101,526,409,0,3,3.0
102,526,412,0,3,3.0
103,526,415,0,3,3.0
104,526,418,0,3,3.0
105,527,421,1,3,3.1622776601683795
106,527,424,0,3,3.0
107,527,427,0,3,3.0
108,528,430,1,3,3.1622776601683795
109,528,434,0,4,4.0
110,529,437,1,3,3.1622776601683795
111,529,440,0,3,3.0
112,529,443,0,3,3.0
113,529,446,0,3,3.0
114,529,449,0,3,3.0
115,529,453,0,4,4.0
116,529,455,0,2,2.0
117,529,458,0,3,3.0
118,528,461,-1,3,3.1622776601683795
119,529,465,1,4,4.123105625617661
120,528,468,-1,3,3.1622776601683795
121,528,471,0,3,3.0
122,528,474,0,3,3.0
123,528,477,0,3,3.0
124,528,480,0,3,3.0
125,528,483,0,3,3.0
126,527,486,-1,3,3.1622776601683795
127,528,489,1,3,3.1622776601683795
128,528,493,0,4,4.0
129,528,496,0,3,3.0
130,529,499,1,3,3.1622776601683795
