Frame,X,Y,dX,dY,Magnitude
0,432,125,0,0,0.0
1,433,129,1,4,4.123105625617661
2,434,133,1,4,4.123105625617661
3,434,136,0,3,3.0
4,435,140,1,4,4.123105625617661
5,436,144,1,4,4.123105625617661
6,437,148,1,4,4.123105625617661
7,438,152,1,4,4.123105625617661
8,439,155,1,3,3.1622776601683795
9,439,159,0,4,4.0
10,440,163,1,4,4.123105625617661
11,441,167,1,4,4.123105625617661
12,441,171,0,4,4.0
13,440,175,-1,4,4.123105625617661
14,440,179,0,4,4.0
15,440,183,0,4,4.0
16,440,187,0,4,4.0
17,439,190,-1,3,3.1622776601683795
18,439,194,0,4,4.0
19,438,198,-1,4,4.123105625617661
20,437,202,-1,4,4.123105625617661
21,436,205,-1,3,3.1622776601683795
22,435,209,-1,4,4.123105625617661
23,434,213,-1,4,4.123105625617661
24,433,216,-1,3,3.1622776601683795
25,433,220,0,4,4.0
26,432,224,-1,4,4.123105625617661
27,432,227,0,3,3.0
28,431,231,-1,4,4.123105625617661
29,431,235,0,4,4.0
30,431,238,0,3,3.0
31,430,242,-1,4,4.123105625617661
32,431,246,1,4,4.123105625617661
33,431,250,0,4,4.0
34,431,253,0,3,3.0
35,432,257,1,4,4.123105625617661
36,432,261,0,4,4.0
37,432,265,0,4,4.0
38,433,268,1,3,3.1622776601683795
39,434,272,1,4,4.123105625617661
40,434,276,0,4,4.0
41,435,280,1,4,4.123105625617661
42,436,284,1,4,4.123105625617661
43,437,287,1,3,3.1622776601683795
44,437,291,0,4,4.0
45,438,295,1,4,4.123105625617661
46,438,299,0,4,4.0
47,438,303,0,4,4.0
48,439,306,1,3,3.1622776601683795
49,438,310,-1,4,4.123105625617661
50,438,314,0,4,4.0
51,438,317,0,3,3.0
52,437,321,-1,4,4.123105625617661
53,437,325,0,4,4.0
54,436,328,-1,3,3.1622776601683795
55,435,332,-1,4,4.123105625617661
56,434,336,-1,4,4.123105625617661
57,433,340,-1,4,4.123105625617661
58,432,343,-1,3,3.1622776601683795
59,431,347,-1,4,4.123105625617661
60,430,350,-1,3,3.1622776601683795
61,429,354,-1,4,4.123105625617661
62,428,357,-1,3,3.1622776601683795
63,428,361,0,4,4.0
64,427,364,-1,3,3.1622776601683795
65,427,368,0,4,4.0
66,427,372,0,4,4.0
67,427,376,0,4,4.0
68,426,379,-1,3,3.1622776601683795
69,427,383,1,4,4.123105625617661
70,427,387,0,4,4.0
71,427,391,0,4,4.0
72,428,395,1,4,4.123105625617661
73,428,398,0,3,3.0
74,429,402,1,4,4.123105625617661
75,430,406,1,4,4.123105625617661
76,430,410,0,4,4.0
77,431,413,1,3,3.1622776601683795
78,432,417,1,4,4.123105625617661
79,432,420,0,3,3.0
80,434,424,2,4,4.47213595499958
81,434,428,0,4,4.0
82,434,432,0,4,4.0
83,434,435,0,3,3.0
84,434,439,0,4,4.0
85,434,443,0,4,4.0
86,433,446,-1,3,3.1622776601683795
87,433,450,0,4,4.0
88,433,454,0,4,4.0
89,432,457,-1,3,3.1622776601683795
90,431,461,-1,4,4.123105625617661
91,430,464,-1,3,3.1622776601683795
92,429,468,-1,4,4.123105625617661
93,428,471,-1,3,3.1622776601683795
94,427,475,-1,4,4.123105625617661
95,426,479,-1,4,4.123105625617661
96,425,482,-1,3,3.1622776601683795
97,425,486,0,4,4.0
98,424,490,-1,4,4.123105625617661
99,423,494,-1,4,4.123105625617661
100,423,497,0,3,3.0
101,423,502,0,5,5.0
102,422,505,-1,3,3.1622776601683795
103,423,509,1,4,4.123105625617661
104,423,513,0,4,4.0
105,423,517,0,4,4.0
106,423,521,0,4,4.0
107,424,524,1,3,3.1622776601683795
108,424,528,0,4,4.0
109,425,532,1,4,4.123105625617661
110,426,535,1,3,3.1622776601683795
111,427,539,1,4,4.123105625617661
112,428,543,1,4,4.123105625617661
113,428,546,0,3,3.0
114,429,550,1,4,4.123105625617661
115,430,554,1,4,4.123105625617661
116,430,558,0,4,4.0
117,430,562,0,4,4.0
118,430,566,0,4,4.0
119,431,569,1,3,3.1622776601683795
120,430,573,-1,4,4.123105625617661
121,430,577,0,4,4.0
122,429,580,-1,3,3.1622776601683795
123,429,584,0,4,4.0
124,428,587,-1,3,3.1622776601683795
125,427,591,-1,4,4.123105625617661
126,426,594,-1,3,3.1622776601683795
127,426,598,0,4,4.0
128,425,601,-1,3,3.1622776601683795
129,424,605,-1,4,4.123105625617661
130,423,609,-1,4,4.123105625617661
131,422,612,-1,3,3.1622776601683795
132,421,616,-1,4,4.123105625617661
133,421,620,0,4,4.0
134,420,624,-1,4,4.123105625617661
135,419,628,-1,4,4.123105625617661
136,419,631,0,3,3.0
137,419,635,0,4,4.0
138,419,639,0,4,4.0
139,419,643,0,4,4.0
140,419,647,0,4,4.0
141,420,651,1,4,4.123105625617661
142,420,654,0,3,3.0
143,421,658,1,4,4.123105625617661
144,422,662,1,4,4.123105625617661
145,423,665,1,3,3.1622776601683795
146,423,669,0,4,4.0
147,424,673,1,4,4.123105625617661
148,425,677,1,4,4.123105625617661
149,426,680,1,3,3.1622776601683795
150,427,684,1,4,4.123105625617661
151,427,688,0,4,4.0
152,427,691,0,3,3.0
153,428,694,1,3,3.1622776601683795
154,428,698,0,4,4.0
155,428,701,0,3,3.0
156,428,703,0,2,2.0
157,423,706,-5,3,5.830951894845301
158,427,716,4,10,10.770329614269007
159,426,718,-1,2,2.23606797749979
160,426,720,0,2,2.0
161,425,721,-1,1,1.4142135623730951
162,423,723,-2,2,2.8284271247461903
163,424,731,1,8,8.06225774829855
164,423,734,-1,3,3.1622776601683795
165,422,737,-1,3,3.1622776601683795
166,421,741,-1,4,4.123105625617661
167,420,745,-1,4,4.123105625617661
168,421,749,1,4,4.123105625617661
169,421,752,0,3,3.0
170,420,755,-1,3,3.1622776601683795
171,419,759,-1,4,4.123105625617661
172,419,762,0,3,3.0
173,419,766,0,4,4.0
174,419,770,0,4,4.0
175,420,773,1,3,3.1622776601683795
