Frame,X,Y,dX,dY,Magnitude
0,432,123,0,-1,1.0
1,432,125,0,2,2.0
2,432,126,0,1,1.0
3,432,126,0,0,0.0
4,432,129,0.0,3,3.0
5,432,132,0.0,3,3.0
6,432,135,0.0,3,3.0
7,432,137,0.0,2.0,2.0
8,432,139,0.0,2.2,2.2
9,432,141,0.0,2.6399999999999997,2.6399999999999997
10,432,143,0.0,2.568,2.568
11,432,145,0.0,2.4816,2.4816
12,433,145,1,0,1.0
13,433,149,0,4,4.0
14,433,154,0,5,5.0
15,433,158,0,4,4.0
16,433,162,0,4,4.0
17,433,167,0,5,5.0
18,433,171,0,4,4.0
19,433,175,0,4,4.0
20,433,179,0,4,4.0
21,433,183,0,4,4.0
22,433,187,0,4,4.0
23,433,191,0,4,4.0
24,432,196,-1,5,5.0990195135927845
25,432,200,0,4,4.0
26,432,205,0,5,5.0
27,431,209,-1,4,4.123105625617661
28,430,214,-1,5,5.0990195135927845
29,430,218,0,4,4.0
30,429,223,-1,5,5.0990195135927845
31,428,227,-1,4,4.123105625617661
32,428,231,0,4,4.0
33,427,235,-1,4,4.123105625617661
34,427,239,0,4,4.0
35,427,243,0,4,4.0
36,427,247,0,4,4.0
37,427,251,0,4,4.0
38,427,255,0,4,4.0
39,427,258,0,3,3.0
40,427,263,0,5,5.0
41,427,267,0,4,4.0
42,427,272,0,5,5.0
43,427,276,0,4,4.0
44,427,280,0,4,4.0
45,427,285,0,5,5.0
46,427,290,0,5,5.0
47,427,294,0,4,4.0
48,426,298,-1,4,4.123105625617661
49,426,303,0,5,5.0
50,426,308,0,5,5.0
51,426,313,0,5,5.0
52,425,317,-1,4,4.123105625617661
53,425,322,0,5,5.0
54,425,327,0,5,5.0
55,424,332,-1,5,5.0990195135927845
56,424,336,0,4,4.0
57,424,341,0,5,5.0
58,424,345,0,4,4.0
59,423,350,-1,5,5.0990195135927845
60,423,355,0,5,5.0
61,423,359,0,4,4.0
62,424,363,1,4,4.123105625617661
63,423,367,-1,4,4.123105625617661
64,423,371,0,4,4.0
65,423,375,0,4,4.0
66,423,379,0,4,4.0
67,423,383,0,4,4.0
68,423,387,0,4,4.0
69,423,391,0,4,4.0
70,424,394,1,3,3.1622776601683795
71,424,398,0,4,4.0
72,424,402,0,4,4.0
73,424,407,0,5,5.0
74,424,411,0,4,4.0
75,424,415,0,4,4.0
76,424,419,0,4,4.0
77,424,424,0,5,5.0
78,423,428,-1,4,4.123105625617661
79,423,433,0,5,5.0
80,423,437,0,4,4.0
81,422,441,-1,4,4.123105625617661
82,422,445,0,4,4.0
83,421,450,-1,5,5.0990195135927845
84,420,454,-1,4,4.123105625617661
85,420,457,0,3,3.0
86,419,462,-1,5,5.0990195135927845
87,419,465,0,3,3.0
88,418,469,-1,4,4.123105625617661
89,418,473,0,4,4.0
90,417,477,-1,4,4.123105625617661
91,417,481,0,4,4.0
92,416,485,-1,4,4.123105625617661
93,416,490,0,5,5.0
94,416,494,0,4,4.0
95,416,498,0,4,4.0
96,416,503,0,5,5.0
97,416,507,0,4,4.0
98,416,511,0,4,4.0
99,416,516,0,5,5.0
100,417,519,1,3,3.1622776601683795
101,417,523,0,4,4.0
102,417,527,0,4,4.0
103,418,530,1,3,3.1622776601683795
104,418,534,0,4,4.0
105,418,538,0,4,4.0
106,418,542,0,4,4.0
107,418,545,0,3,3.0
108,418,550,0,5,5.0
109,418,554,0,4,4.0
110,418,559,0,5,5.0
111,419,563,1,4,4.123105625617661
112,418,568,-1,5,5.0990195135927845
113,418,572,0,4,4.0
114,418,576,0,4,4.0
115,418,581,0,5,5.0
116,418,585,0,4,4.0
117,418,589,0,4,4.0
118,418,593,0,4,4.0
119,418,598,0,5,5.0
120,417,602,-1,4,4.123105625617661
121,417,606,0,4,4.0
122,417,611,0,5,5.0
123,416,615,-1,4,4.123105625617661
124,416,620,0,5,5.0
125,415,624,-1,4,4.123105625617661
126,415,629,0,5,5.0
127,414,633,-1,4,4.123105625617661
128,414,637,0,4,4.0
129,414,641,0,4,4.0
130,414,645,0,4,4.0
131,414,648,0,3,3.0
132,414,652,0,4,4.0
133,414,656,0,4,4.0
134,414,659,0,3,3.0
135,414,663,0,4,4.0
136,414,667,0,4,4.0
137,414,671,0,4,4.0
138,414,675,0,4,4.0
139,414,679,0,4,4.0
140,414,683,0,4,4.0
141,414,688,0,5,5.0
142,414,693,0,5,5.0
143,414,696,0,3,3.0
144,414,700,0,4,4.0
145,414,705,0,5,5.0
146,415,712,1,7,7.0710678118654755
147,414,716,-1,4,4.123105625617661
148,413,719,-1,3,3.1622776601683795
149,413,723,0,4,4.0
150,412,727,-0.04000000000000001,4.6,4.600173909756021
151,413,732,1,5,5.0990195135927845
152,413,738,0,6,6.0
153,412,741,-1,3,3.1622776601683795
154,412,747,0,6,6.0
155,412,751,0,4,4.0
156,412,755,0,4,4.0
157,412,759,0,4,4.0
158,412,764,0,5,5.0
159,412,768,0,4,4.0
160,412,771,0,3,3.0
161,412,776,0,5,5.0
