Frame,X,Y,dX,dY,Magnitude
0,464,128,1,2,2.23606797749979
1,464,127,0,-1,1.0
2,464,127,0,0,0.0
3,464,122,0,-5,5.0
4,464,124,0,2,2.0
5,464,125,0,1,1.0
6,463,125,-1,0,1.0
7,464,127,1,2,2.23606797749979
8,463,131,-1,4,4.123105625617661
9,463,131,0,0,0.0
10,464,135,1,4,4.123105625617661
11,464,145,0,10,10.0
12,464,150,0,5,5.0
13,466,155,2,5,5.385164807134504
14,467,162,1,7,7.0710678118654755
15,467,167,0,5,5.0
16,468,172,1,5,5.0990195135927845
17,453,173,-15,1,15.033296378372908
18,458,178,5,5,7.0710678118654755
19,458,184,0,6,6.0
20,458,189,0,5,5.0
21,460,194,2,5,5.385164807134504
22,459,199,-1,5,5.0990195135927845
23,460,204,1,5,5.0990195135927845
24,460,208,0,4,4.0
25,461,212,1,4,4.123105625617661
26,462,217,1,5,5.0990195135927845
27,463,221,1,4,4.123105625617661
28,463,225,0,4,4.0
29,464,229,1,4,4.123105625617661
30,465,233,1,4,4.123105625617661
31,465,238,0,5,5.0
32,467,242,2,4,4.47213595499958
33,467,246,0,4,4.0
34,468,251,1,5,5.0990195135927845
35,462,257,-6,6,8.48528137423857
36,461,261,-1,4,4.123105625617661
37,464,262,3,1,3.1622776601683795
38,471,268,7,6,9.219544457292887
39,470,273,-1,5,5.0990195135927845
40,470,278,0,5,5.0
41,469,282,-1,4,4.123105625617661
42,468,287,-1,5,5.0990195135927845
43,466,291,-2,4,4.47213595499958
44,465,295,-1,4,4.123105625617661
45,464,298,-1,3,3.1622776601683795
46,461,301,-3,3,4.242640687119285
47,462,306,1,5,5.0990195135927845
48,462,311,0,5,5.0
49,461,315,-1,4,4.123105625617661
50,459,319,-2,4,4.47213595499958
51,459,323,0,4,4.0
52,463,329,4,6,7.211102550927978
53,464,335,1,6,6.082762530298219
54,464,340,0,5,5.0
55,462,339,-2,-1,2.23606797749979
56,454,343,-8,4,8.94427190999916
57,457,347,3,4,5.0
58,458,351,1,4,4.123105625617661
59,460,356,2,5,5.385164807134504
60,456,363,-4,7,8.06225774829855
61,453,364,-3,1,3.1622776601683795
62,455,369,2,5,5.385164807134504
63,456,372,1,3,3.1622776601683795
64,464,377,8,5,9.433981132056603
65,465,381,1,4,4.123105625617661
66,467,384,2,3,3.605551275463989
67,468,388,1,4,4.123105625617661
68,470,392,2,4,4.47213595499958
69,471,396,1,4,4.123105625617661
70,474,400,3,4,5.0
71,474,404,0,4,4.0
72,474,409,0,5,5.0
73,475,412,1,3,3.1622776601683795
74,477,416,2,4,4.47213595499958
75,480,418,3,2,3.605551275463989
76,484,422,4,4,5.656854249492381
77,485,425,1,3,3.1622776601683795
78,487,429,2,4,4.47213595499958
79,488,433,1,4,4.123105625617661
80,491,436,3,3,4.242640687119285
81,491,438,0,2,2.0
