Frame,X,Y,dX,dY,Magnitude
0,425,146,-1,0,1.0
1,413,149,-12,3,12.36931687685298
2,412,159,-1,10,10.04987562112089
3,413,159,1,0,1.0
4,412,162,-0.65,3.25,3.31436268383531
5,411,165,-0.546,3.25,3.295544871489387
6,425,163,14,-2,14.142135623730951
7,432,160,7,-3,7.615773105863909
8,432,166,0,6,6.0
9,429,175,-3,9,9.486832980505138
10,417,176,-12,1,12.041594578792296
11,417,175,0,-1,1.0
12,419,186,2,11,11.180339887498949
13,419,191,0,5,5.0
14,419,196,0,5,5.0
15,419,201,0,5,5.0
16,422,206,3,5,5.830951894845301
17,421,212,-1,6,6.082762530298219
18,419,217,-2,5,5.385164807134504
19,422,224,3,7,7.615773105863909
20,422,228,0,4,4.0
21,421,233,-1,5,5.0990195135927845
22,425,238,4,5,6.4031242374328485
23,429,244,4,6,7.211102550927978
24,423,251,-6,7,9.219544457292887
25,430,253,7,2,7.280109889280518
26,434,254,4,1,4.123105625617661
27,426,263,-8,9,12.041594578792296
28,427,268,1,5,5.0990195135927845
29,432,273,5,5,7.0710678118654755
30,433,278,1,5,5.0990195135927845
31,428,284,-5,6,7.810249675906654
32,433,289,5,5,7.0710678118654755
33,432,291,-1,2,2.23606797749979
34,426,298,-6,7,9.219544457292887
35,423,303,-3,5,5.830951894845301
36,424,308,1,5,5.0990195135927845
37,423,313,-1,5,5.0990195135927845
38,425,320,2,7,7.280109889280518
39,422,324,-3,4,5.0
40,421,329,-1,5,5.0990195135927845
41,421,333,0,4,4.0
42,420,337,-1,4,4.123105625617661
43,420,342,0,5,5.0
44,419,347,-1,5,5.0990195135927845
45,415,350,-4,3,5.0
46,420,357,5,7,8.602325267042627
47,419,362,-1,5,5.0990195135927845
48,419,367,0,5,5.0
49,419,372,0,5,5.0
50,419,377,0,5,5.0
51,417,383,-2,6,6.324555320336759
52,416,387,-1,4,4.123105625617661
53,421,393,5,6,7.810249675906654
54,421,399,0,6,6.0
55,423,404,2,5,5.385164807134504
56,428,407,5,3,5.830951894845301
57,429,414,1,7,7.0710678118654755
58,428,418,-1,4,4.123105625617661
59,425,423,-3,5,5.830951894845301
60,427,430,2,7,7.280109889280518
61,426,435,-1,5,5.0990195135927845
62,425,437,-1,2,2.23606797749979
63,426,441,1,4,4.123105625617661
64,425,444,-1,3,3.1622776601683795
65,426,448,1,4,4.123105625617661
66,427,453,1,5,5.0990195135927845
67,428,459,1,6,6.082762530298219
68,425,464,-3,5,5.830951894845301
69,417,468,-8,4,8.94427190999916
70,424,480,7,12,13.892443989449804
71,421,484,-3,4,5.0
72,422,491,1,7,7.0710678118654755
73,419,494,-3,3,4.242640687119285
74,419,498,0,4,4.0
75,425,505,6,7,9.219544457292887
76,416,507,-9,2,9.219544457292887
77,408,510,-8,3,8.54400374531753
78,407,515,-1,5,5.0990195135927845
79,413,521,6,6,8.48528137423857
80,414,527,1,6,6.082762530298219
81,413,531,-1,4,4.123105625617661
82,412,536,-1,5,5.0990195135927845
83,412,541,0,5,5.0
84,412,546,0,5,5.0
85,412,551,0,5,5.0
86,411,556,-1,5,5.0990195135927845
87,413,561,2,5,5.385164807134504
88,414,568,1,7,7.0710678118654755
89,417,573,3,5,5.830951894845301
90,418,578,1,5,5.0990195135927845
91,415,582,-3,4,5.0
92,420,586,5,4,6.4031242374328485
93,420,591,0,5,5.0
94,431,596,11,5,12.083045973594572
95,427,600,-4,4,5.656854249492381
96,423,607,-4,7,8.06225774829855
97,426,613,3,6,6.708203932499369
98,426,619,0,6,6.0
99,425,624,-1,5,5.0990195135927845
100,427,629,2,5,5.385164807134504
101,425,631,-2,2,2.8284271247461903
102,421,635,-4,4,5.656854249492381
103,421,640,0,5,5.0
104,428,647,7,7,9.899494936611665
105,427,653,-1,6,6.082762530298219
106,419,654,-8,1,8.06225774829855
107,418,658,-1,4,4.123105625617661
108,423,668,5,10,11.180339887498949
109,422,674,-1,6,6.082762530298219
110,415,678,-7,4,8.06225774829855
111,412,680,-3,2,3.605551275463989
112,411,685,-1,5,5.0990195135927845
113,410,690,-1,5,5.0990195135927845
114,412,694,2,4,4.47213595499958
115,419,703,7,9,11.40175425099138
116,425,710,6,7,9.219544457292887
117,420,713,-5,3,5.830951894845301
118,419,722,-1,9,9.055385138137417
119,414,724,-5,2,5.385164807134504
120,416,729,2,5,5.385164807134504
121,414,733,-2,4,4.47213595499958
122,415,738,1,5,5.0990195135927845
123,417,743,2,5,5.385164807134504
124,408,751,-9,8,12.041594578792296
125,413,751,5,0,5.0
126,415,755,2,4,4.47213595499958
127,416,760,1,5,5.0990195135927845
128,417,765,1,5,5.0990195135927845
