Frame,X,Y,dX,dY,Magnitude
0,432,123,0,2,2.0
1,431,125,-1,2,2.23606797749979
2,431,125,0,0,0.0
3,430,128,-0.06666666666666667,3,3.00074064931384
4,429,131,-0.05333333333333334,3,3.0004740366222875
5,428,133,-0.0448,2.0,2.0005016970750114
6,427,135,-0.046591999999999995,2.0,2.0005426300041695
7,426,137,-0.00845568,2.0,2.0000178745511907
8,425,139,-0.0087939072,2.4,2.400016110946725
9,424,141,-0.006478996821333333,2.2800000000000002,2.2800092055515506
10,423,143,-0.004604823360853333,2.136,2.136004963570587
11,429,144,6,1,6.082762530298219
12,429,148,0,4,4.0
13,430,152,1,4,4.123105625617661
14,430,156,0,4,4.0
15,430,161,0,5,5.0
16,430,165,0,4,4.0
17,431,169,1,4,4.123105625617661
18,431,173,0,4,4.0
19,432,177,1,4,4.123105625617661
20,433,182,1,5,5.0990195135927845
21,434,186,1,4,4.123105625617661
22,434,190,0,4,4.0
23,435,194,1,4,4.123105625617661
24,435,199,0,5,5.0
25,436,203,1,4,4.123105625617661
26,436,207,0,4,4.0
27,437,211,1,4,4.123105625617661
28,437,215,0,4,4.0
29,436,220,-1,5,5.0990195135927845
30,436,224,0,4,4.0
31,436,228,0,4,4.0
32,435,232,-1,4,4.123105625617661
33,434,236,-1,4,4.123105625617661
34,434,241,0,5,5.0
35,433,245,-1,4,4.123105625617661
36,432,249,-1,4,4.123105625617661
37,432,253,0,4,4.0
38,431,258,-1,5,5.0990195135927845
39,431,262,0,4,4.0
40,430,267,-1,5,5.0990195135927845
41,429,271,-1,4,4.123105625617661
42,428,275,-1,4,4.123105625617661
43,428,279,0,4,4.0
44,431,284,3,5,5.830951894845301
45,431,287,0,3,3.0
46,428,291,-3,4,5.0
47,428,295,0,4,4.0
48,428,299,0,4,4.0
49,429,303,1,4,4.123105625617661
50,430,307,1,4,4.123105625617661
51,432,311,2,4,4.47213595499958
52,433,316,1,5,5.0990195135927845
53,433,320,0,4,4.0
54,434,324,1,4,4.123105625617661
55,434,328,0,4,4.0
56,434,332,0,4,4.0
57,434,337,0,5,5.0
58,435,341,1,4,4.123105625617661
59,435,345,0,4,4.0
60,435,349,0,4,4.0
61,435,353,0,4,4.0
62,435,357,0,4,4.0
63,433,362,-2,5,5.385164807134504
64,432,366,-1,4,4.123105625617661
65,431,370,-1,4,4.123105625617661
66,430,373,-1,3,3.1622776601683795
67,432,378,2,5,5.385164807134504
68,432,383,0,5,5.0
69,432,387,0,4,4.0
70,432,391,0,4,4.0
71,426,395,-6,4,7.211102550927978
72,426,399,0,4,4.0
73,426,403,0,4,4.0
74,426,407,0,4,4.0
75,426,411,0,4,4.0
76,426,414,0,3,3.0
77,426,419,0,5,5.0
78,427,422,1,3,3.1622776601683795
79,428,427,1,5,5.0990195135927845
80,433,430,5,3,5.830951894845301
81,434,434,1,4,4.123105625617661
82,434,439,0,5,5.0
83,435,443,1,4,4.123105625617661
84,435,447,0,4,4.0
85,435,452,0,5,5.0
86,436,456,1,4,4.123105625617661
87,433,460,-3,4,5.0
88,433,464,0,4,4.0
89,433,469,0,5,5.0
90,433,473,0,4,4.0
91,433,477,0,4,4.0
92,436,481,3,4,5.0
93,436,485,0,4,4.0
94,435,489,-1,4,4.123105625617661
95,431,493,-4,4,5.656854249492381
96,430,497,-1,4,4.123105625617661
97,429,501,-1,4,4.123105625617661
98,428,505,-1,4,4.123105625617661
99,427,509,-1,4,4.123105625617661
100,427,513,0,4,4.0
101,421,516,-6,3,6.708203932499369
102,421,521,0,5,5.0
103,421,525,0,4,4.0
104,421,529,0,4,4.0
105,423,534,2,5,5.385164807134504
106,423,538,0,4,4.0
107,423,542,0,4,4.0
108,423,546,0,4,4.0
109,423,550,0,4,4.0
110,423,554,0,4,4.0
111,421,558,-2,4,4.47213595499958
112,424,562,3,4,5.0
113,425,567,1,5,5.0990195135927845
114,425,571,0,4,4.0
115,426,575,1,4,4.123105625617661
116,427,579,1,4,4.123105625617661
117,427,583,0,4,4.0
118,423,588,-4,5,6.4031242374328485
119,424,592,1,4,4.123105625617661
120,424,597,0,5,5.0
121,429,600,5,3,5.830951894845301
122,429,604,0,4,4.0
123,430,609,1,5,5.0990195135927845
124,430,613,0,4,4.0
125,430,617,0,4,4.0
126,429,621,-1,4,4.123105625617661
127,428,625,-1,4,4.123105625617661
128,428,630,0,5,5.0
129,427,634,-1,4,4.123105625617661
130,427,638,0,4,4.0
131,426,642,-1,4,4.123105625617661
132,425,646,-1,4,4.123105625617661
133,424,651,-1,5,5.0990195135927845
134,422,655,-2,4,4.47213595499958
135,422,659,0,4,4.0
136,421,663,-1,4,4.123105625617661
137,421,667,0,4,4.0
138,421,671,0,4,4.0
139,421,675,0,4,4.0
140,421,679,0,4,4.0
141,421,683,0,4,4.0
142,422,687,1,4,4.123105625617661
143,422,691,0,4,4.0
144,422,695,0,4,4.0
145,422,698,0,3,3.0
146,422,702,0,4,4.0
147,419,706,-3,4,5.0
148,424,715,5,9,10.295630140987
149,424,718,0,3,3.0
150,424,720,0,2,2.0
151,426,723,2,3,3.605551275463989
152,423,730,-3,7,7.615773105863909
153,426,732,3,2,3.605551275463989
154,428,736,2,4,4.47213595499958
155,424,739,-4,3,5.0
156,425,746,1,7,7.0710678118654755
157,426,749,1,3,3.1622776601683795
158,427,753,1,4,4.123105625617661
159,427,756,0,3,3.0
160,426,760,-1,4,4.123105625617661
161,425,764,-1,4,4.123105625617661
162,424,768,-1,4,4.123105625617661
