Frame,X,Y,dX,dY,Magnitude
0,469,135,1,-2,2.23606797749979
1,469,133,0,-2,2.0
2,468,134,-1,1,1.4142135623730951
3,469,131,1,-3,3.1622776601683795
4,468,134,-1,3,3.1622776601683795
5,469,134,1,0,1.0
6,468,136,-1,2,2.23606797749979
7,468,138,0,2,2.0
8,466,143,-2,5,5.385164807134504
9,466,144,0,1,1.0
10,462,162,-4,18,18.439088914585774
11,460,167,-2,5,5.385164807134504
12,459,172,-1,5,5.0990195135927845
13,457,177,-2,5,5.385164807134504
14,456,182,-1,5,5.0990195135927845
15,454,187,-2,5,5.385164807134504
16,453,192,-1,5,5.0990195135927845
17,451,197,-2,5,5.385164807134504
18,450,202,-1,5,5.0990195135927845
19,449,207,-1,5,5.0990195135927845
20,447,212,-2,5,5.385164807134504
21,446,217,-1,5,5.0990195135927845
22,445,222,-1,5,5.0990195135927845
23,443,227,-2,5,5.385164807134504
24,442,232,-1,5,5.0990195135927845
25,441,237,-1,5,5.0990195135927845
26,440,242,-1,5,5.0990195135927845
27,438,246,-2,4,4.47213595499958
28,438,252,0,6,6.0
29,437,257,-1,5,5.0990195135927845
30,435,263,-2,6,6.324555320336759
31,435,269,0,6,6.0
32,435,275,0,6,6.0
33,434,279,-1,4,4.123105625617661
34,433,284,-1,5,5.0990195135927845
35,433,289,0,5,5.0
36,431,295,-2,6,6.324555320336759
37,430,300,-1,5,5.0990195135927845
38,430,305,0,5,5.0
39,430,310,0,5,5.0
40,429,315,-1,5,5.0990195135927845
41,430,321,1,6,6.082762530298219
42,429,326,-1,5,5.0990195135927845
43,428,332,-1,6,6.082762530298219
44,428,337,0,5,5.0
45,426,342,-2,5,5.385164807134504
46,425,347,-1,5,5.0990195135927845
47,423,352,-2,5,5.385164807134504
48,423,358,0,6,6.0
49,422,363,-1,5,5.0990195135927845
50,422,368,0,5,5.0
51,421,374,-1,6,6.082762530298219
52,421,379,0,5,5.0
53,421,384,0,5,5.0
54,420,389,-1,5,5.0990195135927845
55,420,395,0,6,6.0
56,420,400,0,5,5.0
57,419,406,-1,6,6.082762530298219
58,418,411,-1,5,5.0990195135927845
59,417,417,-1,6,6.082762530298219
60,417,422,0,5,5.0
61,416,427,-1,5,5.0990195135927845
62,416,433,0,6,6.0
63,417,438,1,5,5.0990195135927845
64,416,443,-1,5,5.0990195135927845
65,416,449,0,6,6.0
66,414,454,-2,5,5.385164807134504
67,414,460,0,6,6.0
68,410,465,-4,5,6.4031242374328485
69,413,471,3,6,6.708203932499369
70,408,476,-5,5,7.0710678118654755
71,407,481,-1,5,5.0990195135927845
72,407,487,0,6,6.0
73,407,492,0,5,5.0
74,405,497,-2,5,5.385164807134504
75,403,502,-2,5,5.385164807134504
76,403,508,0,6,6.0
77,403,513,0,5,5.0
78,401,518,-2,5,5.385164807134504
79,400,523,-1,5,5.0990195135927845
80,399,528,-1,5,5.0990195135927845
81,398,533,-1,5,5.0990195135927845
82,397,538,-1,5,5.0990195135927845
83,395,544,-2,6,6.324555320336759
84,395,549,0,5,5.0
85,393,554,-2,5,5.385164807134504
86,392,560,-1,6,6.082762530298219
87,392,566,0,6,6.0
88,395,571,3,5,5.830951894845301
89,389,575,-6,4,7.211102550927978
90,396,581,7,6,9.219544457292887
91,397,586,1,5,5.0990195135927845
92,396,592,-1,6,6.082762530298219
93,396,597,0,5,5.0
94,395,603,-1,6,6.082762530298219
95,395,608,0,5,5.0
96,396,613,1,5,5.0990195135927845
97,395,619,-1,6,6.082762530298219
98,397,624,2,5,5.385164807134504
99,398,629,1,5,5.0990195135927845
100,398,634,0,5,5.0
101,397,639,-1,5,5.0990195135927845
102,398,644,1,5,5.0990195135927845
103,396,650,-2,6,6.324555320336759
104,393,656,-3,6,6.708203932499369
105,391,660,-2,4,4.47213595499958
106,392,664,1,4,4.123105625617661
107,389,668,-3,4,5.0
108,389,673,0,5,5.0
109,388,677,-1,4,4.123105625617661
110,387,681,-1,4,4.123105625617661
111,386,686,-1,5,5.0990195135927845
112,385,690,-1,4,4.123105625617661
113,386,696,1,6,6.082762530298219
114,384,701,-2,5,5.385164807134504
115,386,700,2,-1,2.23606797749979
116,385,710,-1,10,10.04987562112089
117,379,710,-6,0,6.0
118,382,721,3,11,11.40175425099138
119,382,724,0,3,3.0
120,381,730,-1,6,6.082762530298219
121,377,733,-4,3,5.0
122,379,738,2,5,5.385164807134504
123,379,741,0,3,3.0
124,379,748,0,7,7.0
125,377,751,-2,3,3.605551275463989
126,384,753,7,2,7.280109889280518
127,386,757,2,4,4.47213595499958
128,386,760,0,3,3.0
129,386,766,0,6,6.0
130,388,769,2,3,3.605551275463989
