Frame,X,Y,dX,dY,Magnitude
0,796,91,-1,2,2.23606797749979
1,796,94,0,3,3.0
2,796,96,0,2,2.0
3,797,99,1,3,3.1622776601683795
4,797,102,0,3,3.0
5,796,105,-1,3,3.1622776601683795
6,797,107,1,2,2.23606797749979
7,796,110,-1,3,3.1622776601683795
8,796,112,0,2,2.0
9,796,115,0,3,3.0
10,796,118,0,3,3.0
11,796,120,0,2,2.0
12,796,123,0,3,3.0
13,796,125,0,2,2.0
14,796,128,0,3,3.0
15,796,131,0,3,3.0
16,796,133,0,2,2.0
17,796,136,0,3,3.0
18,795,138,-1,2,2.23606797749979
19,795,141,0,3,3.0
20,795,143,0,2,2.0
21,795,146,0,3,3.0
22,795,148,0,2,2.0
23,795,151,0,3,3.0
24,795,153,0,2,2.0
25,794,156,-1,3,3.1622776601683795
26,794,159,0,3,3.0
27,794,162,0,3,3.0
28,794,164,0,2,2.0
29,794,167,0,3,3.0
30,793,169,-1,2,2.23606797749979
31,793,171,0,2,2.0
32,793,174,0,3,3.0
33,792,177,-1,3,3.1622776601683795
34,792,180,0,3,3.0
35,792,183,0,3,3.0
36,791,186,-1,3,3.1622776601683795
37,791,188,0,2,2.0
38,791,191,0,3,3.0
39,790,193,-1,2,2.23606797749979
40,791,196,1,3,3.1622776601683795
41,790,199,-1,3,3.1622776601683795
42,790,202,0,3,3.0
43,789,205,-1,3,3.1622776601683795
44,790,207,1,2,2.23606797749979
45,789,210,-1,3,3.1622776601683795
46,789,213,0,3,3.0
47,789,216,0,3,3.0
48,790,218,1,2,2.23606797749979
49,789,221,-1,3,3.1622776601683795
50,790,224,1,3,3.1622776601683795
51,790,226,0,2,2.0
52,790,229,0,3,3.0
53,790,232,0,3,3.0
54,790,235,0,3,3.0
55,790,238,0,3,3.0
56,790,240,0,2,2.0
57,790,243,0,3,3.0
58,790,246,0,3,3.0
59,790,249,0,3,3.0
60,789,252,-1,3,3.1622776601683795
61,790,255,1,3,3.1622776601683795
62,789,257,-1,2,2.23606797749979
63,789,260,0,3,3.0
64,789,263,0,3,3.0
65,790,266,1,3,3.1622776601683795
66,790,268,0,2,2.0
67,790,271,0,3,3.0
68,789,274,-1,3,3.1622776601683795
69,789,276,0,2,2.0
70,790,279,1,3,3.1622776601683795
71,789,281,-1,2,2.23606797749979
72,789,284,0,3,3.0
73,789,287,0,3,3.0
74,789,289,0,2,2.0
75,789,292,0,3,3.0
76,789,294,0,2,2.0
77,789,297,0,3,3.0
78,789,300,0,3,3.0
79,788,302,-1,2,2.23606797749979
80,788,305,0,3,3.0
81,788,307,0,2,2.0
82,788,310,0,3,3.0
83,788,313,0,3,3.0
84,788,315,0,2,2.0
85,788,318,0,3,3.0
86,788,320,0,2,2.0
87,788,323,0,3,3.0
88,787,326,-1,3,3.1622776601683795
89,787,329,0,3,3.0
90,787,331,0,2,2.0
91,787,334,0,3,3.0
92,786,337,-1,3,3.1622776601683795
93,786,339,0,2,2.0
94,786,342,0,3,3.0
95,786,345,0,3,3.0
96,785,348,-1,3,3.1622776601683795
97,785,350,0,2,2.0
98,785,353,0,3,3.0
99,785,356,0,3,3.0
100,785,358,0,2,2.0
101,784,361,-1,3,3.1622776601683795
102,785,364,1,3,3.1622776601683795
103,784,366,-1,2,2.23606797749979
104,784,369,0,3,3.0
105,784,372,0,3,3.0
106,784,375,0,3,3.0
107,784,378,0,3,3.0
108,784,380,0,2,2.0
109,784,383,0,3,3.0
110,784,385,0,2,2.0
111,784,388,0,3,3.0
112,785,391,1,3,3.1622776601683795
113,784,394,-1,3,3.1622776601683795
114,785,397,1,3,3.1622776601683795
115,785,399,0,2,2.0
116,785,402,0,3,3.0
117,785,405,0,3,3.0
118,785,408,0,3,3.0
119,785,411,0,3,3.0
120,785,414,0,3,3.0
121,785,416,0,2,2.0
122,785,419,0,3,3.0
123,785,422,0,3,3.0
124,786,424,1,2,2.23606797749979
125,786,427,0,3,3.0
126,786,430,0,3,3.0
127,786,432,0,2,2.0
128,786,435,0,3,3.0
129,786,437,0,2,2.0
130,786,440,0,3,3.0
131,786,443,0,3,3.0
132,786,445,0,2,2.0
133,786,448,0,3,3.0
134,786,451,0,3,3.0
135,786,453,0,2,2.0
136,786,456,0,3,3.0
137,786,458,0,2,2.0
138,786,461,0,3,3.0
139,785,463,-1,2,2.23606797749979
140,786,466,1,3,3.1622776601683795
141,786,468,0,2,2.0
142,785,471,-1,3,3.1622776601683795
143,785,474,0,3,3.0
144,785,476,0,2,2.0
145,784,479,-1,3,3.1622776601683795
146,784,482,0,3,3.0
147,784,484,0,2,2.0
148,784,487,0,3,3.0
149,784,489,0,2,2.0
150,784,492,0,3,3.0
151,783,495,-1,3,3.1622776601683795
152,783,498,0,3,3.0
153,782,500,-1,2,2.23606797749979
154,782,503,0,3,3.0
