Frame,X,Y,dX,dY,Magnitude
0,815,97,0,2,2.0
1,815,100,0,3,3.0
2,815,102,0,2,2.0
3,815,104,0,2,2.0
4,814,107,-1,3,3.1622776601683795
5,815,109,1,2,2.23606797749979
6,815,112,0,3,3.0
7,814,115,-1,3,3.1622776601683795
8,815,117,1,2,2.23606797749979
9,816,119,1,2,2.23606797749979
10,816,122,0,3,3.0
11,815,124,-1,2,2.23606797749979
12,815,127,0,3,3.0
13,814,129,-1,2,2.23606797749979
14,816,131,2,2,2.8284271247461903
15,816,133,0,2,2.0
16,815,136,-1,3,3.1622776601683795
17,816,138,1,2,2.23606797749979
18,816,140,0,2,2.0
19,815,143,-1,3,3.1622776601683795
20,815,145,0,2,2.0
21,815,148,0,3,3.0
22,815,150,0,2,2.0
23,815,151,0,1,1.0
24,816,154,1,3,3.1622776601683795
25,816,156,0,2,2.0
26,815,158,-1,2,2.23606797749979
27,815,160,0,2,2.0
28,813,163,-2,3,3.605551275463989
29,813,166,0,3,3.0
30,811,169,-2,3,3.605551275463989
31,811,170,0,1,1.0
32,812,172,1,2,2.23606797749979
33,812,174,0,2,2.0
34,811,176,-1,2,2.23606797749979
35,811,178,0,2,2.0
36,810,181,-1,3,3.1622776601683795
37,809,183,-1,2,2.23606797749979
38,809,185,0,2,2.0
39,808,188,-1,3,3.1622776601683795
40,807,190,-1,2,2.23606797749979
41,807,192,0,2,2.0
42,807,195,0,3,3.0
43,807,197,0,2,2.0
44,807,199,0,2,2.0
45,806,202,-1,3,3.1622776601683795
46,806,204,0,2,2.0
47,806,207,0,3,3.0
48,806,209,0,2,2.0
49,806,211,0,2,2.0
50,806,214,0,3,3.0
51,806,216,0,2,2.0
52,806,219,0,3,3.0
53,806,221,0,2,2.0
54,806,223,0,2,2.0
55,806,226,0,3,3.0
56,807,228,1,2,2.23606797749979
57,807,231,0,3,3.0
58,808,233,1,2,2.23606797749979
59,808,235,0,2,2.0
60,808,238,0,3,3.0
61,808,240,0,2,2.0
62,809,242,1,2,2.23606797749979
63,809,245,0,3,3.0
64,809,247,0,2,2.0
65,809,249,0,2,2.0
66,810,252,1,3,3.1622776601683795
67,810,254,0,2,2.0
68,810,256,0,2,2.0
69,810,259,0,3,3.0
70,810,261,0,2,2.0
71,810,263,0,2,2.0
72,809,266,-1,3,3.1622776601683795
73,810,268,1,2,2.23606797749979
74,810,270,0,2,2.0
75,809,273,-1,3,3.1622776601683795
76,809,275,0,2,2.0
77,809,278,0,3,3.0
78,808,280,-1,2,2.23606797749979
79,808,282,0,2,2.0
80,807,284,-1,2,2.23606797749979
81,808,286,1,2,2.23606797749979
82,806,289,-2,3,3.605551275463989
83,806,291,0,2,2.0
84,805,293,-1,2,2.23606797749979
85,805,295,0,2,2.0
86,804,298,-1,3,3.1622776601683795
87,804,300,0,2,2.0
88,803,302,-1,2,2.23606797749979
89,802,304,-1,2,2.23606797749979
90,801,307,-1,3,3.1622776601683795
91,801,310,0,3,3.0
92,800,312,-1,2,2.23606797749979
93,799,314,-1,2,2.23606797749979
94,799,317,0,3,3.0
95,799,319,0,2,2.0
96,798,321,-1,2,2.23606797749979
97,798,324,0,3,3.0
98,798,326,0,2,2.0
99,797,328,-1,2,2.23606797749979
100,797,331,0,3,3.0
101,797,333,0,2,2.0
102,797,336,0,3,3.0
103,797,338,0,2,2.0
104,797,340,0,2,2.0
105,797,343,0,3,3.0
106,798,345,1,2,2.23606797749979
107,798,347,0,2,2.0
108,797,350,-1,3,3.1622776601683795
109,798,353,1,3,3.1622776601683795
110,799,355,1,2,2.23606797749979
111,799,357,0,2,2.0
112,799,359,0,2,2.0
113,800,362,1,3,3.1622776601683795
114,800,364,0,2,2.0
115,800,367,0,3,3.0
116,801,369,1,2,2.23606797749979
117,801,371,0,2,2.0
118,801,374,0,3,3.0
119,801,376,0,2,2.0
120,802,378,1,2,2.23606797749979
121,802,381,0,3,3.0
122,802,383,0,2,2.0
123,802,385,0,2,2.0
124,802,387,0,2,2.0
125,802,390,0,3,3.0
126,802,392,0,2,2.0
127,803,394,1,2,2.23606797749979
128,803,396,0,2,2.0
129,802,399,-1,3,3.1622776601683795
130,802,402,0,3,3.0
131,801,404,-1,2,2.23606797749979
132,800,406,-1,2,2.23606797749979
133,799,408,-1,2,2.23606797749979
134,799,411,0,3,3.0
135,798,413,-1,2,2.23606797749979
136,798,415,0,2,2.0
137,797,418,-1,3,3.1622776601683795
138,797,420,0,2,2.0
139,796,422,-1,2,2.23606797749979
140,795,424,-1,2,2.23606797749979
141,795,427,0,3,3.0
142,795,429,0,2,2.0
143,793,431,-2,2,2.8284271247461903
144,793,433,0,2,2.0
145,792,435,-1,2,2.23606797749979
146,792,438,0,3,3.0
147,791,440,-1,2,2.23606797749979
148,791,442,0,2,2.0
149,790,445,-1,3,3.1622776601683795
150,790,447,0,2,2.0
151,790,449,0,2,2.0
152,790,452,0,3,3.0
153,790,454,0,2,2.0
154,790,457,0,3,3.0
155,789,459,-1,2,2.23606797749979
156,790,461,1,2,2.23606797749979
157,790,464,0,3,3.0
158,790,466,0,2,2.0
159,790,468,0,2,2.0
160,790,471,0,3,3.0
161,790,473,0,2,2.0
162,791,475,1,2,2.23606797749979
163,791,477,0,2,2.0
164,791,480,0,3,3.0
165,792,482,1,2,2.23606797749979
166,792,484,0,2,2.0
167,793,487,1,3,3.1622776601683795
168,793,489,0,2,2.0
169,793,492,0,3,3.0
170,794,494,1,2,2.23606797749979
171,793,496,-1,2,2.23606797749979
172,794,499,1,3,3.1622776601683795
173,794,501,0,2,2.0
