Frame,X,Y,dX,dY,Magnitude
0,813,94,0,0,0.0
1,813,98,0,4,4.0
2,813,102,0,4,4.0
3,813,106,0,4,4.0
4,814,110,1,4,4.123105625617661
5,814,114,0,4,4.0
6,813,117,-1,3,3.1622776601683795
7,815,118,2,1,2.23606797749979
8,811,126,-4,8,8.94427190999916
9,816,128,5,2,5.385164807134504
10,815,132,-1,4,4.123105625617661
11,816,134,1,2,2.23606797749979
12,816,137,0,3,3.0
13,817,142,1,5,5.0990195135927845
14,812,147,-5,5,7.0710678118654755
15,814,151,2,4,4.47213595499958
16,814,152,0,1,1.0
17,816,156,2,4,4.47213595499958
18,811,166,-5,10,11.180339887498949
19,811,169,0,3,3.0
20,811,171,0,2,2.0
21,810,173,-1,2,2.23606797749979
22,810,177,0,4,4.0
23,809,181,-1,4,4.123105625617661
24,811,186,2,5,5.385164807134504
25,810,189,-1,3,3.1622776601683795
26,810,194,0,5,5.0
27,810,197,0,3,3.0
28,810,201,0,4,4.0
29,810,205,0,4,4.0
30,810,208,0,3,3.0
31,810,213,0,5,5.0
32,810,216,0,3,3.0
33,810,220,0,4,4.0
34,810,224,0,4,4.0
35,810,228,0,4,4.0
36,809,232,-1,4,4.123105625617661
37,810,237,1,5,5.0990195135927845
38,810,241,0,4,4.0
39,810,244,0,3,3.0
40,809,248,-1,4,4.123105625617661
41,809,252,0,4,4.0
42,809,256,0,4,4.0
43,809,260,0,4,4.0
44,809,263,0,3,3.0
45,809,267,0,4,4.0
46,809,271,0,4,4.0
47,809,275,0,4,4.0
48,809,279,0,4,4.0
49,809,283,0,4,4.0
50,809,286,0,3,3.0
51,808,290,-1,4,4.123105625617661
52,808,293,0,3,3.0
53,808,297,0,4,4.0
54,808,301,0,4,4.0
55,808,305,0,4,4.0
56,808,308,0,3,3.0
57,808,312,0,4,4.0
58,808,316,0,4,4.0
59,808,320,0,4,4.0
60,808,324,0,4,4.0
61,808,328,0,4,4.0
62,808,332,0,4,4.0
63,808,335,0,3,3.0
64,808,340,0,5,5.0
65,808,343,0,3,3.0
66,808,347,0,4,4.0
67,808,351,0,4,4.0
68,808,355,0,4,4.0
